tempv	cap	l	Kr/K0	F	
1e-08	1.07779e+06	14.4699	1.0088e-05	-0.0532385
1.49182e-08	451132	14.2008	1.32037e-05	-0.0532385
2.22554e-08	182744	13.9318	1.72789e-05	-0.0532385
3.32012e-08	70319.3	13.6629	2.26096e-05	-0.0532385
4.95303e-08	24922.5	13.3941	2.95828e-05	-0.0532385
7.38906e-08	7710.93	13.1253	3.87048e-05	-0.0532385
1.10232e-07	1895.66	12.8566	5.06379e-05	-0.0532385
1.64446e-07	338.087	12.5878	6.6249e-05	-0.0532384
2.45325e-07	91.3887	12.3191	8.66714e-05	-0.0532384
3.65982e-07	82.9538	12.0504	0.000113388	-0.0532384
5.45982e-07	80.6839	11.7818	0.00014834	-0.0532383
8.14509e-07	78.2977	11.5131	0.000194064	-0.0532383
1.2151e-06	76.0785	11.2444	0.000253882	-0.0532381
1.81272e-06	73.7095	10.9757	0.000332138	-0.0532379
2.70426e-06	71.2848	10.707	0.000434514	-0.0532377
4.03429e-06	69.0282	10.4384	0.000568444	-0.0532373
6.01845e-06	66.7999	10.1697	0.000743656	-0.0532367
8.97847e-06	64.3777	9.901	0.000972873	-0.0532358
1.33943e-05	62.2802	9.6323	0.00127274	-0.0532344
1.9982e-05	59.6572	9.3636	0.00166503	-0.0532324
2.98096e-05	57.4875	9.095	0.00217823	-0.0532294
4.44707e-05	55.0449	8.8263	0.00284961	-0.0532249
6.63424e-05	52.6877	8.5576	0.0037279	-0.0532183
9.89713e-05	50.5443	8.2889	0.00487687	-0.0532083
0.000147648	47.8034	8.0202	0.00637989	-0.0531935
0.000220265	45.4556	7.7515	0.00834604	-0.0531715
0.000328596	43.054	7.4828	0.0109179	-0.0531386
0.000490208	40.7786	7.214	0.0142819	-0.0530896
0.000731304	38.0675	6.9452	0.0186815	-0.0530168
0.00109098	35.5439	6.6764	0.0244349	-0.0529086
0.00162755	32.9802	6.4075	0.0319569	-0.0527481
0.00242802	30.6564	6.1385	0.0417885	-0.0525104
0.00362217	28.2175	5.8692	0.0546326	-0.0521595
0.00540365	25.5388	5.5998	0.0714005	-0.0516434
0.0080613	23.0989	5.3299	0.0932675	-0.0508884
