T/Tc	1-T/Tc	l	a	K	y	Kr	Kr/K0	a0/Kr
0.999999	1e-06	0.2	3.09015	0.739861	0.0233345	0.739861	0.989312	3.41956
0.999999	1e-06	0.4	3.77432	0.732982	0.0219173	0.732982	0.980114	3.45166
0.999999	1e-06	0.6	4.60996	0.726994	0.0206694	0.726994	0.972107	3.48008
0.999999	1e-06	0.8	5.63062	0.721732	0.0195614	0.721732	0.965071	3.50546
0.999999	1e-06	1	6.87725	0.717069	0.0185705	0.717069	0.958836	3.52825
0.999999	1e-06	1.2	8.3999	0.712906	0.0176786	0.712906	0.953269	3.54886
0.999999	1e-06	1.4	10.2597	0.709166	0.0168714	0.709166	0.948268	3.56757
0.999999	1e-06	1.6	12.5312	0.705786	0.016137	0.705786	0.943748	3.58466
0.999999	1e-06	1.8	15.3056	0.702715	0.0154659	0.702715	0.939643	3.60032
0.999999	1e-06	2	18.6943	0.699913	0.0148501	0.699913	0.935896	3.61473
0.999999	1e-06	2.2	22.8333	0.697346	0.0142828	0.697346	0.932462	3.62804
0.999999	1e-06	2.4	27.8886	0.694983	0.0137584	0.694983	0.929304	3.64038
0.999999	1e-06	2.6	34.0633	0.692802	0.0132722	0.692802	0.926387	3.65184
0.999999	1e-06	2.8	41.605	0.690782	0.0128201	0.690782	0.923687	3.66251
0.999999	1e-06	3	50.8164	0.688906	0.0123986	0.688906	0.921178	3.67249
0.999999	1e-06	3.2	62.0673	0.687158	0.0120045	0.687158	0.918841	3.68183
0.999999	1e-06	3.4	75.8092	0.685526	0.0116353	0.685526	0.916658	3.69059
0.999999	1e-06	3.6	92.5935	0.683999	0.0112887	0.683999	0.914616	3.69884
0.999999	1e-06	3.8	113.094	0.682566	0.0109626	0.682566	0.912699	3.7066
0.999999	1e-06	4	138.133	0.681218	0.0106552	0.681218	0.910898	3.71393
0.999999	1e-06	4.2	168.716	0.679949	0.0103649	0.679949	0.909201	3.72087
0.999999	1e-06	4.4	206.071	0.678752	0.0100904	0.678752	0.9076	3.72743
0.999999	1e-06	4.6	251.695	0.67762	0.00983031	0.67762	0.906087	3.73365
0.999999	1e-06	4.8	307.421	0.676549	0.00958355	0.676549	0.904654	3.73957
0.999999	1e-06	5	375.485	0.675533	0.00934912	0.675533	0.903296	3.74519
0.999999	1e-06	5.2	458.619	0.674569	0.00912609	0.674569	0.902007	3.75054
0.999999	1e-06	5.4	560.158	0.673652	0.00891365	0.673652	0.90078	3.75565
0.999999	1e-06	5.6	684.179	0.672779	0.00871105	0.672779	0.899613	3.76052
0.999999	1e-06	5.8	835.658	0.671947	0.00851761	0.671947	0.898501	3.76518
