#filename: a0VsTP.dat
# from RhosAmps.ods NewDat sheet
0.00	2.4299695216	2.4300842493	2.4301277188	2.4301338587	2.4301292961	2.4301333500	2.4301580310	2.4302080418	2.4302807776	2.4303663240	2.4304474538	2.4304996241	2.4304909782	2.4303823566	2.4301273245	2.4296722234	2.4289562568	2.4279116213	2.4264636948	2.4245312951	2.4220270235	2.4188577071	2.4149249546	2.4101258389	2.4043537176	2.3974992029
0.05	2.4296570004	2.4297779145	2.4298252431	2.4298334367	2.4298295676	2.4298333235	2.4298570060	2.4299055323	2.4299764344	2.4300598580	2.4301385587	2.4301878995	2.4301758529	2.4300630121	2.4298026189	2.4293406162	2.4286157356	2.4275596302	2.4260970657	2.4241461845	2.4216188537	2.4184211165	2.4144537563	2.4096129913	2.4037913097	2.3968784554
0.10	2.4293561012	2.4294831410	2.4295342848	2.4295445041	2.4295413163	2.4295447770	2.4295674790	2.4296145531	2.4296836685	2.4297650304	2.4298413772	2.4298879780	2.4298726345	2.4297556925	2.4294900707	2.4290213137	2.4282876813	2.4272202833	2.4257432740	2.4237741203	2.4212239564	2.4179980417	2.4139963353	2.4091142025	2.4032432633	2.3962723955
0.15	2.4290667563	2.4291998614	2.4292547764	2.4292669937	2.4292644750	2.4292676435	2.4292893827	2.4293350371	2.4294024124	2.4294817736	2.4295558417	2.4295997918	2.4295812547	2.4294603293	2.4291896109	2.4287142463	2.4279720236	2.4268935094	2.4254022473	2.4234150290	2.4208422562	2.4175884054	2.4135526125	2.4086293905	2.4027094932	2.3956809344
0.20	2.4287888984	2.4289280086	2.4289866513	2.4290008388	2.4289989769	2.4290018561	2.4290226503	2.4290669173	2.4291325992	2.4292100204	2.4292818847	2.4293232731	2.4293016457	2.4291768541	2.4289011710	2.4284193450	2.4276686928	2.4265792386	2.4250739149	2.4230688392	2.4204736809	2.4171921345	2.4131225134	2.4081584797	2.4021899223	2.3951039928
0.25	2.4285224608	2.4286675160	2.4287298427	2.4287459729	2.4287447557	2.4287473486	2.4287672155	2.4288101272	2.4288741621	2.4289497040	2.4290194393	2.4290583548	2.4290337399	2.4289051992	2.4286246826	2.4281365410	2.4273776199	2.4262774010	2.4247582064	2.4227354795	2.4201181582	2.4168091554	2.4127059629	2.4077013932	2.4016844716	2.3945414898
0.30	2.4282673768	2.4284183174	2.4284842848	2.4285023301	2.4285017456	2.4285040551	2.4285230122	2.4285646008	2.4286270351	2.4287007582	2.4287684389	2.4288049701	2.4287774702	2.4286452972	2.4283600780	2.4278657662	2.4270987361	2.4259879272	2.4244550516	2.4224148790	2.4197756161	2.4164393950	2.4123028866	2.4072580548	2.4011930631	2.3939933447
0.35	2.4280235806	2.4281803469	2.4282499119	2.4282698449	2.4282698809	2.4282719098	2.4282899748	2.4283302722	2.4283911522	2.4284631168	2.4285288174	2.4285630525	2.4285327701	2.4283970811	2.4281072900	2.4276069528	2.4268319731	2.4257107484	2.4241643810	2.4221069672	2.4194459831	2.4160827805	2.4119132102	2.4068283888	2.4007156190	2.3934594774
0.40	2.4277910064	2.4279535392	2.4280266586	2.4280484520	2.4280490964	2.4280508478	2.4280680382	2.4281070764	2.4281664481	2.4282367144	2.4283005090	2.4283325361	2.4282995732	2.4281604844	2.4278662515	2.4273600334	2.4265772630	2.4254457962	2.4238861253	2.4218116741	2.4191291882	2.4157392397	2.4115368603	2.4064123198	2.4002520618	2.3929398083
0.45	2.4275695890	2.4277378292	2.4278144601	2.4278380867	2.4278393276	2.4278408043	2.4278571376	2.4278949484	2.4279528578	2.4280214858	2.4280834483	2.4281133554	2.4280778138	2.4279354409	2.4276368961	2.4271249411	2.4263345385	2.4251930024	2.4236202160	2.4215289302	2.4188251609	2.4154087009	2.4111737636	2.4060097730	2.3998023149	2.3924342583
