tempv	cap	l	Kr/K0	F	
1e-08	3.50788e+06	14.4761	1.02127e-05	-0.0522489
1.49182e-08	1.46919e+06	14.2068	1.33676e-05	-0.0522489
2.22554e-08	596247	13.9378	1.74941e-05	-0.0522489
3.32012e-08	230109	13.6689	2.28917e-05	-0.0522489
4.95303e-08	81942.7	13.4001	2.99524e-05	-0.0522489
7.38906e-08	25554.5	13.1313	3.91888e-05	-0.0522489
1.10232e-07	6365.37	12.8625	5.12716e-05	-0.0522489
1.64446e-07	1149.46	12.5938	6.70783e-05	-0.0522489
2.45325e-07	292.906	12.3251	8.77567e-05	-0.0522488
3.65982e-07	259.322	12.0564	0.000114808	-0.0522488
5.45982e-07	252.901	11.7877	0.000150198	-0.0522488
8.14509e-07	244.925	11.519	0.000196495	-0.0522487
1.2151e-06	237.701	11.2504	0.000257063	-0.0522486
1.81272e-06	230.912	10.9817	0.000336299	-0.0522484
2.70426e-06	223.741	10.713	0.000439957	-0.0522481
4.03429e-06	215.909	10.4443	0.000575566	-0.0522477
6.01845e-06	208.99	10.1756	0.000752973	-0.0522471
8.97847e-06	201.718	9.907	0.000985061	-0.0522462
1.33943e-05	194.912	9.6383	0.00128868	-0.0522449
1.9982e-05	188.12	9.3696	0.00168589	-0.0522429
2.98096e-05	180.443	9.1009	0.00220552	-0.05224
4.44707e-05	172.611	8.8323	0.00288531	-0.0522355
6.63424e-05	165.19	8.5636	0.0037746	-0.052229
9.89713e-05	157.725	8.2949	0.00493796	-0.0522192
0.000147648	149.886	8.0262	0.00645981	-0.0522045
0.000220265	143.29	7.7575	0.00845057	-0.0521828
0.000328596	134.896	7.4888	0.0110546	-0.0521503
0.000490208	127.806	7.22	0.0144607	-0.052102
0.000731304	119.255	6.9512	0.0189153	-0.0520301
0.00109098	111.754	6.6824	0.0247405	-0.0519233
0.00162755	103.984	6.4135	0.0323565	-0.0517648
0.00242802	96.1762	6.1445	0.0423103	-0.0515302
0.00362217	88.3646	5.8753	0.0553137	-0.0511838
0.00540365	80.8436	5.6058	0.0722885	-0.0506744
0.0080613	72.6698	5.3361	0.094423	-0.049929
