tempv	cap	l	Kr/K0	F	
1e-08	632959	14.3908	8.25113e-06	-0.0682386
1.49182e-08	259668	14.1222	1.07936e-05	-0.0682386
2.22554e-08	101830	13.8536	1.41198e-05	-0.0682386
3.32012e-08	37178.5	13.585	1.84713e-05	-0.0682386
4.95303e-08	12079.5	13.3163	2.41641e-05	-0.0682386
7.38906e-08	3225.37	13.0477	3.16118e-05	-0.0682386
1.10232e-07	625.713	12.779	4.13551e-05	-0.0682386
1.64446e-07	120.384	12.5103	5.41016e-05	-0.0682385
2.45325e-07	90.173	12.2417	7.0777e-05	-0.0682385
3.65982e-07	87.5405	11.973	9.25923e-05	-0.0682385
5.45982e-07	85.1442	11.7043	0.000121132	-0.0682384
8.14509e-07	82.7828	11.4356	0.000158468	-0.0682383
1.2151e-06	79.8161	11.167	0.000207313	-0.0682382
1.81272e-06	78.1034	10.8983	0.000271212	-0.068238
2.70426e-06	75.4178	10.6296	0.000354808	-0.0682376
4.03429e-06	72.7656	10.3609	0.00046417	-0.0682372
6.01845e-06	70.1832	10.0923	0.000607241	-0.0682364
8.97847e-06	67.3067	9.8236	0.00079441	-0.0682354
1.33943e-05	65.2086	9.5549	0.00103927	-0.0682338
1.9982e-05	62.7149	9.2862	0.0013596	-0.0682314
2.98096e-05	60.6972	9.0175	0.00177867	-0.0682279
4.44707e-05	57.5658	8.7489	0.00232689	-0.0682226
6.63424e-05	54.9289	8.4802	0.00304409	-0.0682148
9.89713e-05	52.273	8.2115	0.00398233	-0.068203
0.000147648	49.5419	7.9428	0.00520972	-0.0681856
0.000220265	47.5214	7.674	0.00681536	-0.0681596
0.000328596	44.5002	7.4053	0.00891574	-0.0681208
0.000490208	41.7569	7.1365	0.0116632	-0.0680631
0.000731304	39.4846	6.8677	0.015257	-0.0679772
0.00109098	36.4042	6.5988	0.0199573	-0.0678496
0.00162755	33.7871	6.3297	0.0261042	-0.0676604
0.00242802	31.2131	6.0605	0.0341415	-0.0673802
0.00362217	28.3994	5.791	0.0446476	-0.0669665
0.00540365	25.8671	5.5211	0.0583755	-0.0663581
0.0080613	23.5482	5.2506	0.0763027	-0.0654678
