tempv	cap	l	Kr/K0	F	
1e-08	480902	14.3592	7.33882e-06	-0.0759348
1.49182e-08	194512	14.0907	9.59863e-06	-0.0759348
2.22554e-08	74587.4	13.8222	1.25552e-05	-0.0759348
3.32012e-08	26255.4	13.5536	1.64234e-05	-0.0759348
4.95303e-08	8022.54	13.285	2.14841e-05	-0.0759348
7.38906e-08	1929.19	13.0164	2.81048e-05	-0.0759348
1.10232e-07	332.764	12.7478	3.67664e-05	-0.0759348
1.64446e-07	98.4422	12.4791	4.80979e-05	-0.0759347
2.45325e-07	94.133	12.2104	6.29223e-05	-0.0759347
3.65982e-07	91.6363	11.9418	8.23161e-05	-0.0759347
5.45982e-07	88.952	11.6731	0.000107688	-0.0759346
8.14509e-07	86.2827	11.4044	0.00014088	-0.0759345
1.2151e-06	84.7334	11.1358	0.000184302	-0.0759343
1.81272e-06	81.583	10.8671	0.00024111	-0.0759341
2.70426e-06	78.5363	10.5984	0.000315427	-0.0759338
4.03429e-06	76.5987	10.3297	0.00041265	-0.0759333
6.01845e-06	73.3535	10.0611	0.000539841	-0.0759325
8.97847e-06	71.1594	9.7924	0.000706235	-0.0759314
1.33943e-05	68.5468	9.5237	0.000923917	-0.0759297
1.9982e-05	65.5352	9.255	0.00120869	-0.0759271
2.98096e-05	63.057	8.9863	0.00158125	-0.0759234
4.44707e-05	59.6017	8.7177	0.00206863	-0.0759177
6.63424e-05	57.4463	8.449	0.00270623	-0.0759093
9.89713e-05	54.5063	8.1803	0.00354034	-0.0758968
0.000147648	51.2072	7.9115	0.00463154	-0.0758782
0.000220265	49.7492	7.6428	0.00605901	-0.0758504
0.000328596	46.1911	7.3741	0.00792639	-0.075809
0.000490208	42.7507	7.1053	0.0103692	-0.0757474
0.000731304	40.4578	6.8364	0.0135645	-0.0756557
0.00109098	37.7093	6.5674	0.0177441	-0.0755194
0.00162755	34.9003	6.2983	0.0232106	-0.0753174
0.00242802	32.1224	6.029	0.0303593	-0.0750182
0.00362217	29.179	5.7594	0.0397065	-0.0745765
0.00540365	26.3863	5.4894	0.051925	-0.0739269
0.0080613	23.4602	5.2186	0.0678908	-0.0729762
