#filename: a0VsTP_3d.dat
# from RhosAmps.ods Sheet2
#T (K)	P (bar)	a0 (angstrom)
0.3	0.00	2.4301338587
0.3	0.05	2.4298334367
0.3	0.10	2.4295445041
0.3	0.15	2.4292669937
0.3	0.20	2.4290008388
0.3	0.25	2.4287459729
0.3	0.30	2.4285023301
0.3	0.35	2.4282698449
0.3	0.40	2.4280484520
0.3	0.45	2.4278380867
0.3	0.50	2.4276386845
0.3	1.00	2.4262337480
0.3	2.00	2.4264505608
0.3	5.00	2.4475348239
0.3	10.00	2.5319663457
0.3	15.00	2.6571910377
0.3	20.00	2.8139767447
0.3	25.00	3.0060569388
0.3	30.00	3.2489086735
0.3	40.00	4.0177598326
0.3	50.00	5.6296007170
0.3	60.00	9.7578390736

0.4	0.00	2.4301292961
0.4	0.05	2.4298295676
0.4	0.10	2.4295413163
0.4	0.15	2.4292644750
0.4	0.20	2.4289989769
0.4	0.25	2.4287447557
0.4	0.30	2.4285017456
0.4	0.35	2.4282698809
0.4	0.40	2.4280490964
0.4	0.45	2.4278393276
0.4	0.50	2.4276405100
0.4	1.00	2.4262407694
0.4	2.00	2.4264645385
0.4	5.00	2.4475444609
0.4	10.00	2.5318995715
0.4	15.00	2.6569966416
0.4	20.00	2.8136715728
0.4	25.00	3.0057790927
0.4	30.00	3.2490148985
0.4	40.00	4.0218029458
0.4	50.00	5.6543281597
0.4	60.00	9.9137713324

0.5	0.00	2.4301333500
0.5	0.05	2.4298333235
0.5	0.10	2.4295447770
0.5	0.15	2.4292676435
0.5	0.20	2.4290018561
0.5	0.25	2.4287473486
0.5	0.30	2.4285040551
0.5	0.35	2.4282719098
0.5	0.40	2.4280508478
0.5	0.45	2.4278408043
0.5	0.50	2.4276417149
0.5	1.00	2.4262394140
0.5	2.00	2.4264589213
0.5	5.00	2.4475337692
0.5	10.00	2.5319235596
0.5	15.00	2.6571748072
0.5	20.00	2.8142641014
0.5	25.00	3.0072988020
0.5	30.00	3.2524304226
0.5	40.00	4.0362602727
0.5	50.00	5.7148795861
0.5	60.00	10.2453967456

0.6	0.00	2.4301580310
0.6	0.05	2.4298570060
0.6	0.10	2.4295674790
0.6	0.15	2.4292893827
0.6	0.20	2.4290226503
0.6	0.25	2.4287672155
0.6	0.30	2.4285230122
0.6	0.35	2.4282899748
0.6	0.40	2.4280680382
0.6	0.45	2.4278571376
0.6	0.50	2.4276572085
0.6	1.00	2.4262474611
0.6	2.00	2.4264571615
0.6	5.00	2.4475429439
0.6	10.00	2.5321063276
0.6	15.00	2.6578209984
0.6	20.00	2.8158745968
0.6	25.00	3.0107547102
0.6	30.00	3.2593017577
0.6	40.00	4.0612825978
0.6	50.00	5.8122785499
0.6	60.00	10.7784985713

0.7	0.00	2.4302080418
0.7	0.05	2.4299055323
0.7	0.10	2.4296145531
0.7	0.15	2.4293350371
0.7	0.20	2.4290669173
0.7	0.25	2.4288101272
0.7	0.30	2.4285646008
0.7	0.35	2.4283302722
0.7	0.40	2.4281070764
0.7	0.45	2.4278949484
0.7	0.50	2.4276938237
0.7	1.00	2.4262738499
0.7	2.00	2.4264723529
0.7	5.00	2.4475972022
0.7	10.00	2.5324918309
0.7	15.00	2.6589926634
0.7	20.00	2.8185605953
0.7	25.00	3.0161774135
0.7	30.00	3.2695849002
0.7	40.00	4.0964180206
0.7	50.00	5.9457399515
0.7	60.00	11.5432951301

0.8	0.00	2.4302807776
0.8	0.05	2.4299764344
0.8	0.10	2.4296836685
0.8	0.15	2.4294024124
0.8	0.20	2.4291325992
0.8	0.25	2.4288741621
0.8	0.30	2.4286270351
0.8	0.35	2.4283911522
0.8	0.40	2.4281664481
0.8	0.45	2.4279528578
0.8	0.50	2.4277503167
0.8	1.00	2.4263186796
0.8	2.00	2.4265072310
0.8	5.00	2.4477067876
0.8	10.00	2.5331000040
0.8	15.00	2.6607093472
0.8	20.00	2.8223169395
0.8	25.00	3.0234884704
0.8	30.00	3.2830396926
0.8	40.00	4.1405372255
0.8	50.00	6.1119146293
0.8	60.00	12.5691701665

0.9	0.00	2.4303663240
0.9	0.05	2.4300598580
0.9	0.10	2.4297650304
0.9	0.15	2.4294817736
0.9	0.20	2.4292100204
0.9	0.25	2.4289497040
0.9	0.30	2.4287007582
0.9	0.35	2.4284631168
0.9	0.40	2.4282367144
0.9	0.45	2.4280214858
0.9	0.50	2.4278173663
0.9	1.00	2.4263732084
0.9	2.00	2.4265541730
0.9	5.00	2.4478669700
0.9	10.00	2.5339267550
0.9	15.00	2.6629525953
0.9	20.00	2.8270751048
0.9	25.00	3.0324972580
0.9	30.00	3.2992180048
0.9	40.00	4.1917082441
0.9	50.00	6.3035780948
0.9	60.00	13.8669875985

1.0	0.00	2.4304474538
1.0	0.05	2.4301385587
1.0	0.10	2.4298413772
1.0	0.15	2.4295558417
1.0	0.20	2.4292818847
1.0	0.25	2.4290194393
1.0	0.30	2.4287684389
1.0	0.35	2.4285288174
