T/Tc	1-T/Tc	l	a	K	y	Kr	Kr/K0	a0/Kr
0.205672	0.794328	2.0001	18.6962	3.63615	1.05144e-16	3.63615	1	0.695791
0.369043	0.630957	2.0001	18.6962	2.02647	7.31512e-09	2.02647	1	1.24848
0.498813	0.501187	2.0001	18.6962	1.49925	2.70907e-06	1.49925	0.999987	1.68751
0.601893	0.398107	2.0001	18.6962	1.24226	4.83394e-05	1.24226	0.999809	2.0366
0.683772	0.316228	2.0001	18.6962	1.09266	0.000257642	1.09266	0.999034	2.31545
0.748811	0.251189	2.0001	18.6962	0.9959	0.000754286	0.9959	0.997176	2.54042
0.800474	0.199526	2.0001	18.6962	0.928659	0.00157415	0.928659	0.994001	2.72436
0.841511	0.158489	2.0001	18.6962	0.879473	0.00266522	0.879473	0.989614	2.87672
0.874107	0.125893	2.0001	18.6962	0.842176	0.00393104	0.842176	0.984355	3.00412
0.9	0.1	2.0001	18.6962	0.813207	0.00526929	0.813207	0.97865	3.11114
0.920567	0.0794328	2.0001	18.6962	0.790365	0.00659369	0.790365	0.972898	3.20105
0.936904	0.0630957	2.0001	18.6962	0.772197	0.00784204	0.772197	0.967402	3.27637
0.949881	0.0501187	2.0001	18.6962	0.757681	0.00897607	0.757681	0.962364	3.33914
0.960189	0.0398107	2.0001	18.6962	0.74606	0.00997737	0.74606	0.957887	3.39115
0.968377	0.0316228	2.0001	18.6962	0.736753	0.0108421	0.736753	0.954004	3.43399
0.974881	0.0251189	2.0001	18.6962	0.729302	0.011576	0.729302	0.950699	3.46907
0.980047	0.0199526	2.0001	18.6962	0.723343	0.0121903	0.723343	0.947927	3.49765
0.984151	0.0158489	2.0001	18.6962	0.71858	0.0126991	0.71858	0.945629	3.52083
0.987411	0.0125893	2.0001	18.6962	0.714777	0.0131168	0.714777	0.94374	3.53956
0.99	0.01	2.0001	18.6962	0.711744	0.0134575	0.711744	0.942199	3.55465
0.992057	0.00794328	2.0001	18.6962	0.709325	0.0137337	0.709325	0.940948	3.56677
0.99369	0.00630957	2.0001	18.6962	0.707399	0.0139568	0.707399	0.939938	3.57648
0.994988	0.00501187	2.0001	18.6962	0.705865	0.0141364	0.705865	0.939125	3.58425
0.996019	0.00398107	2.0001	18.6962	0.704645	0.0142806	0.704645	0.938473	3.59046
0.996838	0.00316228	2.0001	18.6962	0.703674	0.014396	0.703674	0.93795	3.59542
0.997488	0.00251189	2.0001	18.6962	0.702901	0.0144883	0.702901	0.937532	3.59937
0.998005	0.00199526	2.0001	18.6962	0.702287	0.014562	0.702287	0.937198	3.60251
0.998415	0.00158489	2.0001	18.6962	0.701799	0.0146208	0.701799	0.936931	3.60502
0.998741	0.00125893	2.0001	18.6962	0.701411	0.0146677	0.701411	0.936719	3.60701
0.999	0.001	2.0001	18.6962	0.701103	0.014705	0.701103	0.93655	3.6086
1.00126	-0.00125893	2.0001	18.6962	0.698407	0.0150342	0.698407	0.935059	3.62253
1.00158	-0.00158489	2.0001	18.6962	0.698017	0.0150823	0.698017	0.934841	3.62455
1.002	-0.00199526	2.0001	18.6962	0.697526	0.015143	0.697526	0.934566	3.6271
1.00251	-0.00251189	2.0001	18.6962	0.696907	0.0152197	0.696907	0.934218	3.63033
1.00316	-0.00316228	2.0001	18.6962	0.696127	0.0153169	0.696127	0.933778	3.63439
1.00398	-0.00398107	2.0001	18.6962	0.695144	0.01544	0.695144	0.93322	3.63953
1.00501	-0.00501187	2.0001	18.6962	0.693904	0.0155962	0.693904	0.932512	3.64604
1.00631	-0.00630957	2.0001	18.6962	0.69234	0.015795	0.69234	0.931612	3.65427
1.00794	-0.00794328	2.0001	18.6962	0.690366	0.0160485	0.690366	0.930463	3.66472
1.01	-0.01	2.0001	18.6962	0.687872	0.016373	0.687872	0.928993	3.67801
1.01259	-0.0125893	2.0001	18.6962	0.684717	0.0167902	0.684717	0.927104	3.69496
1.01585	-0.0158489	2.0001	18.6962	0.680723	0.0173293	0.680723	0.924663	3.71664
1.01995	-0.0199526	2.0001	18.6962	0.675657	0.0180309	0.675657	0.921488	3.74451
1.02512	-0.0251189	2.0001	18.6962	0.669215	0.0189517	0.669215	0.917326	3.78055
1.03162	-0.0316228	2.0001	18.6962	0.661	0.0201733	0.661	0.911814	3.82753
1.03981	-0.0398107	2.0001	18.6962	0.650478	0.0218165	0.650478	0.904421	3.88945
1.05012	-0.0501187	2.0001	18.6962	0.636923	0.0240654	0.636923	0.894354	3.97222
1.0631	-0.0630957	2.0001	18.6962	0.619324	0.0272118	0.619324	0.880389	4.0851
1.07943	-0.0794328	2.0001	18.6962	0.596232	0.0317388	0.596232	0.860586	4.24332
1.1	-0.1	2.0001	18.6962	0.565507	0.0384895	0.565507	0.831791	4.47386
1.12589	-0.125893	2.0001	18.6962	0.523938	0.049028	0.523938	0.788789	4.82881
1.15849	-0.158489	2.0001	18.6962	0.466786	0.0664626	0.466786	0.723091	5.42005
1.19953	-0.199526	2.0001	18.6962	0.387991	0.0974299	0.387991	0.622322	6.52077
1.25119	-0.251189	2.0001	18.6962	0.28421	0.156845	0.28421	0.475495	8.90186
