tempv	cap	l	Kr/K0	F	
1e-08	33.9577	6.6427	0.0263493	-0.0506522
1.49182e-08	34.133	6.6427	0.0263493	-0.0506522
2.22554e-08	34.1762	6.6427	0.0263495	-0.0506522
3.32012e-08	34.1284	6.6427	0.0263496	-0.0506522
4.95303e-08	33.9714	6.6427	0.0263499	-0.0506522
7.38906e-08	34.1005	6.6427	0.0263502	-0.0506522
1.10232e-07	33.9978	6.6426	0.0263508	-0.0506522
1.64446e-07	34.0705	6.6426	0.0263516	-0.0506522
2.45325e-07	34.2763	6.6426	0.0263528	-0.0506522
3.65982e-07	34.0019	6.6425	0.0263546	-0.0506521
5.45982e-07	33.9288	6.6424	0.0263574	-0.0506521
8.14509e-07	34.1386	6.6422	0.0263614	-0.050652
1.2151e-06	34.0655	6.642	0.0263675	-0.0506519
1.81272e-06	33.8918	6.6417	0.0263765	-0.0506517
2.70426e-06	33.9726	6.6412	0.0263899	-0.0506515
4.03429e-06	34.0723	6.6404	0.0264099	-0.0506511
6.01845e-06	34.013	6.6393	0.0264398	-0.0506505
8.97847e-06	34.1915	6.6376	0.0264844	-0.0506496
1.33943e-05	33.9332	6.6351	0.0265508	-0.0506483
1.9982e-05	34.0571	6.6313	0.0266497	-0.0506464
2.98096e-05	33.8576	6.6258	0.0267969	-0.0506436
4.44707e-05	33.8748	6.6177	0.0270158	-0.0506393
6.63424e-05	33.6345	6.6057	0.0273407	-0.050633
9.89713e-05	33.5655	6.5882	0.0278219	-0.0506235
0.000147648	33.3477	6.563	0.0285323	-0.0506094
0.000220265	33.0938	6.527	0.0295762	-0.0505883
0.000328596	32.7273	6.4766	0.0311007	-0.0505569
0.000490208	31.973	6.4078	0.0333091	-0.0505101
0.000731304	31.2369	6.3168	0.0364761	-0.0504405
0.00109098	30.1291	6.2004	0.0409642	-0.0503371
0.00162755	28.8561	6.0572	0.0472424	-0.0501834
0.00242802	27.3815	5.888	0.0559088	-0.0499557
0.00362217	25.6774	5.6951	0.0677221	-0.0496194
0.00540365	23.8101	5.4822	0.0836436	-0.0491242
0.0080613	21.5265	5.2531	0.104893	-0.0483991
