tempv	cap	l	Kr/K0	F	
1e-08	703125	14.4053	8.6252e-06	-0.0651258
1.49182e-08	289839	14.1366	1.12838e-05	-0.0651258
2.22554e-08	114536	13.8679	1.47619e-05	-0.0651258
3.32012e-08	42340.6	13.5992	1.93121e-05	-0.0651258
4.95303e-08	14051.3	13.3306	2.52647e-05	-0.0651258
7.38906e-08	3892.25	13.0619	3.3052e-05	-0.0651258
1.10232e-07	795.916	12.7932	4.32397e-05	-0.0651258
1.64446e-07	140.676	12.5245	5.65676e-05	-0.0651258
2.45325e-07	88.8415	12.2559	7.40034e-05	-0.0651257
3.65982e-07	85.835	11.9872	9.68136e-05	-0.0651257
5.45982e-07	83.5252	11.7185	0.000126654	-0.0651256
8.14509e-07	81.238	11.4498	0.000165693	-0.0651255
1.2151e-06	78.3775	11.1812	0.000216765	-0.0651254
1.81272e-06	76.131	10.9125	0.000283578	-0.0651252
2.70426e-06	74.0665	10.6438	0.000370986	-0.0651249
4.03429e-06	71.6651	10.3751	0.000485335	-0.0651244
6.01845e-06	68.9673	10.1064	0.000634929	-0.0651237
8.97847e-06	66.5405	9.8378	0.000830632	-0.0651227
1.33943e-05	64.0537	9.5691	0.00108666	-0.0651212
1.9982e-05	62.0456	9.3004	0.00142159	-0.0651189
2.98096e-05	58.9078	9.0317	0.00185977	-0.0651154
4.44707e-05	56.5559	8.763	0.00243299	-0.0651103
6.63424e-05	54.4199	8.4944	0.00318288	-0.0651027
9.89713e-05	52.0622	8.2257	0.00416389	-0.0650913
0.000147648	48.8749	7.957	0.00544723	-0.0650744
0.000220265	46.3381	7.6882	0.00712605	-0.0650491
0.000328596	44.0342	7.4195	0.00932214	-0.0650115
0.000490208	41.6119	7.1507	0.0121948	-0.0649555
0.000731304	38.8991	6.8819	0.0159522	-0.0648721
0.00109098	35.912	6.613	0.0208663	-0.0647483
0.00162755	33.9881	6.344	0.0272926	-0.0645646
0.00242802	30.9659	6.0748	0.0356944	-0.0642927
0.00362217	28.1946	5.8054	0.0466759	-0.0638912
0.00540365	25.1653	5.5355	0.0610225	-0.0633006
0.0080613	22.893	5.2652	0.0797527	-0.0624366
