T/Tc	1-T/Tc	l	a	K	y	Kr	Kr/K0	a0/Kr
2	-1	30.0002	2.70422e+13	3.75489e-52	9.2678e+24	3.75489e-52	1.00418e-51	6.73789e+51
2	-1	30.2003	3.30327e+13	1.6865e-52	1.38287e+25	1.6865e-52	4.51026e-52	1.50014e+52
2	-1	30.4003	4.03462e+13	7.57795e-53	2.063e+25	7.57795e-53	2.02659e-52	3.33863e+52
2	-1	30.6003	4.9279e+13	3.40499e-53	3.07763e+25	3.40499e-53	9.10605e-53	7.43027e+52
2	-1	30.8003	6.01895e+13	1.52996e-53	4.59129e+25	1.52996e-53	4.09161e-53	1.65364e+53
2	-1	31.0003	7.35156e+13	6.87456e-54	6.8494e+25	6.87456e-54	1.83848e-53	3.68023e+53
2	-1	31.2003	8.97922e+13	3.08894e-54	1.02181e+26	3.08894e-54	8.26082e-54	8.19051e+53
2	-1	31.4003	1.09672e+14	1.38795e-54	1.52436e+26	1.38795e-54	3.71183e-54	1.82283e+54
2	-1	31.6003	1.33954e+14	6.23646e-55	2.27408e+26	6.23646e-55	1.66783e-54	4.05679e+54
2	-1	31.8003	1.63612e+14	2.80222e-55	3.39253e+26	2.80222e-55	7.49405e-55	9.02855e+54
2	-1	32.0003	1.99836e+14	1.25912e-55	5.06106e+26	1.25912e-55	3.36729e-55	2.00934e+55
2	-1	32.2003	2.44081e+14	5.65759e-56	7.55022e+26	5.65759e-56	1.51302e-55	4.47187e+55
2	-1	32.4003	2.98121e+14	2.54212e-56	1.12636e+27	2.54212e-56	6.79845e-56	9.95233e+55
2	-1	32.6003	3.64125e+14	1.14225e-56	1.68033e+27	1.14225e-56	3.05474e-56	2.21493e+56
2	-1	32.8003	4.44744e+14	5.13245e-57	2.50676e+27	5.13245e-57	1.37258e-56	4.92942e+56
2	-1	33.0003	5.43211e+14	2.30616e-57	3.73965e+27	2.30616e-57	6.16741e-57	1.09706e+57
2	-1	33.2003	6.6348e+14	1.03622e-57	5.5789e+27	1.03622e-57	2.7712e-57	2.44156e+57
2	-1	33.4003	8.10376e+14	4.65605e-58	8.32274e+27	4.65605e-58	1.24518e-57	5.43379e+57
2	-1	33.6003	9.89795e+14	2.0921e-58	1.24161e+28	2.0921e-58	5.59495e-58	1.20931e+58
2	-1	33.8003	1.20894e+15	9.40041e-59	1.85226e+28	9.40041e-59	2.51397e-58	2.69137e+58
2	-1	34.0003	1.4766e+15	4.22388e-59	2.76325e+28	4.22388e-59	1.1296e-58	5.98976e+58
2	-1	34.2003	1.80352e+15	1.89791e-59	4.12228e+28	1.89791e-59	5.07562e-59	1.33305e+59
2	-1	34.4003	2.20283e+15	8.52786e-60	6.14972e+28	8.52786e-60	2.28062e-59	2.96675e+59
2	-1	34.6003	2.69054e+15	3.83181e-60	9.1743e+28	3.83181e-60	1.02475e-59	6.60262e+59
2	-1	34.8003	3.28624e+15	1.72175e-60	1.36864e+29	1.72175e-60	4.6045e-60	1.46944e+60
2	-1	35.0003	4.01382e+15	7.7363e-61	2.04178e+29	7.7363e-61	2.06894e-60	3.2703e+60
2	-1	35.2003	4.90249e+15	3.47614e-61	3.04597e+29	3.47614e-61	9.29633e-61	7.27818e+60
2	-1	35.4003	5.98791e+15	1.56193e-61	4.54406e+29	1.56193e-61	4.17711e-61	1.61979e+61
2	-1	35.6003	7.31365e+15	7.01821e-62	6.77894e+29	7.01821e-62	1.8769e-61	3.60491e+61
2	-1	35.8003	8.93292e+15	3.15349e-62	1.0113e+30	3.15349e-62	8.43344e-62	8.02287e+61
2	-1	36.0003	1.09107e+16	1.41695e-62	1.50868e+30	1.41695e-62	3.78939e-62	1.78552e+62
2	-1	36.2003	1.33263e+16	6.36678e-63	2.25069e+30	6.36678e-63	1.70268e-62	3.97375e+62
2	-1	36.4003	1.62768e+16	2.86078e-63	3.35763e+30	2.86078e-63	7.65064e-63	8.84375e+62
2	-1	36.6003	1.98806e+16	1.28543e-63	5.009e+30	1.28543e-63	3.43766e-63	1.96821e+63
2	-1	36.8003	2.42822e+16	5.77581e-64	7.47255e+30	5.77581e-64	1.54464e-63	4.38034e+63
2	-1	37.0003	2.96583e+16	2.59524e-64	1.11477e+31	2.59524e-64	6.94051e-64	9.74862e+63
2	-1	37.2003	3.62248e+16	1.16612e-64	1.66305e+31	1.16612e-64	3.11857e-64	2.16959e+64
2	-1	37.4003	4.4245e+16	5.2397e-65	2.48097e+31	5.2397e-65	1.40126e-64	4.82852e+64
2	-1	37.6003	5.4041e+16	2.35435e-65	3.70118e+31	2.35435e-65	6.29629e-65	1.07461e+65
2	-1	37.8003	6.60058e+16	1.05788e-65	5.52151e+31	1.05788e-65	2.8291e-65	2.39158e+65
2	-1	38.0003	8.06197e+16	4.75335e-66	8.23712e+31	4.75335e-66	1.2712e-65	5.32257e+65
2	-1	38.2003	9.84691e+16	2.13582e-66	1.22883e+32	2.13582e-66	5.71186e-66	1.18456e+66
2	-1	38.4003	1.2027e+17	9.59684e-67	1.8332e+32	9.59684e-67	2.5665e-66	2.63628e+66
2	-1	38.6003	1.46899e+17	4.31214e-67	2.73482e+32	4.31214e-67	1.15321e-66	5.86716e+66
2	-1	38.8003	1.79422e+17	1.93757e-67	4.07987e+32	1.93757e-67	5.18168e-67	1.30576e+67
2	-1	39.0003	2.19147e+17	8.70606e-68	6.08645e+32	8.70606e-68	2.32828e-67	2.90602e+67
2	-1	39.2003	2.67667e+17	3.91188e-68	9.07992e+32	3.91188e-68	1.04616e-67	6.46747e+67
2	-1	39.4003	3.26929e+17	1.75772e-68	1.35457e+33	1.75772e-68	4.70072e-68	1.43936e+68
2	-1	39.6003	3.99312e+17	7.89796e-69	2.02077e+33	7.89796e-69	2.11217e-68	3.20336e+68
2	-1	39.8003	4.87721e+17	3.54878e-69	3.01464e+33	3.54878e-69	9.49059e-69	7.12921e+68
2	-1	40.0003	5.95703e+17	1.59457e-69	4.49732e+33	1.59457e-69	4.2644e-69	1.58663e+69
2	-1	40.2004	7.27667e+17	7.162e-70	6.71055e+33	7.162e-70	1.91535e-69	3.53253e+69
2	-1	40.4004	8.88774e+17	3.21809e-70	1.0011e+34	3.21809e-70	8.60622e-70	7.8618e+69
2	-1	40.6004	1.08555e+18	1.44598e-70	1.49346e+34	1.44598e-70	3.86702e-70	1.74967e+70
2	-1	40.8004	1.32589e+18	6.49722e-71	2.22798e+34	6.49722e-71	1.73757e-70	3.89397e+70
2	-1	41.0004	1.61945e+18	2.91939e-71	3.32376e+34	2.91939e-71	7.80739e-71	8.6662e+70
2	-1	41.2004	1.978e+18	1.31177e-71	4.95846e+34	1.31177e-71	3.50809e-71	1.9287e+71
2	-1	41.4004	2.41594e+18	5.89415e-72	7.39716e+34	5.89415e-72	1.57628e-71	4.29239e+71
2	-1	41.6004	2.95083e+18	2.64841e-72	1.10353e+35	2.64841e-72	7.0827e-72	9.5529e+71
2	-1	41.8004	3.60416e+18	1.19001e-72	1.64627e+35	1.19001e-72	3.18246e-72	2.12604e+72
2	-1	42.0004	4.40213e+18	5.34705e-73	2.45594e+35	5.34705e-73	1.42997e-72	4.73158e+72
2	-1	42.2004	5.37677e+18	2.40258e-73	3.66384e+35	2.40258e-73	6.42528e-73	1.05303e+73
2	-1	42.4004	6.5672e+18	1.07955e-73	5.4658e+35	1.07955e-73	2.88707e-73	2.34357e+73
2	-1	42.6004	8.0212e+18	4.85073e-74	8.15402e+35	4.85073e-74	1.29724e-73	5.21571e+73
2	-1	42.8004	9.79711e+18	2.17957e-74	1.21644e+36	2.17957e-74	5.82889e-74	1.16078e+74
2	-1	43.0004	1.19662e+19	9.79346e-75	1.81471e+36	9.79346e-75	2.61909e-74	2.58336e+74
2	-1	43.2004	1.46156e+19	4.40049e-75	2.70723e+36	4.40049e-75	1.17683e-74	5.74937e+74
2	-1	43.4004	1.78515e+19	1.97727e-75	4.03871e+36	1.97727e-75	5.28785e-75	1.27954e+75
2	-1	43.6004	2.18039e+19	8.88443e-76	6.02505e+36	8.88443e-76	2.37598e-75	2.84768e+75
2	-1	43.8004	2.66313e+19	3.99203e-76	8.98831e+36	3.99203e-76	1.0676e-75	6.33763e+75
2	-1	44.0004	3.25276e+19	1.79373e-76	1.3409e+37	1.79373e-76	4.79703e-76	1.41046e+76
2	-1	44.2004	3.97292e+19	8.05977e-77	2.00039e+37	8.05977e-77	2.15544e-76	3.13905e+76
2	-1	44.4004	4.85254e+19	3.62149e-77	2.98423e+37	3.62149e-77	9.68503e-77	6.98608e+76
2	-1	44.6004	5.92691e+19	1.62724e-77	4.45194e+37	1.62724e-77	4.35176e-77	1.55478e+77
2	-1	44.8004	7.23914e+19	7.31166e-78	6.64152e+37	7.31166e-78	1.95537e-77	3.46023e+77
2	-1	45.0004	8.84191e+19	3.28534e-78	9.90798e+37	3.28534e-78	8.78606e-78	7.70088e+77
2	-1	45.2004	1.07995e+20	1.4762e-78	1.4781e+38	1.4762e-78	3.94783e-78	1.71386e+78
2	-1	45.4004	1.31906e+20	6.63299e-79	2.20506e+38	6.63299e-79	1.77387e-78	3.81427e+78
2	-1	45.6004	1.6111e+20	2.98039e-79	3.28956e+38	2.98039e-79	7.97053e-79	8.48881e+78
2	-1	45.8004	1.9678e+20	1.33918e-79	4.90745e+38	1.33918e-79	3.58139e-79	1.88922e+79
2	-1	46.0004	2.40348e+20	6.01731e-80	7.32106e+38	6.01731e-80	1.60922e-79	4.20454e+79
2	-1	46.2004	2.93562e+20	2.70375e-80	1.09217e+39	2.70375e-80	7.2307e-80	9.35737e+79
2	-1	46.4004	3.58557e+20	1.21487e-80	1.62933e+39	1.21487e-80	3.24896e-80	2.08252e+80
2	-1	46.6004	4.37943e+20	5.45878e-81	2.43068e+39	5.45878e-81	1.45985e-80	4.63473e+80
2	-1	46.8004	5.34904e+20	2.45279e-81	3.62615e+39	2.45279e-81	6.55955e-81	1.03148e+81
2	-1	47.0004	6.53333e+20	1.10211e-81	5.40957e+39	1.10211e-81	2.94739e-81	2.2956e+81
2	-1	47.2004	7.97983e+20	4.95209e-82	8.07013e+39	4.95209e-82	1.32435e-81	5.10895e+81
2	-1	47.4004	9.74659e+20	2.22512e-82	1.20392e+40	2.22512e-82	5.95069e-82	1.13702e+82
2	-1	47.6004	1.19045e+21	9.99811e-83	1.79604e+40	9.99811e-83	2.67382e-82	2.53048e+82
2	-1	47.8004	1.45402e+21	4.49244e-83	2.67938e+40	4.49244e-83	1.20142e-82	5.63169e+82
2	-1	48.0004	1.77594e+21	2.01858e-83	3.99716e+40	2.01858e-83	5.39834e-83	1.25335e+83
2	-1	48.2004	2.16914e+21	9.07008e-84	5.96307e+40	9.07008e-84	2.42563e-83	2.78939e+83
2	-1	48.4004	2.6494e+21	4.07545e-84	8.89585e+40	4.07545e-84	1.08991e-83	6.20791e+83
2	-1	48.6004	3.23598e+21	1.83122e-84	1.32711e+41	1.83122e-84	4.89726e-84	1.38159e+84
2	-1	48.8004	3.95244e+21	8.22819e-85	1.97981e+41	8.22819e-85	2.20048e-84	3.0748e+84
2	-1	49.0004	4.82752e+21	3.69716e-85	2.95353e+41	3.69716e-85	9.88741e-85	6.84308e+84
2	-1	49.2004	5.89634e+21	1.66124e-85	4.40614e+41	1.66124e-85	4.4427e-85	1.52296e+85
2	-1	49.4004	7.20181e+21	7.46444e-86	6.57319e+41	7.46444e-86	1.99623e-85	3.3894e+85
2	-1	49.6004	8.79631e+21	3.35399e-86	9.80605e+41	3.35399e-86	8.96965e-86	7.54325e+85
2	-1	49.8004	1.07438e+22	1.50705e-86	1.46289e+42	1.50705e-86	4.03032e-86	1.67878e+86
2	-1	50.0004	1.31226e+22	6.77159e-87	2.18238e+42	6.77159e-87	1.81094e-86	3.7362e+86
2	-1	50.2005	1.60295e+22	3.04145e-87	3.25638e+42	3.04145e-87	8.13383e-87	8.31839e+86
2	-1	50.4005	1.95785e+22	1.36661e-87	4.85794e+42	1.36661e-87	3.65477e-87	1.85129e+87
2	-1	50.6005	2.39132e+22	6.14059e-88	7.2472e+42	6.14059e-88	1.64219e-87	4.12012e+87
2	-1	50.8005	2.92077e+22	2.75915e-88	1.08115e+43	2.75915e-88	7.37884e-88	9.16951e+87
2	-1	51.0005	3.56744e+22	1.23976e-88	1.61289e+43	1.23976e-88	3.31553e-88	2.04071e+88
2	-1	51.2005	4.35728e+22	5.57062e-89	2.40615e+43	5.57062e-89	1.48976e-88	4.54169e+88
2	-1	51.4005	5.32199e+22	2.50304e-89	3.58956e+43	2.50304e-89	6.69394e-89	1.01077e+89
2	-1	51.6005	6.50029e+22	1.12469e-89	5.35499e+43	1.12469e-89	3.00778e-89	2.24951e+89
2	-1	51.8005	7.93948e+22	5.05355e-90	7.98871e+43	5.05355e-90	1.35148e-89	5.00638e+89
2	-1	52.0005	9.6973e+22	2.27071e-90	1.19178e+44	2.27071e-90	6.0726e-90	1.11419e+90
2	-1	52.2005	1.18443e+23	1.02029e-90	1.77792e+44	1.02029e-90	2.7286e-90	2.47968e+90
2	-1	52.4005	1.44667e+23	4.58448e-91	2.65235e+44	4.58448e-91	1.22604e-90	5.51862e+90
2	-1	52.6005	1.76696e+23	2.05994e-91	3.95684e+44	2.05994e-91	5.50894e-91	1.22819e+91
2	-1	52.8005	2.15817e+23	9.2559e-92	5.90291e+44	9.2559e-92	2.47533e-91	2.73339e+91
2	-1	53.0005	2.636e+23	4.15894e-92	8.8061e+44	4.15894e-92	1.11224e-91	6.08327e+91
2	-1	53.2005	3.21962e+23	1.86873e-92	1.31372e+45	1.86873e-92	4.9976e-92	1.35386e+92
2	-1	53.4005	3.93245e+23	8.39677e-93	1.95983e+45	8.39677e-93	2.24557e-92	3.01307e+92
2	-1	53.6005	4.8031e+23	3.77291e-93	2.92373e+45	3.77291e-93	1.009e-92	6.7057e+92
2	-1	53.8005	5.86652e+23	1.69528e-93	4.36169e+45	1.69528e-93	4.53372e-93	1.49238e+93
2	-1	54.0005	7.16539e+23	7.61737e-94	6.50688e+45	7.61737e-94	2.03713e-93	3.32135e+93
2	-1	54.2005	8.75182e+23	3.42271e-94	9.70712e+45	3.42271e-94	9.15342e-94	7.39181e+93
2	-1	54.4005	1.06895e+24	1.53792e-94	1.44813e+46	1.53792e-94	4.1129e-94	1.64508e+94
2	-1	54.6005	1.30562e+24	6.91033e-95	2.16036e+46	6.91033e-95	1.84804e-94	3.66119e+94
2	-1	54.8005	1.59469e+24	3.10501e-95	3.22288e+46	3.10501e-95	8.3038e-95	8.14812e+94
2	-1	55.0005	1.94775e+24	1.39517e-95	4.80797e+46	1.39517e-95	3.73114e-95	1.8134e+95
2	-1	55.2005	2.37899e+24	6.26891e-96	7.17264e+46	6.26891e-96	1.67651e-95	4.03579e+95
2	-1	55.4005	2.90571e+24	2.8168e-96	1.07003e+47	2.8168e-96	7.53303e-96	8.98182e+95
2	-1	55.6005	3.54904e+24	1.26567e-96	1.5963e+47	1.26567e-96	3.38481e-96	1.99894e+96
2	-1	55.8005	4.33481e+24	5.68702e-97	2.3814e+47	5.68702e-97	1.52089e-96	4.44872e+96
2	-1	56.0005	5.29455e+24	2.55534e-97	3.55263e+47	2.55534e-97	6.83381e-97	9.90082e+96
