T/Tc	1-T/Tc	l	a	K	y	Kr	Kr/K0	a0/Kr
0.9	0.1	0.2	3.09015	0.826796	0.0146795	0.826796	0.995004	3.06001
0.9	0.1	0.4	3.77432	0.823556	0.01304	0.823556	0.991105	3.07204
0.9	0.1	0.6	4.60996	0.821013	0.0116045	0.821013	0.988044	3.08156
0.9	0.1	0.8	5.63062	0.819008	0.0103418	0.819008	0.985631	3.0891
0.9	0.1	1	6.87725	0.81742	0.0092268	0.81742	0.98372	3.0951
0.9	0.1	1.2	8.3999	0.816159	0.00823937	0.816159	0.982203	3.09989
0.9	0.1	1.4	10.2597	0.815156	0.00736282	0.815156	0.980996	3.1037
0.9	0.1	1.6	12.5312	0.814356	0.00658323	0.814356	0.980033	3.10675
0.9	0.1	1.8	15.3056	0.813718	0.00588884	0.813718	0.979265	3.10919
0.9	0.1	2	18.6943	0.813207	0.00526958	0.813207	0.978651	3.11114
0.9	0.1	2.2	22.8333	0.812799	0.0047168	0.812799	0.978159	3.1127
0.9	0.1	2.4	27.8886	0.812472	0.00422298	0.812472	0.977766	3.11395
0.9	0.1	2.6	34.0633	0.81221	0.00378155	0.81221	0.97745	3.11496
0.9	0.1	2.8	41.605	0.812	0.00338677	0.812	0.977198	3.11576
0.9	0.1	3	50.8164	0.811832	0.00303356	0.811832	0.976995	3.11641
0.9	0.1	3.2	62.0673	0.811697	0.00271744	0.811697	0.976833	3.11693
0.9	0.1	3.4	75.8092	0.811589	0.00243445	0.811589	0.976702	3.11734
0.9	0.1	3.6	92.5935	0.811502	0.00218107	0.811502	0.976598	3.11768
0.9	0.1	3.8	113.094	0.811432	0.00195415	0.811432	0.976514	3.11794
0.9	0.1	4	138.133	0.811376	0.00175091	0.811376	0.976446	3.11816
0.9	0.1	4.2	168.716	0.811331	0.00156886	0.811331	0.976392	3.11833
0.9	0.1	4.4	206.071	0.811295	0.00140577	0.811295	0.976349	3.11847
0.9	0.1	4.6	251.695	0.811266	0.00125966	0.811266	0.976314	3.11858
0.9	0.1	4.8	307.421	0.811243	0.00112876	0.811243	0.976286	3.11867
0.9	0.1	5	375.485	0.811224	0.00101147	0.811224	0.976264	3.11874
0.9	0.1	5.2	458.619	0.811209	0.000906379	0.811209	0.976246	3.1188
0.9	0.1	5.4	560.158	0.811197	0.000812214	0.811197	0.976231	3.11885
0.9	0.1	5.6	684.179	0.811187	0.000727836	0.811187	0.976219	3.11888
0.9	0.1	5.8	835.658	0.81118	0.000652228	0.81118	0.97621	3.11891
0.9	0.1	6	1020.67	0.811173	0.000584477	0.811173	0.976203	3.11894
0.9	0.1	6.2	1246.66	0.811168	0.000523765	0.811168	0.976197	3.11896
0.9	0.1	6.4	1522.67	0.811164	0.000469361	0.811164	0.976192	3.11897
0.9	0.1	6.6	1859.79	0.811161	0.000420609	0.811161	0.976188	3.11899
0.9	0.1	6.8	2271.55	0.811159	0.000376922	0.811159	0.976185	3.119
0.9	0.1	7	2774.48	0.811156	0.000337773	0.811156	0.976182	3.119
