tempv	cap	l	Kr/K0	F	
1e-08	899636	14.4441	9.54012e-06	-0.057633
1.49182e-08	374673	14.1752	1.2484e-05	-0.057633
2.22554e-08	150497	13.9063	1.63348e-05	-0.057633
3.32012e-08	57134.8	13.6375	2.13723e-05	-0.057633
4.95303e-08	19807.6	13.3688	2.79621e-05	-0.057633
7.38906e-08	5902.52	13.1001	3.65828e-05	-0.057633
1.10232e-07	1363.2	12.8314	4.78605e-05	-0.057633
1.64446e-07	234.485	12.5627	6.2614e-05	-0.057633
2.45325e-07	85.5741	12.294	8.19149e-05	-0.0576329
3.65982e-07	82.2572	12.0253	0.000107165	-0.0576329
5.45982e-07	79.8079	11.7566	0.000140197	-0.0576328
8.14509e-07	77.5791	11.4879	0.000183411	-0.0576327
1.2151e-06	75.1004	11.2192	0.000239945	-0.0576326
1.81272e-06	72.9617	10.9506	0.000313903	-0.0576324
2.70426e-06	70.6452	10.6819	0.000410658	-0.0576321
4.03429e-06	68.3714	10.4132	0.000537236	-0.0576317
6.01845e-06	66.0443	10.1445	0.000702828	-0.0576311
8.97847e-06	63.8254	9.8758	0.000919461	-0.0576301
1.33943e-05	61.3958	9.6072	0.00120286	-0.0576287
1.9982e-05	59.0572	9.3385	0.00157362	-0.0576266
2.98096e-05	56.4264	9.0698	0.00205865	-0.0576234
4.44707e-05	54.4818	8.8011	0.00269316	-0.0576187
6.63424e-05	51.9464	8.5324	0.00352324	-0.0576117
9.89713e-05	49.6239	8.2637	0.00460914	-0.0576012
0.000147648	47.0515	7.995	0.00602968	-0.0575855
0.000220265	44.6791	7.7263	0.00788794	-0.0575623
0.000328596	42.3824	7.4576	0.0103187	-0.0575275
0.000490208	39.8066	7.1888	0.0134982	-0.0574759
0.000731304	37.3772	6.92	0.0176567	-0.057399
0.00109098	35.0628	6.6512	0.0230951	-0.0572848
0.00162755	32.589	6.3822	0.0302059	-0.0571154
0.00242802	29.9161	6.1131	0.0395009	-0.0568645
0.00362217	27.4035	5.8438	0.0516464	-0.0564941
0.00540365	24.9611	5.5742	0.0675067	-0.0559494
0.0080613	22.3851	5.3042	0.0881989	-0.0551524
