T/Tc	1-T/Tc	l	a	K	y	F	Kr	Kr/K0	a0/Kr	Del/kB	C
1	1e-08	14.287	4.05402e+06	5.00001	6.74936e-06	-0.0532385	3.12037e-06	1.00935e-05	810803	6.79999	1.02719
1	1.25893e-08	14.1321	3.47227e+06	5.00029	6.751e-06	-0.0532385	3.64336e-06	1.17852e-05	694414	6.79999	1.02719
1	1.58489e-08	13.9772	2.974e+06	5.00027	6.75089e-06	-0.0532385	4.25376e-06	1.37597e-05	594768	6.79999	1.02719
1	1.99526e-08	13.8223	2.54724e+06	5.00001	6.74937e-06	-0.0532385	4.96618e-06	1.60641e-05	509446	6.79999	1.02719
1	2.51189e-08	13.6675	2.18193e+06	5.00006	6.74965e-06	-0.0532385	5.79769e-06	1.87538e-05	436381	6.79999	1.02719
1	3.16228e-08	13.5128	1.8692e+06	5.00045	6.75195e-06	-0.0532385	6.76823e-06	2.18932e-05	373805	6.79999	1.02719
1	3.98107e-08	13.358	1.60113e+06	5.00023	6.75064e-06	-0.0532385	7.90104e-06	2.55575e-05	320211	6.79999	1.02719
1	5.01187e-08	13.2033	1.37164e+06	5.00041	6.75168e-06	-0.0532385	9.22327e-06	2.98346e-05	274306	6.79999	1.02719
1	6.30957e-08	13.0485	1.17493e+06	5.00001	6.74938e-06	-0.0532385	1.07666e-05	3.48269e-05	234986	6.79999	1.02719
1	7.94328e-08	12.8938	1.00653e+06	5.00005	6.74963e-06	-0.0532385	1.25681e-05	4.0654e-05	201304	6.79999	1.02719
1	1e-07	12.7391	862266	5.00005	6.7496e-06	-0.0532385	1.46708e-05	4.74557e-05	172452	6.79999	1.02719
1	1.25893e-07	12.5844	738679	5.00001	6.74935e-06	-0.0532385	1.71252e-05	5.53949e-05	147736	6.79999	1.02719
1	1.58489e-07	12.4298	632869	5.00043	6.75183e-06	-0.0532385	1.99901e-05	6.4662e-05	126563	6.79999	1.02719
1	1.99526e-07	12.2751	542162	5.00034	6.75126e-06	-0.0532384	2.33341e-05	7.54789e-05	108425	6.79999	1.02719
1	2.51189e-07	12.1204	464455	5.00022	6.75059e-06	-0.0532384	2.72374e-05	8.81051e-05	92886.9	6.79999	1.02719
1	3.16228e-07	11.9657	397885	5.00009	6.74982e-06	-0.0532384	3.17936e-05	0.000102843	79575.7	6.79999	1.02719
1	3.98107e-07	11.8111	340891	5.00044	6.7519e-06	-0.0532384	3.71119e-05	0.000120046	68172.2	6.79999	1.02719
0.999999	5.01187e-07	11.6564	292032	5.00029	6.75101e-06	-0.0532383	4.33197e-05	0.000140126	58403	6.79999	1.02719
0.999999	6.30957e-07	11.5017	250176	5.00013	6.75007e-06	-0.0532383	5.05658e-05	0.000163565	50033.9	6.79999	1.02719
0.999999	7.94328e-07	11.3471	214340	5.00046	6.75201e-06	-0.0532383	5.90238e-05	0.000190925	42864	6.79999	1.02719
0.999999	1e-06	11.1924	183619	5.00029	6.75101e-06	-0.0532382	6.88966e-05	0.00022286	36721.7	6.8	1.02719
0.999999	1.25893e-06	11.0377	157301	5.00012	6.75e-06	-0.0532381	8.04207e-05	0.000260137	31459.5	6.8	1.02719
0.999998	1.58489e-06	10.8831	134769	5.00044	6.75187e-06	-0.053238	9.38724e-05	0.000303649	26951.5	6.8	1.02719
0.999998	1.99526e-06	10.7284	115453	5.00026	6.75082e-06	-0.0532379	0.000109574	0.000354439	23089.4	6.8	1.02719
0.999997	2.51189e-06	10.5737	98905.4	5.00008	6.74977e-06	-0.0532377	0.000127902	0.000413724	19780.8	6.8	1.02719
0.999997	3.16228e-06	10.4191	84738	5.0004	6.75161e-06	-0.0532375	0.000149295	0.000482926	16946.3	6.8	1.0272
