tempv	cap	l	Kr/K0	F	
1e-08	30.894	6.2951	0.0374344	-0.0501914
1.49182e-08	30.8839	6.2951	0.0374345	-0.0501914
2.22554e-08	30.9434	6.2951	0.0374346	-0.0501914
3.32012e-08	30.8546	6.2951	0.0374347	-0.0501914
4.95303e-08	30.9913	6.2951	0.0374349	-0.0501914
7.38906e-08	30.8566	6.2951	0.0374352	-0.0501914
1.10232e-07	30.9868	6.2951	0.0374357	-0.0501914
1.64446e-07	30.7583	6.295	0.0374364	-0.0501914
2.45325e-07	30.8819	6.295	0.0374374	-0.0501914
3.65982e-07	30.9853	6.295	0.037439	-0.0501913
5.45982e-07	30.785	6.2949	0.0374413	-0.0501913
8.14509e-07	30.9384	6.2948	0.0374447	-0.0501912
1.2151e-06	30.9172	6.2947	0.0374498	-0.0501911
1.81272e-06	30.9158	6.2945	0.0374574	-0.0501909
2.70426e-06	30.828	6.2942	0.0374687	-0.0501907
4.03429e-06	30.8871	6.2937	0.0374856	-0.0501903
6.01845e-06	30.7823	6.293	0.0375109	-0.0501897
8.97847e-06	30.8541	6.292	0.0375485	-0.0501889
1.33943e-05	30.8453	6.2905	0.0376046	-0.0501876
1.9982e-05	30.9154	6.2883	0.0376883	-0.0501857
2.98096e-05	30.8025	6.285	0.0378129	-0.0501829
4.44707e-05	30.5693	6.2801	0.0379984	-0.0501787
6.63424e-05	30.676	6.2728	0.0382743	-0.0501724
9.89713e-05	30.6871	6.2622	0.038684	-0.050163
0.000147648	30.4015	6.2465	0.0392914	-0.0501491
0.000220265	30.2242	6.2239	0.0401889	-0.0501283
0.000328596	30.0424	6.1914	0.0415098	-0.0500973
0.000490208	29.5775	6.1457	0.0434427	-0.0500511
0.000731304	28.9541	6.0829	0.0462496	-0.0499824
0.00109098	28.1372	5.9988	0.0502873	-0.0498802
0.00162755	27.3339	5.8902	0.0560288	-0.0497284
0.00242802	25.9725	5.755	0.0640889	-0.0495034
0.00362217	24.65	5.5932	0.0752522	-0.0491707
0.00540365	22.9015	5.4068	0.0905102	-0.0486809
0.0080613	21.1129	5.1991	0.111111	-0.0479632
