tempv	cap	l	Kr/K0	F	
1e-08	1.08798e+06	14.3592	7.33882e-06	-0.0759348
1.49182e-08	440060	14.0907	9.59863e-06	-0.0759348
2.22554e-08	168745	13.8222	1.25552e-05	-0.0759348
3.32012e-08	59399.6	13.5536	1.64234e-05	-0.0759348
4.95303e-08	18150	13.285	2.14841e-05	-0.0759348
7.38906e-08	4364.56	13.0164	2.81048e-05	-0.0759348
1.10232e-07	752.837	12.7478	3.67664e-05	-0.0759348
1.64446e-07	222.713	12.4791	4.80979e-05	-0.0759347
2.45325e-07	212.964	12.2104	6.29223e-05	-0.0759347
3.65982e-07	207.316	11.9418	8.23161e-05	-0.0759347
5.45982e-07	201.243	11.6731	0.000107688	-0.0759346
8.14509e-07	195.204	11.4044	0.00014088	-0.0759345
1.2151e-06	191.699	11.1358	0.000184302	-0.0759343
1.81272e-06	184.571	10.8671	0.00024111	-0.0759341
2.70426e-06	177.678	10.5984	0.000315427	-0.0759338
4.03429e-06	173.295	10.3297	0.00041265	-0.0759333
6.01845e-06	165.953	10.0611	0.000539841	-0.0759325
8.97847e-06	160.989	9.7924	0.000706235	-0.0759314
1.33943e-05	155.078	9.5237	0.000923917	-0.0759297
1.9982e-05	148.264	9.255	0.00120869	-0.0759271
2.98096e-05	142.657	8.9863	0.00158125	-0.0759234
4.44707e-05	134.84	8.7177	0.00206863	-0.0759177
6.63424e-05	129.962	8.449	0.00270623	-0.0759093
9.89713e-05	123.31	8.1803	0.00354034	-0.0758968
0.000147648	115.844	7.9115	0.00463154	-0.0758782
0.000220265	112.543	7.6428	0.00605901	-0.0758504
0.000328596	104.49	7.3741	0.00792639	-0.075809
0.000490208	96.7025	7.1053	0.0103692	-0.0757474
0.000731304	91.5087	6.8364	0.0135645	-0.0756557
0.00109098	85.2819	6.5674	0.0177441	-0.0755194
0.00162755	78.9153	6.2983	0.0232106	-0.0753174
0.00242802	72.6149	6.029	0.0303593	-0.0750182
0.00362217	65.9354	5.7594	0.0397065	-0.0745765
0.00540365	59.5903	5.4894	0.051925	-0.0739269
0.0080613	52.937	5.2186	0.0678908	-0.0729762
