T/Tc	1-T/Tc	l	a	K	y	F	Kr	Kr/K0	a0/Kr
1.00126	-0.00125893	87.0008	1.53847e+38	5.5313e-216	3.06113e+214	-1.42574e+101	9.0962e-254	2.94606e-253	2.78138e+253
1.00126	-0.00125893	87.2008	1.87909e+38	1.666e-216	1.01633e+215	-2.59788e+101	2.24309e-254	7.26489e-254	1.12791e+254
1.00126	-0.00125893	87.4008	2.29512e+38	5.01788e-217	3.37434e+215	-4.73364e+101	5.5314e-255	1.7915e-254	4.57388e+254
1.00126	-0.00125893	87.6008	2.80327e+38	1.51136e-217	1.12032e+216	-8.62525e+101	1.36403e-255	4.41778e-255	1.8548e+255
1.00126	-0.00125893	87.8008	3.42392e+38	4.55212e-218	3.7196e+216	-1.57162e+102	3.36365e-256	1.08941e-255	7.52159e+255
1.00126	-0.00125893	88.0008	4.18198e+38	1.37107e-218	1.23495e+217	-2.86368e+102	8.29466e-257	2.68646e-256	3.05016e+256
1.00126	-0.00125893	88.2008	5.10789e+38	4.12959e-219	4.10018e+217	-5.21797e+102	2.04544e-257	6.62472e-257	1.2369e+257
1.00126	-0.00125893	88.4008	6.23879e+38	1.24381e-219	1.36131e+218	-9.50776e+102	5.04399e-258	1.63364e-257	5.01587e+257
1.00126	-0.00125893	88.6008	7.62007e+38	3.74628e-220	4.5197e+218	-1.73243e+103	1.24383e-258	4.0285e-258	2.03404e+258
1.00126	-0.00125893	88.8008	9.30718e+38	1.12836e-220	1.50059e+219	-3.15669e+103	3.06725e-259	9.93415e-259	8.24843e+258
1.00126	-0.00125893	89.0008	1.13678e+39	3.39855e-221	4.98214e+219	-5.75186e+103	7.56375e-260	2.44973e-259	3.3449e+259
1.00126	-0.00125893	89.2008	1.38847e+39	1.02362e-221	1.65413e+220	-1.04806e+104	1.8652e-260	6.04096e-260	1.35642e+260
1.00126	-0.00125893	89.4008	1.69588e+39	3.08309e-222	5.4919e+220	-1.90969e+104	4.59952e-261	1.48968e-260	5.50057e+260
1.00126	-0.00125893	89.6008	2.07135e+39	9.2861e-223	1.82338e+221	-3.47967e+104	1.13423e-261	3.67351e-261	2.23059e+261
1.00126	-0.00125893	89.8008	2.52995e+39	2.79692e-223	6.05382e+221	-6.34038e+104	2.79697e-262	9.05877e-262	9.0455e+261
1.00126	-0.00125893	90.0008	3.09009e+39	8.42416e-224	2.00994e+222	-1.15529e+105	6.89725e-263	2.23387e-262	3.66813e+262
1.00126	-0.00125893	90.2009	3.77462e+39	2.53579e-224	6.67724e+222	-2.10571e+105	1.69965e-263	5.50479e-263	1.48854e+263
1.00126	-0.00125893	90.4009	4.61034e+39	7.63764e-225	2.21692e+223	-3.83686e+105	4.19128e-264	1.35746e-263	6.03634e+263
1.00126	-0.00125893	90.6009	5.63108e+39	2.30041e-225	7.36044e+223	-6.99121e+105	1.03356e-264	3.34747e-264	2.44785e+264
1.00126	-0.00125893	90.8009	6.87781e+39	6.92871e-226	2.44375e+224	-1.27388e+106	2.54872e-265	8.25475e-265	9.92654e+264
1.00126	-0.00125893	91.0009	8.40058e+39	2.08689e-226	8.11354e+224	-2.32116e+106	6.28507e-266	2.0356e-265	4.02541e+265
1.00126	-0.00125893	91.2009	1.02605e+40	6.28558e-227	2.69379e+225	-4.22943e+106	1.54988e-266	5.01972e-266	1.63238e+266
1.00126	-0.00125893	91.4009	1.25322e+40	1.89318e-227	8.9437e+225	-7.70653e+106	3.82196e-267	1.23785e-266	6.61965e+266
1.00126	-0.00125893	91.6009	1.53069e+40	5.70215e-228	2.96941e+226	-1.40422e+107	9.42483e-268	3.05249e-267	2.6844e+267
1.00126	-0.00125893	91.8009	1.86958e+40	1.71746e-228	9.8588e+226	-2.55866e+107	2.32413e-268	7.52736e-268	1.08858e+268
1.00126	-0.00125893	92.0009	2.28351e+40	5.17288e-229	3.27324e+227	-4.66218e+107	5.73125e-269	1.85622e-268	4.4144e+268
1.00126	-0.00125893	92.2009	2.78909e+40	1.55804e-229	1.08675e+228	-8.49505e+107	1.41331e-269	4.57739e-269	1.79013e+269
1.00126	-0.00125893	92.4009	3.4066e+40	4.69273e-230	3.60815e+228	-1.5479e+108	3.48517e-270	1.12877e-269	7.25932e+269
1.00126	-0.00125893	92.6009	4.16083e+40	1.41342e-230	1.19795e+229	-2.82045e+108	8.59433e-271	2.78351e-270	2.9438e+270
1.00126	-0.00125893	92.8009	5.08205e+40	4.25715e-231	3.97732e+229	-5.1392e+108	2.11934e-271	6.86406e-271	1.19377e+271
1.00126	-0.00125893	93.0009	6.20724e+40	1.28223e-231	1.32052e+230	-9.36424e+108	5.22622e-272	1.69266e-271	4.84098e+271
1.00126	-0.00125893	93.2009	7.58153e+40	3.862e-232	4.38427e+230	-1.70628e+109	1.28877e-272	4.17404e-272	1.96311e+272
1.00126	-0.00125893	93.4009	9.26011e+40	1.16321e-232	1.45563e+231	-3.10904e+109	3.17807e-273	1.02931e-272	7.96081e+272
1.00126	-0.00125893	93.6009	1.13103e+41	3.50352e-233	4.83286e+231	-5.66504e+109	7.83702e-274	2.53824e-273	3.22827e+273
1.00126	-0.00125893	93.8009	1.38145e+41	1.05524e-233	1.60457e+232	-1.03224e+110	1.93258e-274	6.25922e-274	1.30913e+274
1.00126	-0.00125893	94.0009	1.6873e+41	3.17833e-234	5.32735e+232	-1.88086e+110	4.76569e-275	1.5435e-274	5.30877e+274
1.00126	-0.00125893	94.2009	2.06087e+41	9.57293e-235	1.76874e+233	-3.42715e+110	1.17521e-275	3.80623e-275	2.15281e+275
1.00126	-0.00125893	94.4009	2.51716e+41	2.88331e-235	5.87243e+233	-6.24467e+110	2.89802e-276	9.38605e-276	8.73009e+275
1.00126	-0.00125893	94.6009	3.07446e+41	8.68437e-236	1.94972e+234	-1.13785e+111	7.14643e-277	2.31457e-276	3.54023e+276
1.00126	-0.00125893	94.8009	3.75516e+41	2.61568e-236	6.47329e+234	-2.0733e+111	1.76229e-277	5.70767e-277	1.43563e+277
1.00126	-0.00125893	95.0009	4.58656e+41	7.87828e-237	2.14921e+235	-3.7778e+111	4.34575e-278	1.40749e-277	5.82178e+277
1.00126	-0.00125893	95.2009	5.60204e+41	2.37289e-237	7.13562e+235	-6.88361e+111	1.07165e-278	3.47083e-278	2.36085e+278
1.00126	-0.00125893	95.4009	6.84234e+41	7.14702e-238	2.36911e+236	-1.25428e+112	2.64265e-279	8.55897e-279	9.57371e+278
1.00126	-0.00125893	95.6009	8.35726e+41	2.15264e-238	7.86572e+236	-2.28544e+112	6.5167e-280	2.11062e-279	3.88233e+279
1.00126	-0.00125893	95.8009	1.02076e+42	6.48363e-239	2.61151e+237	-4.16434e+112	1.607e-280	5.20472e-280	1.57436e+280
1.00126	-0.00125893	96.0009	1.24676e+42	1.95283e-239	8.67052e+237	-7.58792e+112	3.96281e-281	1.28347e-280	6.38435e+280
1.00126	-0.00125893	96.2009	1.52279e+42	5.88181e-240	2.87871e+238	-1.38261e+113	9.77217e-282	3.16499e-281	2.58898e+281
1.00126	-0.00125893	96.4009	1.85994e+42	1.77157e-240	9.55767e+238	-2.51928e+113	2.40979e-282	7.80477e-282	1.04988e+282
1.00126	-0.00125893	96.6009	2.27174e+42	5.33586e-241	3.17326e+239	-4.59043e+113	5.94247e-283	1.92463e-282	4.25749e+282
1.00126	-0.00125893	96.8009	2.77471e+42	1.60713e-241	1.05356e+240	-8.3643e+113	1.46539e-283	4.74609e-283	1.7265e+283
1.00126	-0.00125893	97.0009	3.38904e+42	4.84058e-242	3.49794e+240	-1.52407e+114	3.61362e-284	1.17037e-283	7.0013e+283
1.00126	-0.00125893	97.2009	4.13938e+42	1.45796e-242	1.16136e+241	-2.77705e+114	8.91107e-285	2.8861e-284	2.83917e+284
1.00126	-0.00125893	97.4009	5.05585e+42	4.39128e-243	3.85584e+241	-5.06011e+114	2.19744e-285	7.11703e-285	1.15134e+285
1.00126	-0.00125893	97.6009	6.17523e+42	1.32263e-243	1.28018e+242	-9.22012e+114	5.41883e-286	1.75504e-285	4.66891e+285
1.00126	-0.00125893	97.8009	7.54244e+42	3.98368e-244	4.25036e+242	-1.68001e+115	1.33627e-286	4.32787e-286	1.89334e+286
1.00126	-0.00125893	98.0009	9.21235e+42	1.19986e-244	1.41117e+243	-3.06119e+115	3.29519e-287	1.06724e-286	7.67785e+286
1.00126	-0.00125893	98.2009	1.1252e+43	3.61391e-245	4.68524e+243	-5.57785e+115	8.12584e-288	2.63178e-287	3.11352e+287
1.00126	-0.00125893	98.4009	1.37432e+43	1.08849e-245	1.55556e+244	-1.01635e+116	2.00381e-288	6.48989e-288	1.2626e+288
1.00126	-0.00125893	98.6009	1.6786e+43	3.27847e-246	5.16463e+244	-1.85191e+116	4.94133e-289	1.60039e-288	5.12008e+288
1.00126	-0.00125893	98.8009	2.05025e+43	9.87455e-247	1.71472e+245	-3.3744e+116	1.21852e-289	3.94651e-289	2.07629e+289
1.00126	-0.00125893	99.0009	2.50418e+43	2.97416e-247	5.69306e+245	-6.14856e+116	3.00483e-290	9.73197e-290	8.41979e+289
1.00126	-0.00125893	99.2009	3.05861e+43	8.95799e-248	1.89016e+246	-1.12034e+117	7.40981e-291	2.39987e-290	3.41439e+290
1.00126	-0.00125893	99.4009	3.73579e+43	2.69809e-248	6.27556e+246	-2.04139e+117	1.82724e-291	5.91802e-291	1.3846e+291
1.00126	-0.00125893	99.6009	4.56291e+43	8.12651e-249	2.08356e+247	-3.71966e+117	4.50591e-292	1.45936e-291	5.61485e+291
1.00126	-0.00125893	99.8009	5.57315e+43	2.44766e-249	6.91766e+247	-6.77766e+117	1.11114e-292	3.59875e-292	2.27693e+292
1.00126	-0.00125893	100	6.80094e+43	7.41212e-250	2.28438e+248	-1.23164e+118	2.75736e-293	8.93049e-293	9.17543e+292
