T/Tc	1-T/Tc	l	a	K	y	Kr	Kr/K0	a0/Kr
0.99	0.01	0.2	3.09015	0.747868	0.0223711	0.747868	0.99002	3.38295
0.99	0.01	0.4	3.77432	0.741435	0.020904	0.741435	0.981504	3.4123
0.99	0.01	0.6	4.60996	0.735888	0.0196066	0.735888	0.974161	3.43802
0.99	0.01	0.8	5.63062	0.73106	0.0184497	0.73106	0.96777	3.46073
0.99	0.01	1	6.87725	0.726826	0.0174104	0.726826	0.962165	3.48089
0.99	0.01	1.2	8.3999	0.723087	0.0164708	0.723087	0.957215	3.49889
0.99	0.01	1.4	10.2597	0.719766	0.0156164	0.719766	0.952819	3.51503
0.99	0.01	1.6	12.5312	0.716801	0.0148356	0.716801	0.948893	3.52957
0.99	0.01	1.8	15.3056	0.714141	0.0141187	0.714141	0.945372	3.54272
0.99	0.01	2	18.6943	0.711745	0.0134578	0.711745	0.9422	3.55464
0.99	0.01	2.2	22.8333	0.709579	0.0128462	0.709579	0.939333	3.5655
0.99	0.01	2.4	27.8886	0.707614	0.0122783	0.707614	0.936732	3.5754
0.99	0.01	2.6	34.0633	0.705827	0.0117493	0.705827	0.934366	3.58445
0.99	0.01	2.8	41.605	0.704196	0.0112552	0.704196	0.932207	3.59275
0.99	0.01	3	50.8164	0.702705	0.0107925	0.702705	0.930233	3.60037
0.99	0.01	3.2	62.0673	0.701338	0.010358	0.701338	0.928424	3.60739
0.99	0.01	3.4	75.8092	0.700083	0.00994925	0.700083	0.926762	3.61386
0.99	0.01	3.6	92.5935	0.698928	0.00956385	0.698928	0.925233	3.61983
0.99	0.01	3.8	113.094	0.697863	0.00919978	0.697863	0.923824	3.62535
0.99	0.01	4	138.133	0.69688	0.00885527	0.69688	0.922522	3.63047
0.99	0.01	4.2	168.716	0.695971	0.00852872	0.695971	0.921319	3.63521
0.99	0.01	4.4	206.071	0.69513	0.00821873	0.69513	0.920206	3.63961
0.99	0.01	4.6	251.695	0.69435	0.00792403	0.69435	0.919173	3.64369
0.99	0.01	4.8	307.421	0.693626	0.00764351	0.693626	0.918215	3.6475
0.99	0.01	5	375.485	0.692954	0.00737616	0.692954	0.917326	3.65104
0.99	0.01	5.2	458.619	0.692329	0.00712105	0.692329	0.916498	3.65433
0.99	0.01	5.4	560.158	0.691747	0.00687738	0.691747	0.915728	3.65741
0.99	0.01	5.6	684.179	0.691205	0.00664439	0.691205	0.91501	3.66027
0.99	0.01	5.8	835.658	0.6907	0.0064214	0.6907	0.914341	3.66295
0.99	0.01	6	1020.67	0.690228	0.0062078	0.690228	0.913717	3.66545
0.99	0.01	6.2	1246.66	0.689788	0.00600302	0.689788	0.913134	3.66779
0.99	0.01	6.4	1522.67	0.689377	0.00580655	0.689377	0.91259	3.66998
0.99	0.01	6.6	1859.79	0.688993	0.00561791	0.688993	0.912081	3.67203
0.99	0.01	6.8	2271.55	0.688633	0.00543668	0.688633	0.911605	3.67395
0.99	0.01	7	2774.48	0.688297	0.00526244	0.688297	0.91116	3.67574
0.99	0.01	7.2	3388.76	0.687982	0.00509482	0.687982	0.910743	3.67742
0.99	0.01	7.4	4139.04	0.687687	0.00493349	0.687687	0.910352	3.679
0.99	0.01	7.6	5055.44	0.68741	0.00477812	0.68741	0.909986	3.68048
0.99	0.01	7.8	6174.72	0.687151	0.00462843	0.687151	0.909643	3.68187
0.99	0.01	8	7541.82	0.686908	0.00448413	0.686908	0.909322	3.68317
0.99	0.01	8.2	9211.6	0.68668	0.00434498	0.68668	0.90902	3.68439
0.99	0.01	8.4	11251.1	0.686466	0.00421072	0.686466	0.908737	3.68554
0.99	0.01	8.6	13742.1	0.686265	0.00408115	0.686265	0.908471	3.68662
0.99	0.01	8.8	16784.6	0.686077	0.00395605	0.686077	0.908221	3.68763
0.99	0.01	9	20500.8	0.685899	0.00383522	0.685899	0.907987	3.68859
0.99	0.01	9.2	25039.7	0.685733	0.00371849	0.685733	0.907766	3.68948
0.99	0.01	9.4	30583.6	0.685577	0.00360567	0.685577	0.907559	3.69032
0.99	0.01	9.6	37354.9	0.68543	0.00349661	0.68543	0.907365	3.69112
0.99	0.01	9.8	45625.4	0.685292	0.00339115	0.685292	0.907182	3.69186
0.99	0.01	10	55727	0.685162	0.00328915	0.685162	0.90701	3.69256
0.99	0.01	10.2001	68071.9	0.685039	0.00319042	0.685039	0.906848	3.69322
0.99	0.01	10.4001	83143.2	0.684924	0.00309493	0.684924	0.906696	3.69384
0.99	0.01	10.6001	101551	0.684816	0.00300252	0.684816	0.906553	3.69442
0.99	0.01	10.8001	124035	0.684715	0.00291305	0.684715	0.906418	3.69497
0.99	0.01	11.0001	151497	0.684619	0.00282642	0.684619	0.906291	3.69549
0.99	0.01	11.2001	185039	0.684529	0.00274253	0.684529	0.906172	3.69597
0.99	0.01	11.4001	226007	0.684444	0.00266128	0.684444	0.90606	3.69643
0.99	0.01	11.6001	276045	0.684364	0.00258256	0.684364	0.905954	3.69686
0.99	0.01	11.8001	337162	0.684289	0.0025063	0.684289	0.905854	3.69727
0.99	0.01	12.0001	411811	0.684218	0.0024324	0.684218	0.905761	3.69765
0.99	0.01	12.2001	502987	0.684151	0.00236078	0.684151	0.905672	3.69801
0.99	0.01	12.4001	614350	0.684088	0.00229137	0.684088	0.905589	3.69835
0.99	0.01	12.6001	750368	0.684029	0.00222408	0.684029	0.905511	3.69867
0.99	0.01	12.8001	916502	0.683974	0.00215884	0.683974	0.905437	3.69897
0.99	0.01	13.0001	1.11942e+06	0.683921	0.00209559	0.683921	0.905368	3.69926
0.99	0.01	13.2001	1.36726e+06	0.683872	0.00203426	0.683872	0.905302	3.69952
0.99	0.01	13.4001	1.66998e+06	0.683825	0.00197478	0.683825	0.90524	3.69978
0.99	0.01	13.6001	2.03971e+06	0.683781	0.00191709	0.683781	0.905182	3.70001
0.99	0.01	13.8001	2.49131e+06	0.68374	0.00186114	0.68374	0.905127	3.70024
0.99	0.01	14.0001	3.04289e+06	0.683701	0.00180687	0.683701	0.905076	3.70045
0.99	0.01	14.2001	3.7166e+06	0.683664	0.00175422	0.683664	0.905027	3.70065
0.99	0.01	14.4001	4.53946e+06	0.683629	0.00170315	0.683629	0.904981	3.70084
0.99	0.01	14.6001	5.54451e+06	0.683597	0.0016536	0.683597	0.904938	3.70101
0.99	0.01	14.8001	6.77208e+06	0.683566	0.00160552	0.683566	0.904897	3.70118
0.99	0.01	15.0001	8.27144e+06	0.683537	0.00155886	0.683537	0.904859	3.70134
