tempv	cap	l	Kr/K0	F	
1e-08	47.9943	7.5889	0.00878289	-0.0591553
1.49182e-08	48.0867	7.5889	0.008783	-0.0591553
2.22554e-08	48.0743	7.5889	0.00878316	-0.0591553
3.32012e-08	48.1673	7.5889	0.0087834	-0.0591553
4.95303e-08	47.924	7.5888	0.00878377	-0.0591553
7.38906e-08	48.1053	7.5888	0.0087843	-0.0591553
1.10232e-07	48.1584	7.5887	0.00878511	-0.0591553
1.64446e-07	48.0529	7.5885	0.00878631	-0.0591553
2.45325e-07	48.1404	7.5883	0.00878809	-0.0591552
3.65982e-07	47.9613	7.588	0.00879076	-0.0591552
5.45982e-07	48.0295	7.5876	0.00879473	-0.0591552
8.14509e-07	48.1536	7.5869	0.00880067	-0.0591551
1.2151e-06	48.1957	7.5859	0.00880951	-0.0591549
1.81272e-06	48.0841	7.5844	0.00882269	-0.0591547
2.70426e-06	48.1669	7.5822	0.00884234	-0.0591544
4.03429e-06	47.8645	7.5789	0.00887162	-0.059154
6.01845e-06	47.7902	7.574	0.00891521	-0.0591534
8.97847e-06	47.8643	7.5667	0.00898004	-0.0591524
1.33943e-05	47.6628	7.5561	0.00907634	-0.059151
1.9982e-05	47.6413	7.5404	0.00921908	-0.0591488
2.98096e-05	47.3804	7.5178	0.00943003	-0.0591456
4.44707e-05	47.1392	7.4854	0.00974051	-0.0591408
6.63424e-05	46.4403	7.4398	0.0101949	-0.0591337
9.89713e-05	46.107	7.377	0.010855	-0.0591231
0.000147648	45.2767	7.2931	0.0118049	-0.0591072
0.000220265	44.0499	7.1846	0.0131565	-0.0590836
0.000328596	42.483	7.0497	0.0150556	-0.0590484
0.000490208	41.0406	6.8883	0.0176895	-0.058996
0.000731304	39.3144	6.7024	0.0212969	-0.058918
0.00109098	36.9261	6.4955	0.0261827	-0.058802
0.00162755	34.7763	6.2716	0.032738	-0.05863
0.00242802	32.3468	6.0344	0.0414674	-0.0583753
0.00362217	29.7963	5.7874	0.0530237	-0.0579991
0.00540365	26.9821	5.5331	0.0682531	-0.0574457
0.0080613	24.4179	5.2735	0.0882487	-0.0566358
