# Filename: 3Dvlt_macro_Tv_Op12_Cc0.70_lmax10_dl1e-05.dat
# Source: 3Dvlt_macro.c
# Source version: 10 (2012 Jul 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, A3=41.3417022403997549418, THETA=0.6
# Parameter values: OpA=1, OpB=2, N=3, Cc=0.7, K0c=0.396566972896193, lmax=10, lsteps=1000000, (dl=1e-05), lpts=1000001, a0=1, a03=1, a06=1
Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac'/a
1	1000000	1	1e-08	10	0.399815	0.0577119	-0.0665944	1.00819	4.57718e-05	5.05355e-28	22026.5	0.57692
2	1000000	1	1.25893e-08	10	0.403024	0.0565547	-0.0665944	1.01628	4.61391e-05	4.95222e-28	22026.5	0.579693
3	1000000	1	1.58489e-08	10	0.407075	0.0551326	-0.0665944	1.0265	4.66029e-05	4.82769e-28	22026.5	0.583183
4	1000000	1	1.99526e-08	10	0.412195	0.0533958	-0.0665944	1.03941	4.7189e-05	4.67561e-28	22026.5	0.587572
5	1000000	1	2.51189e-08	10	0.41867	0.0512912	-0.0665944	1.05573	4.79303e-05	4.49132e-28	22026.5	0.593093
6	1000000	1	3.16228e-08	10	0.426866	0.0487661	-0.0665944	1.0764	4.88686e-05	4.27021e-28	22026.5	0.600033
7	1000000	1	3.98107e-08	10	0.437253	0.0457734	-0.0665944	1.1026	5.00578e-05	4.00815e-28	22026.5	0.608751
8	1000000	1	5.01187e-08	10	0.450431	0.0422813	-0.0665944	1.13583	5.15664e-05	3.70237e-28	22026.5	0.619694
9	1000000	1	6.30957e-08	10	0.467171	0.0382846	-0.0665944	1.17804	5.34829e-05	3.3524e-28	22026.5	0.633411
10	1000000	1	7.94328e-08	10	0.488457	0.0338199	-0.0665944	1.23171	5.59197e-05	2.96145e-28	22026.5	0.650573
11	1000000	1	1e-07	10	0.515544	0.0289805	-0.0665944	1.30002	5.90207e-05	2.53768e-28	22026.5	0.671985
12	1000000	1	1.25893e-07	10	0.550015	0.0239267	-0.0665944	1.38694	6.2967e-05	2.09515e-28	22026.5	0.698594
13	1000000	1	1.58489e-07	10	0.59384	0.0188852	-0.0665943	1.49745	6.79841e-05	1.65369e-28	22026.5	0.731478
14	1000000	1	1.99526e-07	10	0.649407	0.0141276	-0.0665943	1.63757	7.43457e-05	1.23709e-28	22026.5	0.77181
15	1000000	1	2.51189e-07	10	0.719527	0.00992639	-0.0665943	1.81439	8.23731e-05	8.69205e-29	22026.5	0.820782
16	1000000	1	3.16228e-07	10	0.807356	0.00649383	-0.0665943	2.03586	9.24281e-05	5.68633e-29	22026.5	0.879507
17	1000000	1	3.98107e-07	10	0.916284	0.00392697	-0.0665943	2.31054	0.000104898	3.43865e-29	22026.5	0.948895
