# Filename: 3Dvlt_macro_Tv_Op12_Cc1.00_lmax10_dl1e-05.dat
# Source: 3Dvlt_macro.c
# Source version: 10 (2012 Jul 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, A3=41.3417022403997549418, THETA=0.6
# Parameter values: OpA=1, OpB=2, N=3, Cc=1, K0c=0.315036006898573, lmax=10, lsteps=1000000, (dl=1e-05), lpts=1000001, a0=1, a03=1, a06=1
Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac'/a
1	1000000	1	1e-08	10	0.39869	0.0581243	-0.0542497	1.26554	5.74554e-05	5.08966e-28	22026.5	0.575946
2	1000000	1	1.25893e-08	10	0.401604	0.0570633	-0.0542497	1.27479	5.78752e-05	4.99676e-28	22026.5	0.578467
3	1000000	1	1.58489e-08	10	0.405282	0.0557567	-0.0542497	1.28646	5.84053e-05	4.88234e-28	22026.5	0.58164
4	1000000	1	1.99526e-08	10	0.409928	0.0541565	-0.0542497	1.30121	5.90749e-05	4.74222e-28	22026.5	0.585632
5	1000000	1	2.51189e-08	10	0.415802	0.0522108	-0.0542497	1.31986	5.99214e-05	4.57184e-28	22026.5	0.590653
6	1000000	1	3.16228e-08	10	0.423235	0.049866	-0.0542497	1.34345	6.09926e-05	4.36652e-28	22026.5	0.596966
7	1000000	1	3.98107e-08	10	0.432651	0.0470719	-0.0542497	1.37334	6.23494e-05	4.12186e-28	22026.5	0.604898
8	1000000	1	5.01187e-08	10	0.444591	0.0437891	-0.0542497	1.41124	6.40701e-05	3.83439e-28	22026.5	0.61486
9	1000000	1	6.30957e-08	10	0.459749	0.0399996	-0.0542497	1.45936	6.62546e-05	3.50257e-28	22026.5	0.627354
10	1000000	1	7.94328e-08	10	0.479017	0.035721	-0.0542496	1.52052	6.90313e-05	3.12791e-28	22026.5	0.643
11	1000000	1	1e-07	10	0.50353	0.0310213	-0.0542496	1.59833	7.25639e-05	2.71638e-28	22026.5	0.662545
12	1000000	1	1.25893e-07	10	0.534728	0.0260323	-0.0542496	1.69735	7.70598e-05	2.27952e-28	22026.5	0.686878
13	1000000	1	1.58489e-07	10	0.574414	0.0209546	-0.0542496	1.82333	8.27789e-05	1.83489e-28	22026.5	0.717026
14	1000000	1	1.99526e-07	10	0.624801	0.0160452	-0.0542496	1.98327	9.00402e-05	1.405e-28	22026.5	0.754128
15	1000000	1	2.51189e-07	10	0.688529	0.0115829	-0.0542496	2.18556	9.92241e-05	1.01426e-28	22026.5	0.79938
16	1000000	1	3.16228e-07	10	0.768624	0.00781269	-0.0542496	2.4398	0.000110767	6.84119e-29	22026.5	0.853942
17	1000000	1	3.98107e-07	10	0.868395	0.00488444	-0.0542495	2.75649	0.000125145	4.27707e-29	22026.5	0.91882
18	1000000	0.999999	5.01187e-07	10	0.991298	0.00281438	-0.0542495	3.14662	0.000142856	2.46442e-29	22026.5	0.99477
19	1000000	0.999999	6.30957e-07	10	1.14109	0.00140309	-0.0542495	3.62209	0.000164443	1.22862e-29	22026.5	1
20	1000000	0.999999	7.94328e-07	10	1.32239	0.000543753	-0.0542494	4.19758	0.00019057	4.76138e-30	22026.5	1
21	1000000	0.999999	1e-06	10	1.53916	0.000155585	-0.0542494	4.88567	0.000221809	1.36238e-30	22026.5	1
22	1000000	0.999999	1.25893e-06	10	1.79511	3.10502e-05	-0.0542493	5.69812	0.000258694	2.71891e-31	22026.5	1
23	1000000	0.999998	1.58489e-06	10	2.09502	4.05716e-06	-0.0542492	6.6501	0.000301914	3.55265e-32	22026.5	1
24	1000000	0.999998	1.99526e-06	10	2.44539	3.2303e-07	-0.0542491	7.76224	0.000352405	2.82862e-33	22026.5	1
25	1000000	0.999997	2.51189e-06	10	2.85441	1.44228e-08	-0.0542489	9.06057	0.000411349	1.26293e-34	22026.5	1
26	1000000	0.999997	3.16228e-06	10	3.33185	3.27799e-10	-0.0542487	10.5761	0.000480152	2.87037e-36	22026.5	1
27	1000000	0.999996	3.98107e-06	10	3.88915	3.38741e-12	-0.0542484	12.345	0.000560464	2.96619e-38	22026.5	1
28	1000000	0.999995	5.01187e-06	10	4.53966	1.395e-14	-0.0542481	14.4099	0.000654209	1.22153e-40	22026.5	1
29	1000000	0.999994	6.30957e-06	10	5.29898	1.96288e-17	-0.0542477	16.8201	0.000763633	1.7188e-43	22026.5	1
30	1000000	0.999992	7.94328e-06	10	6.18532	7.88529e-21	-0.0542472	19.6335	0.000891361	6.90476e-47	22026.5	1
31	1000000	0.99999	1e-05	10	7.2199	7.33302e-25	-0.0542466	22.9175	0.00104045	6.42117e-51	22026.5	1
32	1000000	0.999987	1.25893e-05	10	8.42753	1.23594e-29	-0.0542458	26.7507	0.00121448	1.08225e-55	22026.5	1
33	1000000	0.999984	1.58489e-05	10	9.83717	2.83718e-35	-0.0542448	31.225	0.00141761	2.48438e-61	22026.5	1
34	1000000	0.99998	1.99526e-05	10	11.4826	6.35509e-42	-0.0542435	36.4478	0.00165473	5.56484e-68	22026.5	1
35	1000000	0.999975	2.51189e-05	10	13.4032	9.41109e-50	-0.0542419	42.544	0.0019315	8.24083e-76	22026.5	1
36	1000000	0.999968	3.16228e-05	10	15.6451	5.84924e-59	-0.0542399	49.6599	0.00225456	5.12189e-85	22026.5	1
37	1000000	0.99996	3.98107e-05	10	18.2621	8.97712e-70	-0.0542374	57.9659	0.00263165	7.86083e-96	22026.5	1
38	1000000	0.99995	5.01187e-05	10	21.3168	1.83166e-82	-0.0542342	67.6611	0.00307181	1.6039e-108	22026.5	1
39	1000000	0.999937	6.30957e-05	10	24.8824	2.41167e-97	-0.0542302	78.9778	0.00358559	2.11178e-123	22026.5	1
40	1000000	0.999921	7.94328e-05	10	29.0446	8.81273e-115	-0.0542252	92.1871	0.00418529	7.71688e-141	22026.5	1
41	1000000	0.9999	0.0001	10	33.903	3.33765e-135	-0.0542188	107.605	0.00488528	2.92262e-161	22026.5	1
42	1000000	0.999874	0.000125893	10	39.5742	4.14868e-159	-0.0542108	125.602	0.00570233	3.63279e-185	22026.5	1
43	1000000	0.999842	0.000158489	10	46.1942	4.42063e-187	-0.0542008	146.608	0.006656	3.87093e-213	22026.5	1
44	1000000	0.9998	0.000199526	10	53.9218	8.42308e-220	-0.0541882	171.127	0.00776914	7.37568e-246	22026.5	1
45	1000000	0.999749	0.000251189	10	62.9425	4.60369e-258	-0.0541723	199.744	0.00906838	4.03123e-284	22026.5	1
46	1000000	0.999684	0.000316228	10	73.4727	8.51885e-303	-0.0541523	233.146	0.0105848	0	22026.5	1
47	1000000	0.999602	0.000398107	10	85.7653	3.40905e-322	-0.0541271	272.131	0.0123547	0	22026.5	1
48	1000000	0.999499	0.000501187	10	100.116	2.91499e-322	-0.0540955	317.631	0.0144204	0	22026.5	1
49	1000000	0.999369	0.000630957	10	116.868	2.51973e-322	-0.0540558	370.734	0.0168313	0	22026.5	1
50	1000000	0.999206	0.000794328	10	136.426	2.12448e-322	-0.0540059	432.706	0.0196448	0	22026.5	1
51	1000000	0.999	0.001	10	159.261	1.82804e-322	-0.0539432	505.027	0.0229282	0	22026.5	1
52	1000000	0.998741	0.00125893	10	185.922	1.58101e-322	-0.0538645	589.418	0.0267595	0	22026.5	1
53	1000000	0.998415	0.00158489	10	217.053	1.33398e-322	-0.0537658	687.885	0.0312299	0	22026.5	1
54	1000000	0.998005	0.00199526	10	253.406	1.13635e-322	-0.0536421	802.766	0.0364455	0	22026.5	1
55	1000000	0.997488	0.00251189	10	295.862	9.88131e-323	-0.053487	936.779	0.0425297	0	22026.5	1
56	1000000	0.996838	0.00316228	10	345.453	8.39912e-323	-0.0532931	1093.08	0.0496259	0	22026.5	1
57	1000000	0.996019	0.00398107	10	403.386	6.91692e-323	-0.0530507	1275.35	0.0579007	0	22026.5	1
58	1000000	0.994988	0.00501187	10	471.081	5.92879e-323	-0.0527482	1487.83	0.0675474	0	22026.5	1
59	1000000	0.99369	0.00630957	10	550.202	4.94066e-323	-0.0523713	1735.45	0.0787895	0	22026.5	1
60	1000000	0.992057	0.00794328	10	642.708	4.44659e-323	-0.0519026	2023.91	0.0918852	0	22026.5	1
