# Filename: 3Dvlt_macro_Tv_Op12_Cc1.10_lmax10_dl1e-05.dat
# Source: 3Dvlt_macro.c
# Source version: 10 (2012 Jul 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, A3=41.3417022403997549418, THETA=0.6
# Parameter values: OpA=1, OpB=2, N=3, Cc=1.1, K0c=0.296468939006783, lmax=10, lsteps=1000000, (dl=1e-05), lpts=1000001, a0=1, a03=1, a06=1
Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac'/a
38	1000000	0.99995	5.01187e-05	10	20.8999	9.95618e-81	-0.0509741	70.4926	0.00320036	8.71814e-107	22026.5	1
39	1000000	0.999937	6.30957e-05	10	24.3958	2.60914e-95	-0.0509702	82.2828	0.00373563	2.2847e-121	22026.5	1
40	1000000	0.999921	7.94328e-05	10	28.4766	2.12943e-112	-0.0509654	96.0448	0.00436043	1.86463e-138	22026.5	1
41	1000000	0.9999	0.0001	10	33.2399	2.0606e-132	-0.0509593	112.108	0.00508971	1.80437e-158	22026.5	1
42	1000000	0.999874	0.000125893	10	38.8002	7.65758e-156	-0.0509517	130.858	0.00594094	6.70537e-182	22026.5	1
43	1000000	0.999842	0.000158489	10	45.2906	2.93074e-183	-0.0509421	152.743	0.00693451	2.5663e-209	22026.5	1
44	1000000	0.9998	0.000199526	10	52.867	2.48509e-215	-0.05093	178.287	0.0080942	2.17607e-241	22026.5	1
45	1000000	0.999749	0.000251189	10	61.711	7.76385e-253	-0.0509147	208.101	0.00944778	6.79843e-279	22026.5	1
46	1000000	0.999684	0.000316228	10	72.035	1.10025e-296	-0.0508956	242.9	0.0110276	9.88131e-323	22026.5	1
47	1000000	0.999602	0.000398107	10	84.0867	3.45846e-322	-0.0508715	283.514	0.0128715	0	22026.5	1
48	1000000	0.999499	0.000501187	10	98.1555	2.96439e-322	-0.0508412	330.916	0.0150236	0	22026.5	1
49	1000000	0.999369	0.000630957	10	114.579	2.56914e-322	-0.0508031	386.237	0.0175351	0	22026.5	1
50	1000000	0.999206	0.000794328	10	133.753	2.17389e-322	-0.0507553	450.797	0.0204661	0	22026.5	1
51	1000000	0.999	0.001	10	156.139	1.87745e-322	-0.0506953	526.135	0.0238865	0	22026.5	1
52	1000000	0.998741	0.00125893	10	182.274	1.58101e-322	-0.0506199	614.044	0.0278776	0	22026.5	1
53	1000000	0.998415	0.00158489	10	212.791	1.38338e-322	-0.0505253	716.613	0.0325342	0	22026.5	1
54	1000000	0.998005	0.00199526	10	248.425	1.18576e-322	-0.0504067	836.273	0.0379667	0	22026.5	1
55	1000000	0.997488	0.00251189	10	290.038	9.88131e-323	-0.0502582	975.851	0.0443035	0	22026.5	1
56	1000000	0.996838	0.00316228	10	338.64	8.39912e-323	-0.0500723	1138.63	0.0516938	0	22026.5	1
57	1000000	0.996019	0.00398107	10	395.413	7.41098e-323	-0.0498401	1328.43	0.0603107	0	22026.5	1
58	1000000	0.994988	0.00501187	10	461.742	5.92879e-323	-0.0495502	1549.67	0.0703548	0	22026.5	1
59	1000000	0.99369	0.00630957	10	539.254	5.43472e-323	-0.0491891	1807.45	0.0820579	0	22026.5	1
60	1000000	0.992057	0.00794328	10	629.859	4.44659e-323	-0.0487401	2107.66	0.0956877	0	22026.5	1
