filename: calc_Ferer_XvsP_2019.dat

P	B'exp	B'loop	A'	Tc	rhoc	Vc	Xexp	Xloop
0.05	-388.026880407952	-1397.31440791919	2.4615925	2.17300271052122	146.077055820733	2.74006207032897e-05	-2.41035080706867e-08	-8.67985719782026e-08
1.646	-382.149454684935	-1406.29005656644	2.4166651	2.15700019250437	149.009848445052	2.68613252195418e-05	-2.35805848307104e-08	-8.67753219817868e-08
7.328	-354.951404759459	-1400.57589816968	2.2567168	2.09499908534539	157.753223183099	2.53725528977083e-05	-2.1987855624473e-08	-8.67602162638033e-08
15.031	-337.532647770387	-1327.60605121375	2.03987735	1.99800463967036	166.474812307518	2.40432888586378e-05	-2.20519074673442e-08	-8.67360416476439e-08
18.18	-322.721607316235	-1285.62078993663	1.951233	1.95399352318083	169.426636047985	2.3624396336734e-05	-2.17548835785225e-08	-8.66645739768924e-08
22.533	-299.57997589479	-1223.36373708572	1.82869605	1.88900354078972	173.184634341731	2.31117617057132e-05	-2.12137739191381e-08	-8.66284926483956e-08
25.868	-306.487231048798	-1173.01667705812	1.7348158	1.83599901850933	175.847858322307	2.27617330013818e-05	-2.26383921925905e-08	-8.66437779245132e-08
