Cc	K01
0.20	2.0
0.25	2.0
0.30	2.0
0.35	2.0
0.40	2.0
0.45	2.0
0.50	2.0
0.55	2.0
0.60	2.0
0.65	2.0
0.70	2.0
0.75	2.0
0.80	2.0
0.85	2.0
0.90	2.0
0.95	2.0
1.00	2.0
1.05	2.0
1.10	2.0
1.15	2.0
1.20	2.0
