# Filename: 3Dvlt_constTv_0_Op11_Cc0.40_lmax100_dl1e-05.dat
# Source: 3Dvlt_constT.c
# Source version: 10 (2012 Jul 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, A3=41.3417022403997549418, THETA=0.6
# Parameter values: OpA=1, OpB=1, N=3, Tfrac=1, tempv=0, Cc=0.4, K0c=0.575343, lmax=100, lsteps=10000000, (dl=1e-05), lpts=10000001, ldatamax=1000, a0=1, a03=1, a06=1
Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac/a
1	0	                1	                0	                0	0.57534342964893814	0.10317127392104897	                0	                1	                1	0.10317127392104897	                1	0.7177220595888727
2	10000	                1	                0	0.099999999999993927	0.51247690101574772	0.090548018121547211	-0.02623411338422852	0.89073216900808239	0.80596779596684809	0.049693805970359696	1.1051709180756408	0.6695832439399918
3	20000	                1	                0	0.20000000000005924	0.47511346675580618	0.082552489542691565	-0.043620678064367986	0.82579107064055624	0.67610054515057538	0.024864332029192453	1.2214027581602422	0.63985033876382602
4	30000	                1	                0	0.30000000000015925	0.45089101821070904	0.077174111919329241	-0.055511969012248544	0.78369021870264999	0.58057199338487098	0.012756794899741224	1.3498588075762181	0.62007318470181128
5	40000	                1	                0	0.40000000000025926	0.43432100258015305	0.073409018799400191	-0.063818969139861806	0.7548900016902359	0.50601790068471153	0.0066595159384552315	1.4918246976416571	0.60629850687057329
6	50000	                1	                0	0.50000000000035927	0.42257533337472392	0.07069929949573539	-0.069709006923739464	0.7344749441782451	0.44548157243467046	0.0035199108575466789	1.6487212707007204	0.59640666155763677
7	60000	                1	                0	0.59999999999990417	0.41404176589887187	0.06871007360845012	-0.073930398823022381	0.71964281603339242	0.39494835127063643	0.0018774149806114122	1.8221188003903344	0.58915082655673556
8	70000	                1	                0	0.69999999999944906	0.40773186451543925	0.067228420481046075	-0.076979892678773906	0.70867562485979585	0.35191790046076254	0.0010081289438462358	2.0137527074693669	0.58374717508582163
9	80000	                1	                0	0.79999999999899396	0.40300590334727893	0.066112856095974282	-0.079195868770837591	0.70046146801951703	0.31473762582955461	0.00054409208236141449	2.2255409284902288	0.57967803526629724
10	90000	                1	                0	0.89999999999853886	0.39943241136393753	0.065266084237724106	-0.080813346299100142	0.69425040902554913	0.28226115257270173	0.00029477955226964202	2.4596031111533558	0.57658850679467011
