# Filename: 3Dvlt_constTv_0.0001_Op11_Cc1.10_lmax100_dl1e-05.dat
# Source: 3Dvlt_constT.c
# Source version: 10 (2012 Jul 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, A3=41.3417022403997549418, THETA=0.6
# Parameter values: OpA=1, OpB=1, N=3, Tfrac=0.9999, tempv=0.0001, Cc=1.1, K0c=0.296469, lmax=100, lsteps=10000000, (dl=1e-05), lpts=10000001, ldatamax=1000, a0=1, a03=1, a06=1
Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac/a
1	0	0.99990000000000001	           0.0001	                0	0.29649858886566927	0.039996786910026956	                0	                1	                1	0.039996786910026956	                1	0.48218486943685757
2	10000	0.99990000000000001	           0.0001	0.099999999999993927	0.31090839088742983	0.043580835770575012	-0.011325906125746342	1.0485999008524423	0.94881242684009282	0.023917669781595218	1.1051709180756408	0.49611169605271366
3	20000	0.99990000000000001	           0.0001	0.20000000000005924	0.32380301712735826	0.046785716036006578	-0.020401503105695884	1.0920895723859902	0.89412731802813983	0.014091586870208068	1.2214027581602422	0.50835667992337863
4	30000	0.99990000000000001	           0.0001	0.30000000000015925	0.33509797771414651	0.049584311483930193	-0.027573654393546702	1.1301840558369907	0.83726094128787332	0.0081962315615186753	1.3498588075762181	0.51892319593508229
5	40000	0.99990000000000001	           0.0001	0.40000000000025926	0.34480277738338622	0.051978192379015249	-0.033174399863155464	1.1629154078018278	0.77952550969307322	0.0047153552283002676	1.4918246976416571	0.52788880655414205
6	50000	0.99990000000000001	           0.0001	0.50000000000035927	0.35300110133817852	0.053990027834579526	-0.037504187288276598	1.1905658731418385	0.72211470446780723	0.0026880052069772936	1.6487212707007204	0.53538430584989105
7	60000	0.99990000000000001	           0.0001	0.59999999999990417	0.35982673300218981	0.055655730471763802	-0.040823451427573522	1.213586662853265	0.66603048198245385	0.0015207217320126717	1.8221188003903344	0.54157181642110541
8	70000	0.99990000000000001	           0.0001	0.69999999999944906	0.36544051548257084	0.057017681098639743	-0.043350516954442128	1.2325202520546774	0.61205144379597376	0.00085501301704297831	2.0137527074693669	0.54662566274171542
9	80000	0.99990000000000001	           0.0001	0.79999999999899396	0.37001156071331209	0.058119627572311552	-0.045263655230754471	1.2479370041148776	0.56073424134305094	0.0004783098335062613	2.2255409284902288	0.55071787905053426
10	90000	0.99990000000000001	           0.0001	0.89999999999853886	0.37370385400405032	0.059003295501129524	-0.046705440373623383	1.2603899918503809	0.51243633012781464	0.00026649316001408171	2.4596031111533558	0.55400865053723769
11	100000	0.99990000000000001	           0.0001	0.99999999999808376	0.3766679714343929	0.059706442915494047	-0.047788041781299584	1.2703870628033407	0.46734928273641857	0.00014799747533948815	2.7182818284538364	0.5566410311207004
12	110000	0.99990000000000001	           0.0001	1.0999999999987389	0.37903690826722852	0.060261986001103746	-0.048598572578337641	1.2783767697422459	0.4255346607190883	8.197847963568045e-05	3.0041660239426444	0.55873888983838815
13	120000	0.99990000000000001	           0.0001	1.199999999999394	0.38092483310485709	0.060697838744725133	-0.049203999519073331	1.284744168807622	0.3869575074330433	4.5316145006112713e-05	3.3201169227345355	0.56040702603912307
14	130000	0.99990000000000001	           0.0001	1.3000000000000491	0.3824277029401062	0.06103717870200303	-0.0496553902106565	1.2898128938932918	0.35151502065111018	2.5009067132443326e-05	3.6692966676194243	0.56173257176066993
15	140000	0.99990000000000001	           0.0001	1.4000000000007042	0.38362491483250893	0.06129893161476796	-0.049991442729887509	1.2938507272502158	0.31905966113331813	1.3784126727176823e-05	 4.05519996684753	0.56278703375078531
16	150000	0.99990000000000001	           0.0001	1.5000000000013594	0.38458142031655318	0.061498338388900599	-0.050241336759894582	1.2970767307455566	0.28941693865566442	7.5894978921686387e-06	4.4816890703441574	0.56362854441129473
