# Filename: 3Dvlt_constT_1.000_Op11_Cc1.10_lmax100_dl1e-05.dat
# Source: 3Dvlt_constT.c
# Source version: 10 (2012 Jul 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, A3=41.3417022403997549418, THETA=0.6
# Parameter values: OpA=1, OpB=1, N=3, Tfrac=1, tempv=0, Cc=1.1, K0c=0.296469, lmax=100, lsteps=10000000, (dl=1e-05), lpts=10000001, ldatamax=1000, a0=1, a03=1, a06=1
Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac/a
1	0	                1	                0	                0	0.29646893900678273	0.040009663772760384	                0	                1	                1	0.040009663772760384	                1	0.48215593776604254
2	10000	                1	                0	0.099999999999993927	0.31087348472062115	0.043596410082909008	-0.011329741295298209	1.0485870316198922	0.94880078227693998	0.023926217145428277	1.1051709180756408	0.49607827576494645
3	20000	                1	                0	0.20000000000005924	0.3237617080445811	0.046804345961201088	-0.02040875529800491	1.0920594552981955	0.89410266024216922	0.014097198095845011	1.2214027581602422	0.50831776685049201
4	30000	                1	                0	0.30000000000015925	0.33504895654949612	0.049606406306241663	-0.027583921365694351	1.1301317354592439	0.83722218139872562	0.0081998838110822116	1.3498588075762181	0.51887764693370697
5	40000	                1	                0	0.40000000000025926	0.34474456638957096	0.052004227979062956	-0.033187306852437717	1.1628353632745445	0.77947185424185983	0.0047177171246492533	1.4918246976416571	0.52783533255966064
6	50000	                1	                0	0.50000000000035927	0.35293203943028978	0.05402056249504885	-0.037519393271427955	1.1904519934286111	0.72204563293021551	0.0026895254382056661	1.6487212707007204	0.53532145713632895
7	60000	                1	                0	0.59999999999990417	0.35974495055962091	0.05569142100136934	-0.04084065137387953	1.2134321786451649	0.66594569925145575	0.0015216969301376107	1.8221188003903344	0.54149795907459208
8	70000	                1	                0	0.69999999999944906	0.3653438984853028	0.057059299706293719	-0.043369441376612611	1.2323176239280309	0.61195082164614634	0.00085563711207121691	2.0137527074693669	0.5465389463746767
9	80000	                1	                0	0.79999999999899396	0.36989770473753647	0.058168080160875719	-0.04528406811237716	1.2476777701460111	0.56061776001235619	0.00047870858605401705	2.2255409284902288	0.55061619620458413
10	90000	                1	                0	0.89999999999853886	0.37357000865488565	0.059059642131559884	-0.046727136262557346	1.2600645784560216	0.51230402691479471	0.00026674765413126615	2.4596031111533558	0.55388958814122502
11	100000	                1	                0	0.99999999999808376	0.37651097540147221	0.059771921193517548	-0.047810842573382396	1.2699845611578833	0.46720121065601683	0.00014815977976366513	2.7182818284538364	0.55650181399591636
12	110000	                1	                0	1.0999999999987389	0.3788531146083331	0.060338038121067562	-0.048622324310252804	1.2778846778267909	0.42537085754991155	8.2081938508867764e-05	3.0041660239426444	0.55857631576076106
13	120000	                1	                0	1.199999999999394	0.38071002376222379	0.060786142924588067	-0.049228569345982118	1.2841480967202226	0.38677797397043612	4.5382071653618958e-05	3.3201169227345355	0.56021739138963622
14	130000	                1	                0	1.3000000000000491	 0.38217699094627	0.061139685774421366	-0.049680663652018148	1.2890962278430336	0.35131970636742671	2.5051067865605921e-05	3.6692966676194243	0.56151158636168497
15	140000	                1	                0	1.4000000000007042	0.38333263217567853	0.061417907604664042	-0.050017321211524468	1.2929942457375223	0.31884845539261591	1.381088053966617e-05	 4.05519996684753	0.56252972309550286
16	150000	                1	                0	1.5000000000013594	0.38424098898629977	0.061636414005540617	-0.050267735449345749	1.2960581647223048	0.28918966585577482	7.6065377769671919e-06	4.4816890703441574	0.56332913712498012
17	160000	                1	                0	1.6000000000020145	0.38495372153947732	0.061807750136316272	-0.050453835339422132	1.298462236310935	0.26215500425820309	4.1861608220245015e-06	4.9530324244050927	0.5639558597351122
18	170000	                1	                0	1.7000000000026696	0.38551218765653433	0.061941932089151545	-0.050592043159620098	1.3003459618672377	0.23755178280101574	2.3024013556274161e-06	5.4739473917418131	0.5644466079494459
19	180000	                1	                0	1.8000000000033247	0.3859493033910455	0.062046914519853183	-0.050694628144058229	1.3018203683800265	0.2151894595567192	1.2657262443751885e-06	6.0496474644330593	0.56483052199440476
20	190000	                1	                0	1.9000000000039798	0.38629114689789995	0.062128989060519252	-0.050770739755986484	1.3029734183690058	0.19488393506847337	6.9556415529593177e-07	6.6858944423058784	0.56513063828718069
21	200000	                1	                0	2.000000000004635	0.38655830580735373	0.062193116185180489	-0.050827191086488782	1.3038745546241184	0.17646023215424941	3.8212771274633535e-07	7.3890560989648986	0.56536511242846033
22	210000	                1	                0	2.1000000000052901	0.38676698845260132	0.062243197194394868	-0.050869049721624461	1.3045784484146339	0.15975401716782797	2.0988500915436673e-07	8.1661699126108491	0.56554821932360566
23	220000	                1	                0	2.2000000000059452	0.38692992805782755	0.062282294480936425	-0.050900081609055056	1.3051280493467656	0.14461230993403382	1.1525968875045837e-07	9.0250134994877769	0.56569116188625612
24	230000	                1	                0	2.3000000000066003	0.38705711111115809	0.062312808330493553	-0.050923083461820486	1.3055570421908611	0.1308936394633555	6.3286849184489107e-08	9.9741824548805535	0.56580271945003913
25	240000	                1	                0	2.4000000000072554	0.38715635968878792	0.062336617884491512	-0.050940131091021988	1.3058918110808579	0.11846783231780005	3.4745830460133328e-08	11.02317638072158	0.56588976433413885
26	250000	                1	                0	2.5000000000079106	0.38723379434871391	0.062355192956877421	-0.050952764584289392	1.3061530008708757	0.10721556727823899	1.9074598219942545e-08	12.182493960799844	0.56595767136084973
27	260000	                1	                0	2.6000000000085657	0.38729420047650953	0.062369682385297436	-0.050962126190707599	1.3063567528322044	0.097027790456474861	1.0470793982014143e-08	13.463738035117016	0.56601064129074263
28	270000	                1	                0	2.7000000000092208	0.38734131724474197	0.062380983631786562	-0.050969062874921256	1.3065156793234256	0.087805056130643655	5.7475348281908598e-09	14.879731725010037	0.5660519555319472
29	280000	                1	                0	2.8000000000098759	0.38737806494166438	0.062389797485519094	-0.0509742025264555	1.3066396305779668	0.07945683776325313	3.1547596678313818e-09	16.444646771259457	0.56608417627903829
30	290000	                1	                0	2.900000000010531	0.38740672345533228	0.062396670979627179	-0.050978010553188055	1.3067362967372074	0.071900838810308829	1.7315595599623203e-09	18.174145369634452	0.56610930350105682
31	300000	                1	                0	3.0000000000111862	0.38742907219043049	0.062402031014767115	-0.050980831885633612	1.306811679794782	0.06506232244513814	9.5038166832004495e-10	20.085536923412349	0.56612889791714727
32	310000	                1	                0	3.1000000000118413	0.38744649961935007	0.062406210673501571	-0.05098292214005308	1.3068704631161578	0.058873471994385272	5.2161545352063465e-10	22.197951281704487	0.56614417722850097
33	320000	                1	                0	3.2000000000124964	0.38746008897746165	0.062409469797189594	-0.050984470731003567	1.3069163004917597	0.053272788822631145	2.8628358065015253e-10	24.532530197415916	0.56615609136168854
34	330000	                1	                0	3.3000000000131515	0.38747068524868106	0.062412011065933672	-0.050985618008765679	1.3069520420816036	0.048204530952854298	1.5712215792365724e-10	27.112638921014462	0.56616538126408833
35	340000	                1	                0	3.4000000000138066	0.38747894749656048	0.062413992558015996	-0.050986467963864746	1.3069799109298785	0.043618193399583553	8.623320625040706e-11	29.964100047810717	0.56617262482436204
36	350000	                1	                0	3.5000000000144618	0.3874853897288722	0.062415537555745249	-0.05098709764389614	1.3070016408026042	0.039468029680344865	4.732695851159771e-11	33.115451959171224	0.56617827272364474
37	360000	                1	                0	3.6000000000151169	0.38749041279726054	0.062416742199080465	-0.050987564132622683	1.3070185837862609	0.035712613016289328	2.5974086831965521e-11	36.598234444231238	0.56618267641712983
