T/Tc	1-T/Tc	l	a	K	y	F	Kr	Kr/K0	a0/Kr	Del/kB	C
0.205672	0.794328	1.1156	7.72004	5.00034	1.73671e-11	-2.20061e-10	1.63871	1	1.5439	8.6826	1.31396
0.292054	0.707946	1.4662	10.9618	5.00003	1.64073e-09	-1.27692e-07	1.15401	0.999996	2.19235	8.68263	1.31404
0.369043	0.630957	1.7003	13.8532	5.00028	1.47001e-08	-3.21217e-06	0.913195	0.999919	2.77049	8.68262	1.31417
0.437659	0.562341	1.8713	16.4367	5.00048	5.4909e-08	-2.2592e-05	0.769692	0.999486	3.28703	8.68232	1.31426
0.498813	0.501187	2.0033	18.7561	5.0002	1.33904e-07	-8.34104e-05	0.674474	0.998222	3.75107	8.68142	1.31425
0.553316	0.446684	2.1096	20.8597	5.00036	2.55853e-07	-0.000212275	0.606476	0.995661	4.17164	8.67992	1.31411
0.601893	0.398107	2.1979	22.7854	5.00022	4.18117e-07	-0.000427181	0.555205	0.991509	4.55688	8.67793	1.31387
0.645187	0.354813	2.2733	24.5698	5.00042	6.14338e-07	-0.000734465	0.514902	0.985677	4.91355	8.6749	1.31342
0.683772	0.316228	2.3389	26.2357	5.00002	8.36485e-07	-0.00113179	0.48217	0.97822	5.24711	8.66889	1.31248
0.718162	0.281838	2.3972	27.8107	5.00004	1.07913e-06	-0.00161379	0.454865	0.969235	5.56209	8.65663	1.31056
0.748811	0.251189	2.4499	29.3156	5.00036	1.33907e-06	-0.00217715	0.431542	0.958782	5.8627	8.63418	1.30706
0.776128	0.223872	2.4982	30.7663	5.00001	1.61431e-06	-0.00282339	0.411165	0.946835	6.15324	8.59786	1.30145
0.800474	0.199526	2.5435	32.192	5.00001	1.90646e-06	-0.00355906	0.392955	0.933286	6.43839	8.54513	1.29334
0.822172	0.177828	2.5868	33.6166	5.00011	2.21564e-06	-0.00439414	0.37631	0.91798	6.72317	8.475	1.28258
0.841511	0.158489	2.629	35.0656	5.00018	2.54075e-06	-0.0053395	0.360766	0.90076	7.01286	8.38821	1.2693
