T/Tc	1-T/Tc	l	a	K	y	F	Kr	Kr/K0	a0/Kr	Del/kB	C
0.996838	0.00316228	2.8056	41.8386	5.0005	4.85996e-06	-0.0141311	0.302383	0.753566	8.36689	6.81104	1.02891
0.997182	0.00281838	2.8067	41.8846	5.00016	4.86433e-06	-0.0141692	0.30203	0.752946	8.37666	6.80965	1.0287
0.997488	0.00251189	2.8078	41.9307	5.00049	4.87078e-06	-0.0142029	0.301717	0.752398	8.38534	6.80845	1.02851
0.997761	0.00223872	2.8087	41.9685	5.00039	4.87489e-06	-0.0142327	0.30144	0.751914	8.39304	6.80741	1.02835
0.998005	0.00199526	2.8095	42.0021	5.00032	4.87853e-06	-0.014259	0.301195	0.751485	8.39988	6.8065	1.02821
0.998222	0.00177828	2.8102	42.0315	5.0002	4.88154e-06	-0.0142824	0.300977	0.751105	8.40596	6.80572	1.02809
0.998415	0.00158489	2.8109	42.0609	5.00049	4.88583e-06	-0.0143031	0.300784	0.750768	8.41136	6.80504	1.02798
0.998587	0.00141254	2.8114	42.082	5.00014	4.88708e-06	-0.0143215	0.300612	0.750469	8.41616	6.80444	1.02789
0.998741	0.00125893	2.8119	42.103	5.0001	4.88934e-06	-0.0143378	0.30046	0.750204	8.42043	6.80392	1.02781
0.998878	0.00112202	2.8124	42.1241	5.00035	4.89252e-06	-0.0143522	0.300324	0.749968	8.42423	6.80346	1.02774
0.999	0.001	2.8128	42.1409	5.00034	4.8944e-06	-0.0143651	0.300204	0.749759	8.4276	6.80306	1.02767
0.999109	0.000891251	2.8131	42.1536	5.00006	4.89489e-06	-0.0143765	0.300097	0.749574	8.43061	6.80271	1.02762
