#T/Tc	1-T/Tc	l	K	y	F	a	Kr/K0	a0/Kr
0.205672	0.794328	1.202	5.00047	4.30719e-09	-8.69508e-08	8.41671	0.999997	1.68318
0.369043	0.630957	1.7888	5.00013	3.05307e-07	-9.39587e-05	15.1351	0.997761	3.02695
0.498813	0.501187	2.1093	5.00012	1.23898e-06	-0.00104208	20.8534	0.978803	4.17059
0.601893	0.398107	2.345	5.00036	2.47124e-06	-0.00354311	26.3962	0.933113	5.27886
0.683772	0.316228	2.5473	5.00016	3.62858e-06	-0.00741908	32.3146	0.865868	6.46272
0.748811	0.251189	2.7339	5.00014	4.55378e-06	-0.0121219	38.9438	0.786814	7.78854
0.800474	0.199526	2.9117	5.00022	5.23548e-06	-0.017132	46.5217	0.704103	9.30393
0.841511	0.158489	3.0839	5.00049	5.71775e-06	-0.0220715	55.2639	0.623141	11.0517
0.874107	0.125893	3.2521	5.00043	6.04955e-06	-0.0267031	65.3867	0.547064	13.0762
0.9	0.1	3.4174	5.00038	6.27589e-06	-0.0308974	77.1398	0.477444	15.4268
0.920567	0.0794328	3.5805	5.00037	6.42966e-06	-0.0346007	90.8054	0.41486	18.1597
0.936904	0.0630957	3.7419	5.00047	6.53425e-06	-0.0378083	106.71	0.359297	21.3401
0.949881	0.0501187	3.9019	5.00033	6.60386e-06	-0.0405453	125.226	0.310406	25.0435
0.960189	0.0398107	4.0608	5.00007	6.64994e-06	-0.0428529	146.792	0.267661	29.358
0.968377	0.0316228	4.2189	5.0001	6.68227e-06	-0.0447796	171.935	0.230469	34.3864
0.974881	0.0251189	4.3763	5.00005	6.70377e-06	-0.0463755	201.244	0.198225	40.2484
0.980047	0.0199526	4.5332	5.00025	6.71967e-06	-0.0476886	235.431	0.170345	47.0839
0.984151	0.0158489	4.6896	5.00015	6.72907e-06	-0.048763	275.288	0.146289	55.056
0.987411	0.0125893	4.8457	5.00031	6.73677e-06	-0.0496379	321.796	0.125565	64.3553
0.99	0.01	5.0015	5.00038	6.74178e-06	-0.0503477	376.049	0.107733	75.2041
0.992057	0.00794328	5.157	5.00008	6.74317e-06	-0.0509215	439.316	0.0924043	87.8618
0.99369	0.00630957	5.3124	5.00019	6.74592e-06	-0.0513842	513.176	0.0792367	102.631
0.994988	0.00501187	5.4676	5.00002	6.74637e-06	-0.0517562	599.334	0.0679323	119.866
0.996019	0.00398107	5.6228	5.00043	6.74973e-06	-0.0520549	699.957	0.0582316	139.979
0.996838	0.00316228	5.7778	5.0003	6.74966e-06	-0.0522942	817.311	0.0499102	163.452
0.997488	0.00251189	5.9327	5.00004	6.74861e-06	-0.0524856	954.244	0.0427738	190.847
0.998005	0.00199526	6.0876	5.00008	6.74912e-06	-0.0526387	1114.12	0.036655	222.82
0.998415	0.00158489	6.2425	5.00035	6.75091e-06	-0.0527608	1300.78	0.0314097	260.138
0.998741	0.00125893	6.3973	5.00031	6.75081e-06	-0.0528583	1518.56	0.0269137	303.694
0.999	0.001	6.5521	5.00042	6.75153e-06	-0.052936	1772.81	0.0230603	354.532
1.00126	-0.00125893	100	7.41212e-250	2.28438e+248	-1.23164e+118	6.80094e+43	8.93049e-293	9.17543e+292
1.00158	-0.00158489	100	2.93306e-250	5.77282e+248	-3.11247e+118	6.80094e+43	3.53505e-293	2.31871e+293
1.002	-0.00199526	100	1.16092e-250	1.4585e+249	-7.86363e+118	6.80094e+43	1.39977e-293	5.85822e+293
1.00251	-0.00251189	100	4.59636e-251	3.6838e+249	-1.98615e+119	6.80094e+43	5.54486e-294	1.47963e+294
1.00316	-0.00316228	100	1.82049e-251	9.30082e+249	-5.01462e+119	6.80094e+43	2.19759e-294	3.73577e+294
1.00398	-0.00398107	100	7.21389e-252	2.34714e+250	-1.26548e+120	6.80094e+43	8.7153e-295	9.42755e+294
1.00501	-0.00501187	100	2.8603e-252	5.91967e+250	-3.19164e+120	6.80094e+43	3.45915e-295	2.3777e+295
1.00631	-0.00630957	100	1.13497e-252	1.49185e+251	-8.04344e+120	6.80094e+43	1.37437e-295	5.99217e+295
