#T/Tc	1-T/Tc	l	K	y	F	a	Kr/K0	a0/Kr
0.205672	0.794328	0	1.50311	2.31164e-07	0	2.53	1	1.68318
0.369043	0.630957	0	0.8377	0.000200279	0	2.53	1	3.02017
0.498813	0.501187	0	0.619766	0.00183567	0	2.53	1	4.08219
0.601893	0.398107	0	0.513625	0.00540003	0	2.53	1	4.92578
0.683772	0.316228	0	0.45212	0.010091	0	2.53	1	5.59586
0.748811	0.251189	0	0.41285	0.015042	0	2.53	1	6.12813
0.800474	0.199526	0	0.386205	0.0197216	0	2.53	1	6.55092
0.841511	0.158489	0	0.367371	0.0238831	0	2.53	1	6.88676
0.874107	0.125893	0	0.353672	0.027452	0	2.53	1	7.15353
0.9	0.1	0	0.343497	0.0304435	0	2.53	1	7.36543
0.920567	0.0794328	0	0.335822	0.0329137	0	2.53	1	7.53375
0.936904	0.0630957	0	0.329966	0.0349325	0	2.53	1	7.66745
0.949881	0.0501187	0	0.325459	0.0365706	0	2.53	1	7.77365
0.960189	0.0398107	0	0.321965	0.0378928	0	2.53	1	7.85801
0.968377	0.0316228	0	0.319242	0.0389561	0	2.53	1	7.92501
0.974881	0.0251189	0	0.317113	0.0398088	0	2.53	1	7.97824
0.980047	0.0199526	0	0.315441	0.040491	0	2.53	1	8.02052
0.984151	0.0158489	0	0.314126	0.0410361	0	2.53	1	8.0541
0.987411	0.0125893	0	0.313089	0.041471	0	2.53	1	8.08078
0.99	0.01	0	0.31227	0.0418176	0	2.53	1	8.10197
0.992057	0.00794328	0	0.311622	0.0420937	0	2.53	1	8.1188
0.99369	0.00630957	0	0.31111	0.0423135	0	2.53	1	8.13217
0.994988	0.00501187	0	0.310704	0.0424884	0	2.53	1	8.14279
0.996019	0.00398107	0	0.310383	0.0426275	0	2.53	1	8.15123
0.996838	0.00316228	0	0.310128	0.0427382	0	2.53	1	8.15793
0.997488	0.00251189	0	0.309925	0.0428261	0	2.53	1	8.16325
0.998005	0.00199526	0	0.309765	0.042896	0	2.53	1	8.16748
0.998415	0.00158489	0	0.309638	0.0429516	0	2.53	1	8.17084
0.998741	0.00125893	0	0.309537	0.0429957	0	2.53	1	8.17351
0.999	0.001	0	0.309456	0.0430308	0	2.53	1	8.17563
1.00126	-0.00125893	0	0.308758	0.0433373	0	2.53	1	8.19411
1.00158	-0.00158489	0	0.308658	0.0433816	0	2.53	1	8.19678
1.002	-0.00199526	0	0.308531	0.0434374	0	2.53	1	8.20014
1.00251	-0.00251189	0	0.308372	0.0435076	0	2.53	1	8.20437
1.00316	-0.00316228	0	0.308172	0.0435961	0	2.53	1	8.20969
1.00398	-0.00398107	0	0.307921	0.0437077	0	2.53	1	8.21639
1.00501	-0.00501187	0	0.307605	0.0438482	0	2.53	1	8.22483
1.00631	-0.00630957	0	0.307209	0.0440254	0	2.53	1	8.23545
1.00794	-0.00794328	0	0.306711	0.0442488	0	2.53	1	8.24882
1.01	-0.01	0	0.306086	0.0445307	0	2.53	1	8.26565
1.01259	-0.0125893	0	0.305303	0.0448864	0	2.53	1	8.28684
1.01585	-0.0158489	0	0.304324	0.0453356	0	2.53	1	8.31351
1.01995	-0.0199526	0	0.303099	0.0459034	0	2.53	1	8.3471
1.02512	-0.0251189	0	0.301572	0.0466218	0	2.53	1	8.38938
1.03162	-0.0316228	0	0.299671	0.0475317	0	2.53	1	8.4426
1.03981	-0.0398107	0	0.297311	0.0486857	0	2.53	1	8.50961
1.05012	-0.0501187	0	0.294392	0.0501517	0	2.53	1	8.59397
1.0631	-0.0630957	0	0.290799	0.0520177	0	2.53	1	8.70017
1.07943	-0.0794328	0	0.286398	0.0543979	0	2.53	1	8.83387
1.1	-0.1	0	0.281043	0.0574412	0	2.53	1	9.00219
1.12589	-0.125893	0	0.274579	0.061342	0	2.53	1	9.21409
1.15849	-0.158489	0	0.266854	0.066354	0	2.53	1	9.48086
1.19953	-0.199526	0	0.257724	0.0728068	0	2.53	1	9.81669
1.25119	-0.251189	0	0.247083	0.0811248	0	2.53	1	10.2395
1.31623	-0.316228	0	0.234873	0.0918451	0	2.53	1	10.7718
1.39811	-0.398107	0	0.221118	0.105629	0	2.53	1	11.4418
1.50119	-0.501187	0	0.205935	0.123258	0	2.53	1	12.2854
1.63096	-0.630957	0	0.189549	0.145599	0	2.53	1	13.3474
1.79433	-0.794328	0	0.172291	0.17352	0	2.53	1	14.6844
2	-1	0	0.154573	0.207765	0	2.53	1	16.3676
