# Filename: 3Dvlt_macro_Tv_Op12_Cc0.80_lmax100_dl0.0001.dat
# Source: 3Dvlt_macro.c
# Source version: 10 (2012 Jul 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=1, OpB=2, A3=41.3417022403997549418, THETA=0.6, N=3, Cc=0.8, K0c=0.36362286558404, lmax=100, lsteps=1000000, (dl=0.0001), lpts=1000001, a0=1, a03=1, a06=1
# Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac'/a
1	1000000	0.99999998999999995	            1e-08	100.00000000219612	8.8748542383267025e+37	                0	-0.061972786024626705	2.4406754881389633e+38	9.0794982287490431e-06	                0	2.6881171477195552e+43	                1
2	1000000	0.99999998741074592	1.2589254117941661e-08	100.00000000219612	1.0359292396722197e+38	                0	-0.061972785149628652	2.8489111238006573e+38	1.0598165806194535e-05	                0	2.6881171477195552e+43	                1
3	1000000	0.99999998415106806	1.5848931924611143e-08	100.00000000219612	1.209202217444821e+38	                0	-0.061972784048071293	3.3254294840289341e+38	1.2370850306319567e-05	                0	2.6881171477195552e+43	                1
4	1000000	0.99999998004737689	1.9952623149688786e-08	100.00000000219612	1.4114573982226975e+38	                0	-0.061972782661293642	3.8816518532006485e+38	1.4440039774656471e-05	                0	2.6881171477195552e+43	                1
5	1000000	0.99999997488113568	2.5118864315095821e-08	100.00000000219612	1.6475425005541927e+38	                0	-0.061972780915442623	4.5309099484807219e+38	1.685532921184066e-05	                0	2.6881171477195552e+43	                1
6	1000000	0.99999996837722338	3.1622776601683792e-08	100.00000000219612	1.9231158272218044e+38	                0	-0.061972778717548596	5.2887646746820805e+38	1.9674606365904721e-05	                0	2.6881171477195552e+43	                1
7	1000000	0.99999996018928294	3.981071705534969e-08	100.00000000219612	2.2447825364270098e+38	                0	-0.061972775950563892	6.1733808831166452e+38	2.2965445863673718e-05	                0	2.6881171477195552e+43	                1
8	1000000	0.99999994988127661	5.011872336272725e-08	100.00000000219612	2.6202523341898374e+38	                0	-0.061972772467137678	7.2059610405895797e+38	2.6806722492368704e-05	                0	2.6881171477195552e+43	                1
9	1000000	0.99999993690426559	6.3095734448019296e-08	100.00000000219612	3.0585243971273461e+38	                0	-0.06197276808176632	8.4112537841507643e+38	3.1290503061915997e-05	                0	2.6881171477195552e+43	                1
10	1000000	0.99999992056717657	7.943282347242822e-08	100.00000000219612	3.5701033809763895e+38	                0	-0.061972762560913858	9.8181479639868209e+38	3.6524256289633712e-05	                0	2.6881171477195552e+43	                1
11	1000000	0.99999990000000005	9.9999999999999995e-08	100.00000000219612	4.1672507260696954e+38	                0	-0.061972755610576039	1.1460363755319153e+39	4.2633423788994724e-05	                0	2.6881171477195552e+43	                1
12	1000000	0.99999987410745883	1.2589254117941662e-07	100.00000000219612	4.8642789994747578e+38	                0	-0.061972746860626392	1.3377262123726609e+39	4.9764431342120306e-05	                0	2.6881171477195552e+43	                1
13	1000000	0.99999984151068078	1.5848931924611141e-07	100.00000000219612	5.6778945027781207e+38	                0	-0.061972735845102413	1.5614787023288051e+39	5.8088193948447312e-05	                0	2.6881171477195552e+43	                1
14	1000000	0.99999980047376846	1.9952623149688787e-07	100.00000000219612	6.6275980739141547e+38	                0	-0.061972721977397491	1.8226567630419605e+39	6.7804216218336994e-05	                0	2.6881171477195552e+43	                1
15	1000000	0.99999974881135689	2.5118864315095823e-07	100.00000000219612	7.7361523172880742e+38	                0	-0.061972704519018013	2.1275203256618355e+39	7.9145372346093698e-05	                0	2.6881171477195552e+43	                1
16	1000000	0.99999968377223403	3.1622776601683792e-07	100.00000000219612	9.030127103636128e+38	                0	-0.061972682540259602	2.483376350262047e+39	9.2383486797396514e-05	                0	2.6881171477195552e+43	                1
17	1000000	0.99999960189282944	3.9810717055349692e-07	100.00000000219612	1.05405365467616e+39	                0	-0.061972654870709104	2.8987539971031608e+39	0.00010783585081335824	                0	2.6881171477195552e+43	                1
18	1000000	0.9999994988127664	5.011872336272725e-07	100.00000000219612	1.2303582370870985e+39	                0	-0.061972620036908309	3.383609054593125e+39	0.00012587282728595314	                0	2.6881171477195552e+43	                1
19	1000000	0.99999936904265552	6.3095734448019296e-07	100.00000000219612	1.4361521341320478e+39	                0	-0.061972576183909514	3.9495624833015043e+39	0.00014692672477656293	                0	2.6881171477195552e+43	                1
