# Filename: 3Dvlt_macro_Tv_Op12_Cc0.30_lmax100_dl0.0001.dat
# Source: 3Dvlt_macro.c
# Source version: 10 (2012 Jul 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=1, OpB=2, A3=41.3417022403997549418, THETA=0.6, N=3, Cc=0.3, K0c=0.701090942066515, lmax=100, lsteps=1000000, (dl=0.0001), lpts=1000001, a0=1, a03=1, a06=1
# Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac'/a
1	1000000	0.99999998999999995	            1e-08	100.00000000219612	9.9325261013670979e+37	                0	-0.094150855757266547	1.4167243371829927e+38	5.2703221598242492e-06	                0	2.6881171477195552e+43	                1
2	1000000	0.99999998741074592	1.2589254117941661e-08	100.00000000219612	1.1593873281364905e+38	                0	-0.094150854644114698	1.6536903331303819e+38	6.1518536665460362e-06	                0	2.6881171477195552e+43	                1
3	1000000	0.99999998415106806	1.5848931924611143e-08	100.00000000219612	1.3533103268835792e+38	                0	-0.094150853242735172	1.9302920979781568e+38	7.1808332446214484e-06	                0	2.6881171477195552e+43	                1
4	1000000	0.99999998004737689	1.9952623149688786e-08	100.00000000219612	1.5796695356537523e+38	                0	-0.094150851478507727	2.2531591971207239e+38	8.381923380951516e-06	                0	2.6881171477195552e+43	                1
5	1000000	0.99999997488113568	2.5118864315095821e-08	100.00000000219612	1.843890372559328e+38	                0	-0.094150849257474356	2.6300301652848326e+38	9.7839120125995973e-06	                0	2.6881171477195552e+43	                1
6	1000000	0.99999996837722338	3.1622776601683792e-08	100.00000000219612	2.1523055418286e+38	                0	-0.094150846461358934	3.0699376423587073e+38	1.1420401246140135e-05	                0	2.6881171477195552e+43	                1
7	1000000	0.99999996018928294	3.981071705534969e-08	100.00000000219612	2.5123071899316333e+38	                0	-0.094150842941262469	3.5834254005759646e+38	1.3330614715269895e-05	                0	2.6881171477195552e+43	                1
8	1000000	0.99999994988127661	5.011872336272725e-08	100.00000000219612	2.9325242101887241e+38	                0	-0.094150838509723334	4.1828012419765854e+38	1.5560338378574889e-05	                0	2.6881171477195552e+43	                1
9	1000000	0.99999993690426559	6.3095734448019296e-08	100.00000000219612	3.4230278488751759e+38	                0	-0.094150832930749592	4.8824302633365989e+38	1.8163011487347466e-05	                0	2.6881171477195552e+43	                1
10	1000000	0.99999992056717657	7.943282347242822e-08	100.00000000219612	3.995574910785268e+38	                0	-0.09415082590723918	5.6990817505475569e+38	2.1201017059030823e-05	                0	2.6881171477195552e+43	                1
11	1000000	0.99999990000000005	9.9999999999999995e-08	100.00000000219612	4.6638880509241367e+38	                0	-0.09415081706517249	6.6523289700308959e+38	2.4747169131651689e-05	                0	2.6881171477195552e+43	                1
12	1000000	0.99999987410745883	1.2589254117941662e-07	100.00000000219612	5.4439855986775182e+38	                0	-0.094150805933677501	7.7650196096868767e+38	2.8886462839888792e-05	                0	2.6881171477195552e+43	                1
13	1000000	0.99999984151068078	1.5848931924611141e-07	100.00000000219612	6.3545648536239225e+38	                0	-0.094150791919971749	9.0638224875117302e+38	3.3718108212660889e-05	                0	2.6881171477195552e+43	                1
14	1000000	0.99999980047376846	1.9952623149688787e-07	100.00000000219612	7.4174506905069551e+38	                0	-0.094150774277779764	1.0579867411590734e+39	3.9357910500909859e-05	                0	2.6881171477195552e+43	                1
15	1000000	0.99999974881135689	2.5118864315095823e-07	100.00000000219612	8.6581184704184935e+38	                0	-0.094150752067616375	1.2349491023342922e+39	4.5941044771131063e-05	                0	2.6881171477195552e+43	                1
16	1000000	0.99999968377223403	3.1622776601683792e-07	100.00000000219612	1.0106304579748674e+39	                0	-0.094150724106730616	1.4415107623649388e+39	5.3625295444725463e-05	                0	2.6881171477195552e+43	                1
17	1000000	0.99999960189282944	3.9810717055349692e-07	100.00000000219612	1.1796719576689986e+39	                0	-0.094150688906151581	1.6826226345985417e+39	6.2594840259323604e-05	                0	2.6881171477195552e+43	                1
18	1000000	0.9999994988127664	5.011872336272725e-07	100.00000000219612	1.3769879275869344e+39	                0	-0.094150644591383198	1.9640636539952957e+39	7.3064659985577451e-05	                0	2.6881171477195552e+43	                1
19	1000000	0.99999936904265552	6.3095734448019296e-07	100.00000000219612	1.6073076885038175e+39	                0	-0.094150588802607668	2.2925794328815263e+39	8.5285696526523017e-05	                0	2.6881171477195552e+43	                1
20	1000000	0.99999920567176526	7.943282347242822e-07	100.00000000219612	1.8761515902615045e+39	                0	-0.094150518569028313	2.6760438445421049e+39	9.9550863949969868e-05	                0	2.6881171477195552e+43	                1
21	1000000	0.99999899999999997	9.9999999999999995e-07	100.00000000219612	2.1899633485027239e+39	                0	-0.094150430150709036	3.1236477711212607e+39	0.00011620207005379898	                0	2.6881171477195552e+43	                1
22	1000000	0.99999874107458819	1.2589254117941661e-06	100.00000000219612	2.5562645069715025e+39	                0	-0.094150318839437752	3.6461194054089387e+39	0.00013563841175977387	                0	2.6881171477195552e+43	                1
23	1000000	0.99999841510680754	1.5848931924611141e-06	100.00000000219612	2.9838347073479689e+39	                0	-0.094150178708091836	4.2559813559901426e+39	0.00015832573962041324	                0	2.6881171477195552e+43	                1
24	1000000	0.99999800473768508	1.9952623149688829e-06	100.00000000219612	3.4829221515214964e+39	                0	-0.094150002295119994	4.9678508067898332e+39	0.00018480782398208625	                0	2.6881171477195552e+43	                1
25	1000000	0.99999748811356848	2.5118864315095823e-06	100.00000000219612	4.0654892601195662e+39	                0	-0.094149780207345962	5.7987898632507911e+39	0.00021571938812897919	                0	2.6881171477195552e+43	                1
26	1000000	0.99999683772233983	3.1622776601683792e-06	100.00000000219612	4.7454994235204832e+39	                0	-0.094149500620068216	6.768714487946482e+39	0.0002518013209985537	                0	2.6881171477195552e+43	                1
27	1000000	0.99999601892829448	3.9810717055349691e-06	100.00000000219612	5.5392517313595419e+39	                0	-0.094149148647781372	7.9008718367890086e+39	0.00029391843445110476	                0	2.6881171477195552e+43	                1
28	1000000	0.99999498812766374	5.011872336272725e-06	100.00000000219612	6.4657717199967452e+39	                0	-0.094148705552151213	9.2223974472072116e+39	0.00034308019109327006	                0	2.6881171477195552e+43	                1
29	1000000	0.99999369042655517	6.3095734448019432e-06	100.00000000219612	7.5472675231544477e+39	                0	-0.094148147745212671	1.0764965641789261e+40	0.00040046489978763173	                0	2.6881171477195552e+43	                1
30	1000000	0.99999205671765279	7.9432823472428217e-06	100.00000000219612	8.8096623178486489e+39	                0	-0.094147445534849605	1.2565548649432806e+40	0.00046744795553619006	                0	2.6881171477195552e+43	                1
31	1000000	0.99999000000000005	1.0000000000000001e-05	100.00000000219612	1.0283215941599991e+40	                0	-0.094146561546142135	1.466730275979657e+40	0.00054563480509915545	                0	2.6881171477195552e+43	                1
32	1000000	0.99998741074588204	1.2589254117941661e-05	100.00000000219612	1.2003250572359107e+40	                0	-0.094145448734908321	1.7120602678173853e+40	0.00063689942578201968	                0	2.6881171477195552e+43	                1
