#P	K0c	Tc	rho	a0	a0/a00
             0.05	0.295611433115442	 2.17300271066042	 146.077055821082	 2.41419214384096	                1
            1.646	0.303870330660806	 2.15700019025503	 149.009848437774	 2.41488166042757	 1.00028560965554
            7.328	0.335617836037364	 2.09499793808693	    157.753216553	 2.44693680880821	 1.01356340465724
           15.031	0.385625265795951	 1.99798433257745	  166.47465038059	 2.54086617639469	 1.05247056779507
            18.18	0.408889237394402	 1.95395010659649	 169.426263231344	 2.58887309093402	  1.0723558593042
           22.533	0.444331744979223	 1.88890119622401	 173.183656798121	  2.6606149234328	 1.10207256295672
           25.868	0.474486704164683	 1.83582138205232	 175.845978183689	 2.71953326686966	 1.12647755639818
