# Filename: FitPdep_Tc.dat
# data from  Ahlers_1973_HeThermoScalingUniversality.pdf
#    and     ... ?



# Old Version:
#T_lambda (K)	P (bar)
#2.157	1.646
#2.095	7.328
#1.998	15.031
#1.954	18.180
#1.889	22.533
#1.836	25.868



P (bar)	P (atm=bar/1.01325)	Tc
0.050	0.050/1.01325	?????  2.172  ???
1.646	1.646/1.01325	2.157
7.328	7.328/1.01325	2.095
15.031	15.031/1.01325	1.998
18.180	18.180/1.01325	1.954
22.533	22.533/1.01325	1.889
25.868	25.868/1.01325	1.836

P (bar=atm*1.01325)	P (atm)	Tc
0.0*1.01325	0.0	
1.0*1.01325	1.0	
5.0*1.01325	5.0	
10.0*1.01325	10.0	
15.0*1.01325	15.0	
20.0*1.01325	20.0	
24.0*1.01325	24.0	

P (bar=atm*1.01325)	P (atm)	Tc
0.0*1.01325	0.0	
2.5*1.01325	2.5	
5.0*1.01325	5.0	
7.5*1.01325	7.5	
10.0*1.01325	10.0	
12.5*1.01325	12.5	
15.0*1.01325	15.0	
17.5*1.01325	17.5	
20.0*1.01325	20.0	
22.5*1.01325	22.5	
25.0*1.01325	25.0	

P (bar)	P (atm=bar/1.01325)	Tc
0.05	0.05	
7.27	7.27	
12.13	12.13	
18.06	18.06	
24.10	24.10	
29.09	29.09	
