#P	a0	a0/a00
             0.05	  3.4488459197728	                1
            1.646	 3.44983094346796	 1.00028560965554
            7.328	 3.49562401258316	 1.01356340465724
           15.031	 3.62980882342099	 1.05247056779507
            18.18	 3.69839012990574	  1.0723558593042
           22.533	 3.80087846204685	 1.10207256295672
           25.868	 3.88504752409952	 1.12647755639818
