# Filename: vlt_FPquench_vsl_T_1_0.1_P_00.050_lmax10_dl0.008_tmax10000_dt01e-12.dat
# Source: vlt_FPquench.c
# Source version: 1 (2011 Jan 18)
# Parameter values: iTfrac=1, qTfrac=0.1, P=0.05 (Cc=1.10502, K0c=0.295611), lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, tmax=10000, dt0=1e-12, a0=1, a06=1, THETA=0.6, CONST=1

# time step n = 0	t = 0.000000e+00	(dt = 1.000000e-12)
# T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G
1	0	3.8	11.158	37.7454	0.844393	1.29885e-58
1	0	3.84	11.6133	39.2858	0.844393	7.15418e-60
1	0	3.88	12.0873	40.8891	0.844393	3.91654e-61
1	0	3.92	12.5806	42.5578	0.844393	2.14021e-62
1	0	3.96	13.094	44.2946	0.844393	1.17287e-63
1	0	4	13.6284	46.1023	0.844393	6.47848e-65
1	0	4.04	14.1845	47.9838	0.844393	3.6266e-66
1	0	4.08	14.7634	49.942	0.844393	2.06962e-67
1	0	4.12	15.3659	51.9802	0.844393	1.21172e-68
1	0	4.16	15.993	54.1015	0.844393	7.32849e-70
1	0	4.2	16.6457	56.3095	0.844393	4.61237e-71
1	0	4.24	17.325	58.6075	0.844393	3.04489e-72
1	0	4.28	18.0321	60.9993	0.844393	2.12644e-73
1	0	4.32	18.768	63.4887	0.844393	1.58539e-74
1	0	4.36	19.5339	66.0798	0.844393	1.27429e-75
1	0	4.4	20.3311	68.7765	0.844393	1.11586e-76
1	0	4.44	21.1609	71.5834	0.844393	1.07655e-77
1	0	4.48	22.0245	74.5047	0.844393	1.15812e-78
1	0	4.52	22.9233	77.5453	0.844393	1.40714e-79
1	0	4.56	23.8588	80.71	0.844393	1.95764e-80
1	0	4.6	24.8325	84.0038	0.844393	3.16437e-81
1	0	4.64	25.8459	87.4321	0.844393	6.03612e-82
1	0	4.68	26.9007	91.0003	0.844393	1.38149e-82
1	0	4.72	27.9986	94.7141	0.844393	3.86125e-83
1	0	4.76	29.1412	98.5794	0.844393	1.34293e-83
1	0	4.8	30.3305	102.603	0.844393	5.92922e-84
1	0	4.84	31.5683	106.79	0.844393	3.3946e-84
1	0	4.88	32.8566	111.148	0.844393	2.57767e-84
1	0	4.92	34.1975	115.684	0.844393	2.65905e-84
1	0	4.96	35.5932	120.405	0.844393	3.8225e-84
1	0	5	37.0457	125.319	0.844393	7.8673e-84
1	0	5.04	38.5576	130.433	0.844393	2.38566e-83
1	0	5.08	40.1312	135.756	0.844393	1.09868e-82
1	0	5.12	41.7689	141.297	0.844393	7.93498e-82
1	0	5.16	43.4736	147.063	0.844393	9.29618e-81
1	0	5.2	45.2478	153.065	0.844393	1.83045e-79
1	0	5.24	47.0944	159.312	0.844393	6.28653e-78
1	0	5.28	49.0163	165.813	0.844393	3.91375e-76
1	0	5.32	51.0167	172.58	0.844393	4.59582e-74
1	0	5.36	53.0987	179.623	0.844393	1.06019e-71
1	0	5.4	55.2657	186.954	0.844393	5.00673e-69
1	0	5.44	57.5212	194.584	0.844393	5.04479e-66
1	0	5.48	59.8687	202.525	0.844393	1.12999e-62
1	0	5.52	62.3119	210.79	0.844393	5.85772e-59
1	0	5.56	64.8549	219.393	0.844393	7.30703e-55
1	0	5.6	67.5017	228.346	0.844393	2.27671e-50
1	0	5.64	70.2565	237.665	0.844393	1.83538e-45
1	0	5.68	73.1238	247.364	0.844393	3.95602e-40
1	0	5.72	76.108	257.46	0.844393	2.34983e-34
1	0	5.76	79.214	267.967	0.844393	3.95368e-28
1	0	5.8	82.4452	278.897	0.844377	1.93134e-21
1	0	5.84	19.4326	65.7368	0.191218	2.82855e-17
1	0	5.88	13.0148	44.0267	0.123045	1.64992e-18
1	0	5.92	13.1985	44.648	0.119889	9.0628e-20
1	0	5.96	13.7115	46.3835	0.119665	5.01503e-21
1	0	6	14.2691	48.2699	0.119649	2.81438e-22
1	0	6.04	14.8513	50.2393	0.119648	1.61155e-23
1	0	6.08	15.4574	52.2895	0.119648	9.47669e-25
1	0	6.12	16.0882	54.4235	0.119648	5.7627e-26
1	0	6.16	16.7448	56.6446	0.119648	3.6508e-27
1	0	6.2	17.4282	58.9563	0.119648	2.42896e-28
1	0	6.24	18.1394	61.3623	0.119648	1.71182e-29
1	0	6.28	18.8797	63.8666	0.119648	1.28976e-30
1	0	6.32	19.6502	66.473	0.119648	1.04922e-31
1	0	6.36	20.4521	69.1859	0.119648	9.31395e-33
1	0	6.4	21.2868	72.0094	0.119648	9.12505e-34
1	0	6.44	22.1555	74.9481	0.119648	9.98701e-35
1	0	6.48	23.0597	78.0068	0.119648	1.23697e-35
1	0	6.52	24.0008	81.1903	0.119648	1.75797e-36
1	0	6.56	24.9803	84.5038	0.119648	2.90935e-37
1	0	6.6	25.9998	87.9525	0.119648	5.69558e-38
1	0	6.64	27.0608	91.5419	0.119648	1.34124e-38
1	0	6.68	28.1652	95.2778	0.119648	3.86761e-39
1	0	6.72	29.3146	99.1661	0.119648	1.3918e-39
1	0	6.76	30.511	103.213	0.119648	6.37775e-40
1	0	6.8	31.7562	107.425	0.119648	3.80206e-40
1	0	6.84	33.0522	111.809	0.119648	3.01663e-40
1	0	6.88	34.401	116.373	0.119648	3.26353e-40
1	0	6.92	35.805	121.122	0.119648	4.93935e-40
1	0	6.96	37.2662	126.065	0.119648	1.07476e-39
1	0	7	38.7871	131.21	0.119648	3.46071e-39
1	0	7.04	40.37	136.564	0.119648	1.70028e-38
1	0	7.08	42.0175	142.138	0.119648	1.31647e-37
1	0	7.12	43.7323	147.938	0.119648	1.662e-36
1	0	7.16	45.517	153.976	0.119648	3.54561e-35
1	0	7.2	47.3746	160.26	0.119648	1.32677e-33
1	0	7.24	49.308	166.8	0.119648	9.05225e-32
1	0	7.28	51.3203	173.607	0.119648	1.17194e-29
