# Filename: vlt_ThermStates_lmax100_A_Cc0.10.dat
# Source: vlt_ThermStates.c
# Source version: 6 (2011 Mar 17 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=82.6834044807995098836, THETA=0.6
# Parameter values: N=3, Kthresh=5, dl=0.0001, lmax=100
T/Tc	1-T/Tc	l	K	y	e	Kr	Kr/K0
1	1e-08	0	5.00099	0.00718489	0	5.00099	1
1	1.25893e-08	0	5.00099	0.00718489	0	5.00099	1
1	1.58489e-08	0	5.00099	0.00718489	0	5.00099	1
1	1.99526e-08	0	5.00099	0.00718489	0	5.00099	1
1	2.51189e-08	0	5.00099	0.00718489	0	5.00099	1
1	3.16228e-08	0	5.00099	0.00718489	0	5.00099	1
1	3.98107e-08	0	5.00099	0.00718489	0	5.00099	1
1	5.01187e-08	0	5.00099	0.00718489	0	5.00099	1
1	6.30957e-08	0	5.00099	0.00718489	0	5.00099	1
1	7.94328e-08	0	5.00099	0.00718489	0	5.00099	1
1	1e-07	0	5.00099	0.00718489	0	5.00099	1
1	1.25893e-07	0	5.00099	0.00718489	0	5.00099	1
1	1.58489e-07	0	5.00099	0.00718488	0	5.00099	1
1	1.99526e-07	0	5.00099	0.00718488	0	5.00099	1
1	2.51189e-07	0	5.00099	0.00718488	0	5.00099	1
1	3.16228e-07	0	5.00099	0.00718488	0	5.00099	1
1	3.98107e-07	0	5.00099	0.00718488	0	5.00099	1
0.999999	5.01187e-07	0	5.00099	0.00718487	0	5.00099	1
0.999999	6.30957e-07	0	5.00099	0.00718487	0	5.00099	1
0.999999	7.94328e-07	0	5.00099	0.00718486	0	5.00099	1
0.999999	1e-06	0	5.00099	0.00718485	0	5.00099	1
0.999999	1.25893e-06	0	5.00099	0.00718485	0	5.00099	1
0.999998	1.58489e-06	0	5.00099	0.00718483	0	5.00099	1
0.999998	1.99526e-06	0	5.001	0.00718482	0	5.001	1
0.999997	2.51189e-06	0	5.001	0.0071848	0	5.001	1
0.999997	3.16228e-06	0	5.001	0.00718478	0	5.001	1
0.999996	3.98107e-06	0	5.00101	0.00718475	0	5.00101	1
0.999995	5.01187e-06	0	5.00101	0.00718471	0	5.00101	1
0.999994	6.30957e-06	0	5.00102	0.00718467	0	5.00102	1
0.999992	7.94328e-06	0	5.00103	0.00718461	0	5.00103	1
0.99999	1e-05	0	5.00104	0.00718454	0	5.00104	1
0.999987	1.25893e-05	0	5.00105	0.00718444	0	5.00105	1
0.999984	1.58489e-05	0	5.00107	0.00718433	0	5.00107	1
0.99998	1.99526e-05	0	5.00109	0.00718418	0	5.00109	1
0.999975	2.51189e-05	0	5.00111	0.007184	0	5.00111	1
0.999968	3.16228e-05	0	5.00114	0.00718377	0	5.00114	1
0.99996	3.98107e-05	0	5.00118	0.00718348	0	5.00118	1
0.99995	5.01187e-05	0	5.00124	0.00718311	0	5.00124	1
0.999937	6.30957e-05	0	5.0013	0.00718265	0	5.0013	1
0.999921	7.94328e-05	0	5.00138	0.00718207	0	5.00138	1
0.9999	0.0001	0	5.00149	0.00718134	0	5.00149	1
0.999874	0.000125893	0	5.00162	0.00718043	0	5.00162	1
0.999842	0.000158489	0	5.00178	0.00717927	0	5.00178	1
0.9998	0.000199526	0	5.00198	0.00717782	0	5.00198	1
0.999749	0.000251189	0	5.00224	0.00717599	0	5.00224	1
0.999684	0.000316228	0	5.00257	0.00717368	0	5.00257	1
0.999602	0.000398107	0	5.00298	0.00717078	0	5.00298	1
0.999499	0.000501187	0	5.00349	0.00716713	0	5.00349	1
0.999369	0.000630957	0	5.00414	0.00716253	0	5.00414	1
0.999206	0.000794328	0	5.00496	0.00715675	0	5.00496	1
0.999	0.001	0	5.00599	0.00714948	0	5.00599	1
0.998741	0.00125893	0	5.00729	0.00714033	0	5.00729	1
0.998415	0.00158489	0	5.00892	0.00712882	0	5.00892	1
0.998005	0.00199526	0	5.01098	0.00711434	0	5.01098	1
0.997488	0.00251189	0	5.01358	0.00709614	0	5.01358	1
0.996838	0.00316228	0	5.01685	0.00707327	0	5.01685	1
0.996019	0.00398107	0	5.02097	0.00704453	0	5.02097	1
0.994988	0.00501187	0	5.02618	0.00700846	0	5.02618	1
0.99369	0.00630957	0	5.03274	0.0069632	0	5.03274	1
0.992057	0.00794328	0	5.04103	0.00690648	0	5.04103	1
