# Filename: 3Dvlt_macro_Tv_Op12_Cc0.20_lmax100_dl1e-05.dat
# Source: 3Dvlt_macro.c
# Source version: 10 (2012 Jul 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, A3=41.3417022403997549418, THETA=0.6
# Parameter values: OpA=1, OpB=2, N=3, Cc=0.2, K0c=0.934654978121805, lmax=100, lsteps=10000000, (dl=1e-05), lpts=10000001, a0=1, a03=1, a06=1
Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac'/a
47	10000000	0.999602	0.000398107	100	1.23879e+41	0	-0.105143	1.32487e+41	0.00492864	0	2.68812e+43	1
48	10000000	0.999499	0.000501187	100	1.44616e+41	0	-0.105098	1.54649e+41	0.00575305	0	2.68812e+43	1
49	10000000	0.999369	0.000630957	100	1.68828e+41	0	-0.10504	1.80517e+41	0.00671537	0	2.68812e+43	1
50	10000000	0.999206	0.000794328	100	1.971e+41	0	-0.104968	2.10713e+41	0.00783867	0	2.68812e+43	1
51	10000000	0.999	0.001	100	2.30118e+41	0	-0.104878	2.4596e+41	0.0091499	0	2.68812e+43	1
52	10000000	0.998741	0.00125893	100	2.68682e+41	0	-0.104764	2.87104e+41	0.0106805	0	2.68812e+43	1
53	10000000	0.998415	0.00158489	100	3.13731e+41	0	-0.104621	3.35133e+41	0.0124672	0	2.68812e+43	1
54	10000000	0.998005	0.00199526	100	3.66367e+41	0	-0.104443	3.91199e+41	0.0145529	0	2.68812e+43	1
55	10000000	0.997488	0.00251189	100	4.27883e+41	0	-0.104219	4.56648e+41	0.0169876	0	2.68812e+43	1
56	10000000	0.996838	0.00316228	100	4.99801e+41	0	-0.103939	5.33053e+41	0.01983	0	2.68812e+43	1
57	10000000	0.996019	0.00398107	100	5.83915e+41	0	-0.103588	6.22251e+41	0.0231482	0	2.68812e+43	1
58	10000000	0.994988	0.00501187	100	6.82345e+41	0	-0.103151	7.26391e+41	0.0270223	0	2.68812e+43	1
59	10000000	0.99369	0.00630957	100	7.97606e+41	0	-0.102606	8.47985e+41	0.0315457	0	2.68812e+43	1
60	10000000	0.992057	0.00794328	100	9.32691e+41	0	-0.101928	9.89972e+41	0.0368277	0	2.68812e+43	1
