# Filename: 3Dvlt_macro_Tv_Op12_Cc1.00_lmax100_dl1e-05.dat
# Source: 3Dvlt_macro.c
# Source version: 10 (2012 Jul 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, A3=41.3417022403997549418, THETA=0.6
# Parameter values: OpA=1, OpB=2, N=3, Cc=1, K0c=0.315036006898573, lmax=100, lsteps=10000000, (dl=1e-05), lpts=10000001, a0=1, a03=1, a06=1
Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac'/a
32	10000000	0.999987	1.25893e-05	100	1.0285e+40	0	-0.0542458	3.26466e+40	0.00121448	0	2.68812e+43	1
33	10000000	0.999984	1.58489e-05	100	1.20053e+40	0	-0.0542448	3.81071e+40	0.00141761	0	2.68812e+43	1
34	10000000	0.99998	1.99526e-05	100	1.40134e+40	0	-0.0542435	4.4481e+40	0.00165473	0	2.68812e+43	1
35	10000000	0.999975	2.51189e-05	100	1.63573e+40	0	-0.0542419	5.19209e+40	0.0019315	0	2.68812e+43	1
36	10000000	0.999968	3.16228e-05	100	1.90934e+40	0	-0.0542399	6.06051e+40	0.00225456	0	2.68812e+43	1
37	10000000	0.99996	3.98107e-05	100	2.22871e+40	0	-0.0542374	7.07418e+40	0.00263165	0	2.68812e+43	1
38	10000000	0.99995	5.01187e-05	100	2.6015e+40	0	-0.0542342	8.25739e+40	0.00307181	0	2.68812e+43	1
39	10000000	0.999937	6.30957e-05	100	3.03666e+40	0	-0.0542302	9.63848e+40	0.00358559	0	2.68812e+43	1
40	10000000	0.999921	7.94328e-05	100	3.54461e+40	0	-0.0542252	1.12505e+41	0.00418529	0	2.68812e+43	1
41	10000000	0.9999	0.0001	100	4.13753e+40	0	-0.0542188	1.31322e+41	0.00488528	0	2.68812e+43	1
42	10000000	0.999874	0.000125893	100	4.82965e+40	0	-0.0542108	1.53285e+41	0.00570233	0	2.68812e+43	1
43	10000000	0.999842	0.000158489	100	5.63756e+40	0	-0.0542008	1.78921e+41	0.006656	0	2.68812e+43	1
44	10000000	0.9998	0.000199526	100	6.58064e+40	0	-0.0541882	2.08844e+41	0.00776914	0	2.68812e+43	1
45	10000000	0.999749	0.000251189	100	7.68152e+40	0	-0.0541723	2.43769e+41	0.00906838	0	2.68812e+43	1
46	10000000	0.999684	0.000316228	100	8.96664e+40	0	-0.0541523	2.84533e+41	0.0105848	0	2.68812e+43	1
47	10000000	0.999602	0.000398107	100	1.04668e+41	0	-0.0541271	3.3211e+41	0.0123547	0	2.68812e+43	1
48	10000000	0.999499	0.000501187	100	1.22181e+41	0	-0.0540955	3.87639e+41	0.0144204	0	2.68812e+43	1
