l	K	y

# DK0 = 2.5	(data set 1)
0	5	1.92404e-11

# DK0 = 0.0390625	(data set 2)
0	0.546875	0.0672916
0.0333	0.538272	0.0644013
0.0666	0.531257	0.0617568
0.0999	0.525593	0.0593169
0.1332	0.52109	0.057048
0.1665	0.517603	0.0549228
0.1998	0.515013	0.0529186
0.2331	0.513228	0.0510167
0.2664	0.512172	0.0492014
0.2997	0.511785	0.0474597
0.333	0.512016	0.0457806
0.3663	0.512828	0.0441547
0.3996	0.514188	0.0425744
0.4329	0.516073	0.0410332
0.4662	0.518464	0.0395256
0.4995	0.521345	0.0380472
0.5328	0.524709	0.0365944
0.5661	0.528549	0.0351643
0.5994	0.532862	0.0337546
0.6327	0.537649	0.0323639
0.666	0.542913	0.0309909
0.6993	0.548658	0.029635
0.7326	0.554894	0.0282961
0.7659	0.561629	0.0269743
0.7992	0.568876	0.0256702
0.8325	0.576648	0.0243848
0.8658	0.584961	0.023119
0.8991	0.593831	0.0218743
0.9324	0.603278	0.0206523
0.9657	0.613321	0.0194548
0.999	0.623983	0.0182835
1.0323	0.635286	0.0171404
1.0656	0.647254	0.0160275
1.0989	0.659914	0.0149469
1.1322	0.673292	0.0139005
1.1655	0.687415	0.0128902
1.1988	0.702312	0.0119177
1.2321	0.718014	0.0109848
1.2654	0.73455	0.0100929
1.2987	0.751951	0.00924313
1.332	0.77025	0.00843665
1.3653	0.789479	0.00767416
1.3986	0.809671	0.00695613
1.4319	0.830858	0.00628275
1.4652	0.853076	0.00565392
1.4985	0.876356	0.00506922
1.5318	0.900733	0.00452797
1.5651	0.926241	0.00402921
1.5984	0.952914	0.00357171
1.6317	0.980787	0.00315401
1.665	1.00989	0.00277445
1.6983	1.04027	0.00243119
1.7316	1.07194	0.00212224
1.7649	1.10495	0.00184551
1.7982	1.13934	0.00159884
1.8315	1.17513	0.00138001
1.8648	1.21237	0.0011868
1.8981	1.25109	0.00101703
1.9314	1.29132	0.000868554
1.9647	1.33311	0.000739291
1.998	1.3765	0.000627265
2.0313	1.42153	0.000530609
2.0646	1.46824	0.00044757
2.0979	1.51667	0.000376528
2.1312	1.56688	0.000315993
2.1645	1.61891	0.000264611
2.1978	1.67281	0.000221156
2.2311	1.72863	0.000184534
2.2644	1.78643	0.000153771
2.2977	1.84628	0.000128008
2.331	1.90822	0.000106493
2.3643	1.97232	8.85724e-05
2.3976	2.03865	7.36793e-05
2.4309	2.10727	6.13278e-05
2.4642	2.17826	5.11023e-05
2.4975	2.2517	4.26498e-05
2.5308	2.32766	3.56716e-05
2.5641	2.40622	2.99163e-05
2.5974	2.48746	2.51733e-05
2.6307	2.57148	2.1267e-05
2.664	2.65837	1.80511e-05
2.6973	2.74821	1.54049e-05
2.7306	2.84111	1.32284e-05
2.7639	2.93717	1.14397e-05
2.7972	3.03649	9.97145e-06
2.8305	3.13918	8.76888e-06
2.8638	3.24536	7.78753e-06
2.8971	3.35514	6.99163e-06
2.9304	3.46864	6.35269e-06
2.9637	3.58598	5.84848e-06
2.997	3.7073	5.46219e-06
3.0303	3.83273	5.18194e-06
3.0636	3.9624	5.0005e-06
3.0969	4.09645	4.91537e-06
3.1302	4.23504	4.92924e-06
3.1635	4.37832	5.05103e-06
3.1968	4.52643	5.2977e-06
3.2301	4.67953	5.69734e-06
3.2634	4.83779	6.29428e-06

# DK0 = 0.000610352	(data set 3)
0	0.494385	0.0871878
0.0333	0.482452	0.0846368
0.0666	0.472164	0.0824112
0.0999	0.463226	0.0804594
0.1332	0.455411	0.07874
0.1665	0.448539	0.0772193
0.1998	0.442466	0.0758698
0.2331	0.437075	0.0746686
0.2664	0.432272	0.0735967
0.2997	0.427976	0.072638
0.333	0.424122	0.0717791
0.3663	0.420655	0.0710083
0.3996	0.417528	0.0703158
0.4329	0.414699	0.0696929
0.4662	0.412136	0.0691323
0.4995	0.409807	0.0686276
0.5328	0.407687	0.0681731
0.5661	0.405754	0.0677639
0.5994	0.403987	0.0673957
0.6327	0.402369	0.0670647
0.666	0.400884	0.0667674
0.6993	0.39952	0.066501
0.7326	0.398263	0.0662628
0.7659	0.397102	0.0660503
0.7992	0.396029	0.0658616
0.8325	0.395034	0.0656948
0.8658	0.394109	0.0655482
0.8991	0.393247	0.0654202
0.9324	0.392442	0.0653097
