l	K	y

# DK0 = 2.5	(data set 1)
0	5	2.66237e-24

# DK0 = 0.0390625	(data set 2)
5.8608	1.44302e-13	1.17338e+12
5.8941	1.18168e-13	1.43288e+12
5.9274	9.67671e-14	1.74977e+12
5.9607	7.92421e-14	2.13675e+12
5.994	6.48909e-14	2.60931e+12

# DK0 = 0.000610352	(data set 3)
0	0.296631	0.0399394
0.0333	0.301595	0.0411681
0.0666	0.306404	0.0423584
0.0999	0.31105	0.043508
0.1332	0.315528	0.0446152
0.1665	0.319834	0.0456784
0.1998	0.323963	0.0466967
0.2331	0.327915	0.0476696
0.2664	0.331689	0.0485967
0.2997	0.335285	0.0494781
0.333	0.338705	0.0503143
0.3663	0.341951	0.0511058
0.3996	0.345027	0.0518535
0.4329	0.347935	0.0525584
0.4662	0.350682	0.0532218
0.4995	0.353271	0.053845
0.5328	0.355709	0.0544294
0.5661	0.358002	0.0549765
0.5994	0.360154	0.0554879
0.6327	0.362173	0.0559652
0.666	0.364065	0.0564101
0.6993	0.365836	0.056824
0.7326	0.367492	0.0572087
0.7659	0.36904	0.0575656
0.7992	0.370486	0.0578964
0.8325	0.371836	0.0582024
0.8658	0.373095	0.0584851
0.8991	0.37427	0.0587459
0.9324	0.375366	0.058986
0.9657	0.376388	0.0592068
0.999	0.377341	0.0594095
1.0323	0.37823	0.059595
1.0656	0.379059	0.0597646
1.0989	0.379832	0.0599191
1.1322	0.380555	0.0600596
1.1655	0.38123	0.0601868
1.1988	0.381861	0.0603017
1.2321	0.382453	0.0604049
1.2654	0.383007	0.0604971
1.2987	0.383527	0.0605791
1.332	0.384016	0.0606514
1.3653	0.384477	0.0607146
1.3986	0.384912	0.0607691
1.4319	0.385323	0.0608154
1.4652	0.385714	0.060854
1.4985	0.386085	0.0608852
1.5318	0.386439	0.0609093
1.5651	0.386778	0.0609268
1.5984	0.387104	0.0609378
1.6317	0.387417	0.0609425
1.665	0.387721	0.0609413
1.6983	0.388016	0.0609343
1.7316	0.388304	0.0609217
1.7649	0.388586	0.0609035
1.7982	0.388863	0.06088
1.8315	0.389137	0.0608511
1.8648	0.389409	0.0608169
1.8981	0.38968	0.0607776
1.9314	0.389951	0.060733
1.9647	0.390224	0.0606832
1.998	0.390498	0.0606283
2.0313	0.390776	0.0605681
2.0646	0.391058	0.0605025
2.0979	0.391346	0.0604316
2.1312	0.391639	0.0603553
2.1645	0.39194	0.0602734
2.1978	0.392249	0.0601857
2.2311	0.392568	0.0600923
