# Filename: vlt_FPquench_vsl_T_0.85_0.1_P_00.050_lmax1_dl0.0008_tmax10000_dt04e-09.dat
# Source: vlt_FPquench.c
# Source version: 1 (2011 Jan 18)
# Parameter values: iTfrac=0.85, qTfrac=0.1, P=0.05 (Cc=1.10502, K0c=0.295611), lmax=1, lsteps=1250, (dl=0.0008), lpts=1251, ldatamax=250, tmax=10000, dt0=4e-09, a0=1, a06=1, K0c=0.295611

# time step n = 0	t = 0.000000e+00	(dt = 4.000000e-09)
# T/Tc	1-T/Tc	l	K	K/K0	G
0.85	0.15	0.416	0.450897	1.29651	0.00178485
0.85	0.15	0.42	0.451974	1.2996	0.00173847
0.85	0.15	0.424	0.453053	1.30271	0.00169324
0.85	0.15	0.428	0.454135	1.30582	0.00164912
0.85	0.15	0.432	0.455219	1.30894	0.00160609
0.85	0.15	0.436	0.456306	1.31206	0.00156412
0.85	0.15	0.44	0.457396	1.31519	0.0015232
0.85	0.15	0.444	0.458489	1.31834	0.00148329
0.85	0.15	0.448	0.459584	1.32149	0.00144437
0.85	0.15	0.452	0.460682	1.32464	0.00140642
0.85	0.15	0.456	0.461783	1.32781	0.00136942
0.85	0.15	0.46	0.462886	1.33098	0.00133334
0.85	0.15	0.464	0.463993	1.33416	0.00129816
0.85	0.15	0.468	0.465102	1.33735	0.00126386
0.85	0.15	0.472	0.466215	1.34055	0.00123042
0.85	0.15	0.476	0.46733	1.34376	0.00119782
0.85	0.15	0.48	0.468449	1.34698	0.00116604
0.85	0.15	0.484	0.46957	1.3502	0.00113506
0.85	0.15	0.488	0.470695	1.35343	0.00110486
0.85	0.15	0.492	0.471823	1.35668	0.00107543
0.85	0.15	0.496	0.472954	1.35993	0.00104674
0.85	0.15	0.5	0.474088	1.36319	0.00101877
0.85	0.15	0.504	0.475225	1.36646	0.00099152
0.85	0.15	0.508	0.476366	1.36974	0.000964958
0.85	0.15	0.512	0.47751	1.37303	0.000939072
0.85	0.15	0.516	0.478657	1.37633	0.000913845
0.85	0.15	0.52	0.479808	1.37964	0.000889262
0.85	0.15	0.524	0.480963	1.38296	0.000865307
0.85	0.15	0.528	0.48212	1.38629	0.000841965
0.85	0.15	0.532	0.483282	1.38963	0.000819221
0.85	0.15	0.536	0.484447	1.39298	0.000797061
0.85	0.15	0.54	0.485615	1.39634	0.000775471
0.85	0.15	0.544	0.486787	1.39971	0.000754437
0.85	0.15	0.548	0.487963	1.40309	0.000733944
0.85	0.15	0.552	0.489142	1.40648	0.000713981
0.85	0.15	0.556	0.490326	1.40988	0.000694534
0.85	0.15	0.56	0.491513	1.41329	0.00067559
0.85	0.15	0.564	0.492704	1.41672	0.000657138
0.85	0.15	0.568	0.493899	1.42015	0.000639165
0.85	0.15	0.572	0.495097	1.4236	0.000621659
0.85	0.15	0.576	0.4963	1.42706	0.000604609
0.85	0.15	0.58	0.497507	1.43053	0.000588004
0.85	0.15	0.584	0.498718	1.43401	0.000571833
0.85	0.15	0.588	0.499933	1.43751	0.000556084
0.85	0.15	0.592	0.501152	1.44101	0.000540748
0.85	0.15	0.596	0.502375	1.44453	0.000525814
0.85	0.15	0.6	0.503603	1.44806	0.000511273
0.85	0.15	0.604	0.504835	1.4516	0.000497114
0.85	0.15	0.608	0.506071	1.45515	0.000483328
0.85	0.15	0.612	0.507311	1.45872	0.000469906
0.85	0.15	0.616	0.508556	1.4623	0.000456839
0.85	0.15	0.62	0.509805	1.46589	0.000444117
0.85	0.15	0.624	0.511059	1.4695	0.000431733
0.85	0.15	0.628	0.512318	1.47312	0.000419677
0.85	0.15	0.632	0.513581	1.47675	0.000407941
0.85	0.15	0.636	0.514848	1.48039	0.000396518
0.85	0.15	0.64	0.51612	1.48405	0.000385399
0.85	0.15	0.644	0.517397	1.48772	0.000374577
0.85	0.15	0.648	0.518679	1.49141	0.000364045
0.85	0.15	0.652	0.519966	1.49511	0.000353794
0.85	0.15	0.656	0.521257	1.49882	0.000343818
0.85	0.15	0.66	0.522553	1.50255	0.00033411
0.85	0.15	0.664	0.523855	1.50629	0.000324662
0.85	0.15	0.668	0.525161	1.51005	0.000315469
0.85	0.15	0.672	0.526472	1.51382	0.000306524
0.85	0.15	0.676	0.527789	1.5176	0.000297821
0.85	0.15	0.68	0.52911	1.5214	0.000289353
0.85	0.15	0.684	0.530437	1.52522	0.000281114
0.85	0.15	0.688	0.531769	1.52905	0.000273098
0.85	0.15	0.692	0.533106	1.53289	0.0002653
0.85	0.15	0.696	0.534449	1.53675	0.000257714
0.85	0.15	0.7	0.535797	1.54063	0.000250335
0.85	0.15	0.704	0.53715	1.54452	0.000243157
0.85	0.15	0.708	0.538509	1.54843	0.000236175
0.85	0.15	0.712	0.539873	1.55235	0.000229384
0.85	0.15	0.716	0.541243	1.55629	0.000222779
0.85	0.15	0.72	0.542619	1.56024	0.000216356
0.85	0.15	0.724	0.544	1.56422	0.000210108
0.85	0.15	0.728	0.545387	1.5682	0.000204033
0.85	0.15	0.732	0.54678	1.57221	0.000198125
0.85	0.15	0.736	0.548179	1.57623	0.00019238
0.85	0.15	0.74	0.549583	1.58027	0.000186793
0.85	0.15	0.744	0.550993	1.58432	0.000181362
0.85	0.15	0.748	0.55241	1.5884	0.00017608
0.85	0.15	0.752	0.553832	1.59249	0.000170946
0.85	0.15	0.756	0.555261	1.59659	0.000165954
0.85	0.15	0.76	0.556695	1.60072	0.0001611
0.85	0.15	0.764	0.558136	1.60486	0.000156383
0.85	0.15	0.768	0.559583	1.60902	0.000151796
0.85	0.15	0.772	0.561036	1.6132	0.000147338
0.85	0.15	0.776	0.562495	1.6174	0.000143005
0.85	0.15	0.78	0.563961	1.62161	0.000138793
0.85	0.15	0.784	0.565434	1.62585	0.0001347
0.85	0.15	0.788	0.566913	1.6301	0.000130721
0.85	0.15	0.792	0.568398	1.63437	0.000126855
0.85	0.15	0.796	0.56989	1.63866	0.000123098
0.85	0.15	0.8	0.571389	1.64297	0.000119446
0.85	0.15	0.804	0.572894	1.6473	0.000115898
0.85	0.15	0.808	0.574406	1.65164	0.000112451
0.85	0.15	0.812	0.575925	1.65601	0.000109101
0.85	0.15	0.816	0.57745	1.6604	0.000105846
0.85	0.15	0.82	0.578983	1.66481	0.000102684
0.85	0.15	0.824	0.580523	1.66923	9.9612e-05
0.85	0.15	0.828	0.582069	1.67368	9.66276e-05
0.85	0.15	0.832	0.583623	1.67815	9.37284e-05
0.85	0.15	0.836	0.585184	1.68263	9.09122e-05
0.85	0.15	0.84	0.586752	1.68714	8.81767e-05
0.85	0.15	0.844	0.588327	1.69167	8.55196e-05
0.85	0.15	0.848	0.589909	1.69622	8.2939e-05
0.85	0.15	0.852	0.591499	1.70079	8.04326e-05
0.85	0.15	0.856	0.593096	1.70539	7.79984e-05
0.85	0.15	0.86	0.594701	1.71	7.56345e-05
0.85	0.15	0.864	0.596313	1.71464	7.33389e-05
0.85	0.15	0.868	0.597933	1.71929	7.11097e-05
0.85	0.15	0.872	0.59956	1.72397	6.89452e-05
0.85	0.15	0.876	0.601195	1.72867	6.68435e-05
0.85	0.15	0.88	0.602838	1.7334	6.4803e-05
0.85	0.15	0.884	0.604488	1.73814	6.28218e-05
0.85	0.15	0.888	0.606147	1.74291	6.08984e-05
0.85	0.15	0.892	0.607813	1.7477	5.90312e-05
0.85	0.15	0.896	0.609487	1.75252	5.72187e-05
0.85	0.15	0.9	0.611169	1.75735	5.54592e-05
0.85	0.15	0.904	0.61286	1.76221	5.37513e-05
0.85	0.15	0.908	0.614558	1.7671	5.20936e-05
0.85	0.15	0.912	0.616264	1.772	5.04847e-05
0.85	0.15	0.916	0.617979	1.77694	4.89232e-05
0.85	0.15	0.92	0.619702	1.78189	4.74077e-05
0.85	0.15	0.924	0.621434	1.78687	4.59371e-05
0.85	0.15	0.928	0.623174	1.79187	4.451e-05
0.85	0.15	0.932	0.624922	1.7969	4.31252e-05
0.85	0.15	0.936	0.626679	1.80195	4.17815e-05
0.85	0.15	0.94	0.628444	1.80703	4.04778e-05
0.85	0.15	0.944	0.630218	1.81213	3.92128e-05
0.85	0.15	0.948	0.632001	1.81725	3.79857e-05
0.85	0.15	0.952	0.633792	1.8224	3.67951e-05
0.85	0.15	0.956	0.635593	1.82758	3.56402e-05
0.85	0.15	0.96	0.637402	1.83278	3.45199e-05
0.85	0.15	0.964	0.63922	1.83801	3.34331e-05
0.85	0.15	0.968	0.641047	1.84326	3.23791e-05
0.85	0.15	0.972	0.642883	1.84854	3.13567e-05
0.85	0.15	0.976	0.644728	1.85385	3.03652e-05
