# Filename: vlt_ThermStates_lmax100_D_Cc0.80.dat
# Source: vlt_ThermStates.c
# Source version: 6 (2011 Mar 17 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=20.6708511201998774709, THETA=0.6
# Parameter values: N=3, Kthresh=5, dl=0.0001, lmax=100
T/Tc	1-T/Tc	l	K	y	e	Kr	Kr/K0
1	1e-20	2.7556	5.0004	1.9944e-21	3.73453e-20	0.31788	0.874203
1	1.25893e-20	2.7556	5.0004	1.9944e-21	3.73453e-20	0.31788	0.874203
1	1.58489e-20	2.7556	5.0004	1.9944e-21	3.73453e-20	0.31788	0.874203
1	1.99526e-20	2.7556	5.0004	1.9944e-21	7.46907e-20	0.31788	0.874203
1	2.51189e-20	2.7556	5.0004	1.9944e-21	7.46907e-20	0.31788	0.874203
1	3.16228e-20	2.7556	5.0004	1.9944e-21	7.46907e-20	0.31788	0.874203
1	3.98107e-20	2.7556	5.0004	1.9944e-21	1.49381e-19	0.31788	0.874203
1	5.01187e-20	2.7556	5.0004	1.9944e-21	1.49381e-19	0.31788	0.874203
1	6.30957e-20	2.7556	5.0004	1.9944e-21	1.49381e-19	0.31788	0.874203
1	7.94328e-20	2.7556	5.0004	1.9944e-21	2.98763e-19	0.31788	0.874203
1	1e-19	2.7556	5.0004	1.9944e-21	2.98763e-19	0.31788	0.874203
1	1.25893e-19	2.7556	5.0004	1.9944e-21	2.98763e-19	0.31788	0.874203
1	1.58489e-19	2.7556	5.0004	1.9944e-21	5.97526e-19	0.31788	0.874203
1	1.99526e-19	2.7556	5.0004	1.9944e-21	5.97526e-19	0.31788	0.874203
1	2.51189e-19	2.7556	5.0004	1.9944e-21	5.97526e-19	0.31788	0.874203
1	3.16228e-19	2.7556	5.0004	1.9944e-21	1.19505e-18	0.31788	0.874203
1	3.98107e-19	2.7556	5.0004	1.9944e-21	1.19505e-18	0.31788	0.874203
1	5.01187e-19	2.7556	5.0004	1.9944e-21	1.19505e-18	0.31788	0.874203
1	6.30957e-19	2.7556	5.0004	1.9944e-21	2.3901e-18	0.31788	0.874203
1	7.94328e-19	2.7556	5.0004	1.9944e-21	2.3901e-18	0.31788	0.874203
1	1e-18	2.7556	5.0004	1.9944e-21	2.3901e-18	0.31788	0.874203
1	1.25893e-18	2.7556	5.0004	1.9944e-21	4.7802e-18	0.31788	0.874203
1	1.58489e-18	2.7556	5.0004	1.9944e-21	4.7802e-18	0.31788	0.874203
1	1.99526e-18	2.7556	5.0004	1.9944e-21	4.7802e-18	0.31788	0.874203
1	2.51189e-18	2.7556	5.0004	1.9944e-21	9.56041e-18	0.31788	0.874203
1	3.16228e-18	2.7556	5.0004	1.9944e-21	9.56041e-18	0.31788	0.874203
1	3.98107e-18	2.7556	5.0004	1.9944e-21	9.56041e-18	0.31788	0.874203
1	5.01187e-18	2.7556	5.0004	1.9944e-21	1.91208e-17	0.31788	0.874203
1	6.30957e-18	2.7556	5.0004	1.9944e-21	1.91208e-17	0.31788	0.874203
1	7.94328e-18	2.7556	5.0004	1.9944e-21	1.91208e-17	0.31788	0.874203
1	1e-17	2.7556	5.0004	1.9944e-21	3.82416e-17	0.31788	0.874203
1	1.25893e-17	2.7556	5.0004	1.9944e-21	3.82416e-17	0.31788	0.874203
1	1.58489e-17	2.7556	5.0004	1.9944e-21	3.82416e-17	0.31788	0.874203
1	1.99526e-17	2.7556	5.0004	1.9944e-21	7.64833e-17	0.31788	0.874203
1	2.51189e-17	2.7556	5.0004	1.9944e-21	7.64833e-17	0.31788	0.874203
1	3.16228e-17	2.7556	5.0004	1.9944e-21	7.64833e-17	0.31788	0.874203
1	3.98107e-17	2.7556	5.0004	1.9944e-21	1.52967e-16	0.31788	0.874203
1	5.01187e-17	2.7556	5.0004	1.9944e-21	1.52967e-16	0.31788	0.874203
