#from 3Dvlt_macro_cp_extra.c
# using normal settings (in 3Dvlt_K0cFind.c v9 Outputs 30,31,32, 3Dvlt_macro_noifthen.c, and fits from plots_macro/3D_12_Thesis)
# P (bar)	Cc	K0c
0.050	1.10500984397513	0.295613694950781
1.646	1.05819110517992	0.303871144015907
7.328	0.905919737570672	0.335618952610176
15.031	0.730687687879284	0.385638338959041
18.180	0.667832798147861	0.408941395856842
22.533	0.588282353648267	0.444473020755711
25.868	0.532636580468056	0.474695188872846
0.0*1.01325	1.1065072990556	0.295359326647132
1.0*1.01325	1.07652779539053	0.300565014930055
5.0*1.01325	0.963959199484873	0.322518421267623
10.0*1.01325	0.838309076200995	0.352800167009171
15.0*1.01325	0.727220201960104	0.386833525832305
20.0*1.01325	0.628709993233222	0.425447060826022
24.0*1.01325	0.557953810389714	0.46029776787616
0.0*1.01325	1.1065072990556	0.295359326647132
2.5*1.01325	1.03296893418528	0.308579936143945
5.0*1.01325	0.963959199484873	0.322518421267623
7.5*1.01325	0.8991719713233	0.337234755545476
10.0*1.01325	0.838309076200995	0.352800167009171
12.5*1.01325	0.781080759557833	0.369300160831013
15.0*1.01325	0.727220201960104	0.386833525832305
17.5*1.01325	0.676495231479917	0.405509700068832
20.0*1.01325	0.628709993233222	0.425447060826022
22.5*1.01325	0.583696311336062	0.446774476644275
25.0*1.01325	0.541298989703	0.469637687085156
