#filename: Pdep_Cc_lmax100_dl0.001_Op2.dat
#Cc	A' using exact nu = 0.6716883522798452	P (bar)
#ind. variable	(from 3Dvlt_macro.c data fits via 3Dvlt_K0cFind.c)	(via my Greywall/Ahlers fit)
1.20	2.54752911319273	-3.00136086300631
1.10	2.45689698394729	0.217841272615485
1.06	2.41846211625323	1.58302610489477
1.05	2.40864066279905	1.93187859460076
1.04	2.39873343576103	2.28377771364828
1.03	2.38873600981737	2.6388806469735
1.02	2.37865109206292	2.99709124009304
1.01	2.3684747472862	3.35854926950012
1.00	2.35820446160999	3.72334402669687
0.99	2.34784147922174	4.09143131884595
0.98	2.33738024279746	4.46300853896269
0.97	2.3268222874971	4.8380211590312
0.90	2.25001920912086	7.56602320410682
0.80	2.13051461630077	11.8107589686304
0.70	1.99738150577657	16.5395719987296
0.60	1.84752248299898	21.8624800025936
0.55	1.76483700831233	24.7994214483288
0.50	1.67604540729148	27.9532490590374
0.40	1.47623729089002	35.050320708896
0.30	1.23749160414561	43.5304329057167
0.20	0.940985961220598	54.0621461830601

