# Filename: 3Dvlt_macro_cp_table_long_AlphaFromRho.dat
# Source: 3Dvlt_macro_cp_table.c
# Source version: 1 (2011 Oct 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6, R=8.31447
# Parameter values: N=3, Kthresh=5, DK0=5e-07, dl=0.0001
# T (K)	P (bar)	Rho or Alpha etc (kg/m^3 or K^-1 etc)
0.10	0.000	-0.0002997258922125183
0.15	0.000	-0.0001730604724769517
0.20	0.000	-8.130432895635057e-05
0.25	0.000	-2.070013699544862e-05
0.30	0.000	1.25107154367956e-05
0.35	0.000	2.208752375437941e-05
0.40	0.000	1.178984293441899e-05
0.45	0.000	-1.462278082096108e-05
0.50	0.000	-5.339094766529886e-05
0.55	0.000	-0.0001007554356680645
0.60	0.000	-0.0001529571510920941
0.65	0.000	-0.0002062370221206924
0.70	0.000	-0.0002568358607612614
0.75	0.000	-0.0003009942176495823
0.80	0.000	-0.000334952254481082
0.85	0.000	-0.0003549496588029561
0.90	0.000	-0.0003572256259127844
0.95	0.000	-0.0003380189326227225
1.00	0.000	-0.000293568127659242
1.05	0.000	-0.0002201118634709695
1.10	0.000	-0.0001138893942044269
1.15	0.000	2.885873542967204e-05
1.20	0.000	0.0002118897857485724
1.25	0.000	0.0004389576776150715
1.30	0.000	0.0007138115835253598
1.35	0.000	0.001040194230164077
1.40	0.000	0.001421839888666513
1.45	0.000	0.001862472029278904
1.50	0.000	0.002365800617685885
1.55	0.000	0.002935519030999137
1.60	0.000	0.003575300572293697
1.65	0.000	0.00428879456366079
1.70	0.000	0.005079621999039311
1.75	0.000	0.005951370739616034
1.80	0.000	0.006907590236368662
1.85	0.000	0.007951785766388554
1.90	0.000	0.009087412171982348
1.95	0.000	0.01031786709423326
2.00	0.000	0.01164648369572228
2.05	0.000	0.01307652287048106
2.10	0.000	0.0146111649429851
0.10	2.533	-0.001101286964199205
0.15	2.533	-0.0007813228582777552
0.20	2.533	-0.0005221963981903379
0.25	2.533	-0.0003180633565447896
0.30	2.533	-0.000163072305057386
0.35	2.533	-5.136687751962117e-05
0.40	2.533	2.291247008144727e-05
0.45	2.533	6.562714289654414e-05
0.50	2.533	8.263947426042671e-05
0.55	2.533	7.981211649457762e-05
0.60	2.533	6.300769538962597e-05
0.65	2.533	3.808866823462151e-05
0.70	2.533	1.091732524281401e-05
0.75	2.533	-1.264412577501366e-05
0.80	2.533	-2.673345163201387e-05
0.85	2.533	-2.548832302044223e-05
0.90	2.533	-3.046340940997238e-06
0.95	2.533	4.64547795498663e-05
1.00	2.533	0.0001288768081352768
1.05	2.533	0.0002500803204642027
1.10	2.533	0.0004159236817681522
1.15	2.533	0.0006322616329703719
1.20	2.533	0.0009049434196352674
1.25	2.533	0.001239810404493269
1.30	2.533	0.001642693104849489
1.35	2.533	0.002119407596992568
1.40	2.533	0.002675751230817501
1.45	2.533	0.003317497599322575
1.50	2.533	0.004050390709499412
1.55	2.533	0.004880138303474254
1.60	2.533	0.005812404281648437
1.65	2.533	0.006852800183100219
1.70	2.533	0.008006875682721279
1.75	2.533	0.009280108069544451
1.80	2.533	0.01067789067654508
1.85	2.533	0.01220552023893549
1.90	2.533	0.01386818316568225
1.95	2.533	0.01567094071771339
2.00	2.533	0.01761871309609019
2.05	2.533	0.01971626245432564
2.10	2.533	0.02196817486105093
0.10	5.066	-0.001571837584405778
0.15	5.066	-0.001111508962321255
0.20	5.066	-0.0007353411425185752
0.25	5.066	-0.000435363877366337
0.30	5.066	-0.000203592442976487
0.35	5.066	-3.203206379546999e-05
0.40	5.066	8.731861474372425e-05
0.45	5.066	0.000162464895450902
0.50	5.066	0.0002014141294609453
0.55	5.066	0.000212174435526619
0.60	5.066	0.0002027539265263215
0.65	5.066	0.0001811603310171207
0.70	5.066	0.0001554008976015702
0.75	5.066	0.0001334824698749005
0.80	5.066	0.0001234116197400558
0.85	5.066	0.0001331947268987925
0.90	5.066	0.0001708378923404285
0.95	5.066	0.0002443465736625658
1.00	5.066	0.0003617248300921975
1.05	5.066	0.0005309740651681738
1.10	5.066	0.0007600911552477435
1.15	5.066	0.00105706585237816
1.20	5.066	0.00142987735070896
1.25	5.066	0.001886489906607464
1.30	5.066	0.002434847404088262
1.35	5.066	0.003082866759199933
1.40	5.066	0.00383843005976393
1.45	5.066	0.004709375340479138
1.50	5.066	0.00570348589804745
1.55	5.066	0.00682847805680625
1.60	5.066	0.008091987302542883
1.65	5.066	0.009501552710888575
1.70	5.066	0.01106459960711475
1.75	5.066	0.01278842040645107
1.80	5.066	0.01468015359836559
1.85	5.066	0.01674676085473252
1.90	5.066	0.01899500226057596
1.95	5.066	0.02143140968720146
2.00	5.066	0.02406225835105753
2.05	5.066	0.02689353662759983
2.10	5.066	0.0299309142177027
0.10	7.599	-0.001872872641350731
0.15	7.599	-0.001301581182774071
0.20	7.599	-0.000835913087395189
0.25	7.599	-0.0004658164612030986
0.30	7.599	-0.0001812171310471251
0.35	7.599	2.797442579285946e-05
0.40	7.599	0.0001718576572673541
0.45	7.599	0.0002605378427269018
0.50	7.599	0.0003041231529993631
0.55	7.599	0.0003127226865975697
0.60	7.599	0.0002964453036151671
0.65	7.599	0.0002653990785526896
0.70	7.599	0.0002296911932160949
0.75	7.599	0.0001994280908429757
0.80	7.599	0.0001847157126642762
0.85	7.599	0.0001956596381576431
0.90	7.599	0.0002423649502790368
0.95	7.599	0.0003349356469880652
1.00	7.599	0.000483473420455014
1.05	7.599	0.0006980756255302046
1.10	7.599	0.0009888322594734614
1.15	7.599	0.001365821775719115
1.20	7.599	0.001839105555753137
1.25	7.599	0.002418720865197491
1.30	7.599	0.003114672123152558
1.35	7.599	0.003936920317988921
1.40	7.599	0.004895370408375272
1.45	7.599	0.00599985655567311
1.50	7.599	0.007260125043230386
1.55	7.599	0.008685814749888467
1.60	7.599	0.01028643505950678
1.65	7.599	0.01207134110583709
1.70	7.599	0.01404970627295654
1.75	7.599	0.0162304918959933
1.80	7.599	0.0186224141353055
1.85	7.599	0.02123390802981662
