# Filename: 3Dvlt_macro_cp_table_long_Rho.dat
# Source: 3Dvlt_macro_cp_table.c
# Source version: 1 (2011 Oct 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6, R=8.31447
# Parameter values: N=3, Kthresh=5, DK0=5e-07, dl=0.0001
# T (K)	P (bar)	Rho or Alpha etc (kg/m^3 or K^-1 etc)
0.10	0.000	145.1382569906303
0.15	0.000	 145.136563762674
0.20	0.000	145.1356607996258
0.25	0.000	145.1353083901223
0.30	0.000	145.1352941047223
0.35	0.000	145.1354327959058
0.40	0.000	145.1355665980752
0.45	0.000	145.1355649275542
0.50	0.000	145.1353244825885
0.55	0.000	145.1347692433456
0.60	0.000	145.1338504719147
0.65	0.000	145.1325467123067
0.70	0.000	145.1308637904546
0.75	0.000	145.1288348142128
0.80	0.000	145.1265201733576
0.85	0.000	145.1240075395874
0.90	0.000	145.1214118665218
0.95	0.000	145.1188753897028
1.00	0.000	145.1165676265937
1.05	0.000	145.1146853765798
1.10	0.000	145.1134527209682
1.15	0.000	145.1131210229876
1.20	0.000	145.1139689277887
1.25	0.000	145.1163023624439
1.30	0.000	145.1204545359473
1.35	0.000	 145.126785939215
1.40	0.000	145.1356843450845
1.45	0.000	145.1475648083155
1.50	0.000	145.1628696655892
1.55	0.000	145.1820685355088
1.60	0.000	145.2056583185991
1.65	0.000	145.2341631973066
1.70	0.000	    145.268134636
1.75	0.000	145.3081513809693
1.80	0.000	145.3548194604266
1.85	0.000	145.4087721845056
1.90	0.000	145.4706701452619
1.95	0.000	145.5412012166728
2.00	0.000	145.6210805546374
2.05	0.000	145.7110505969767
2.10	0.000	145.8118810634333
0.10	2.533	149.2480804482953
0.15	2.533	149.2410958624757
0.20	2.533	149.2362684895339
0.25	2.533	149.2331659683289
0.30	2.533	149.2313996802519
0.35	2.533	149.2306247492251
0.40	2.533	149.2305400417029
0.45	2.533	149.2308881666708
0.50	2.533	149.2314554756461
0.55	2.533	 149.232072062678
0.60	2.533	149.2326117643469
0.65	2.533	 149.232992159765
0.70	2.533	149.2331745705762
0.75	2.533	149.2331640609559
0.80	2.533	149.2330094376109
0.85	2.533	  149.23280324978
0.90	2.533	149.2326817892334
0.95	2.533	149.2328250902731
1.00	2.533	149.2334569297324
1.05	2.533	149.2348448269764
1.10	2.533	149.2373000439017
1.15	2.533	149.2411775849369
1.20	2.533	149.2468761970416
1.25	2.533	149.2548383697075
1.30	2.533	149.2655503349577
1.35	2.533	149.2795420673471
1.40	2.533	149.2973872839618
1.45	2.533	149.3197034444199
1.50	2.533	149.3471517508711
1.55	2.533	149.3804371479964
1.60	2.533	149.4203083230089
1.65	2.533	149.4675577056527
1.70	2.533	149.5230214682041
1.75	2.533	149.5875795254706
1.80	2.533	149.6621555347916
1.85	2.533	149.7477168960378
1.90	2.533	149.8452747516119
1.95	2.533	149.9558839864478
2.00	2.533	150.0806432280115
2.05	2.533	   150.2206948463
2.10	2.533	150.3772249538424
0.10	5.066	152.8531750899214
0.15	5.066	152.8429776145423
0.20	5.066	152.8359718848969
0.25	5.066	152.8315447814406
0.30	5.066	152.8291443720182
0.35	5.066	152.8282799118643
0.40	5.066	152.8285218436034
0.45	5.066	152.8295017972493
0.50	5.066	152.8309125902061
0.55	5.066	152.8325082272669
0.60	5.066	 152.834103900615
0.65	5.066	152.8355759898234
0.70	5.066	152.8368620618546
0.75	5.066	152.8379608710609
0.80	5.066	152.8389323591843
0.85	5.066	152.8398976553567
0.90	5.066	152.8410390760992
0.95	5.066	152.8426001253231
1.00	5.066	152.8448854943294
1.05	5.066	152.8482610618086
1.10	5.066	152.8531538938408
1.15	5.066	152.8600522438962
1.20	5.066	152.8695055528343
1.25	5.066	152.8821244489046
1.30	5.066	152.8985807477463
1.35	5.066	152.9196074523881
1.40	5.066	152.9459987532486
1.45	5.066	152.9786100281359
1.50	5.066	153.0183578422482
1.55	5.066	153.0662199481731
1.60	5.066	153.1232352858878
1.65	5.066	153.1905039827595
1.70	5.066	 153.269187353545
1.75	5.066	153.3605079003908
1.80	5.066	 153.465749312833
1.85	5.066	153.5862564677977
1.90	5.066	153.7234354296005
1.95	5.066	153.8787534499466
2.00	5.066	154.0537389679313
2.05	5.066	154.2499816100392
2.10	5.066	154.4691321901447
0.10	7.599	156.0567796003291
0.15	7.599	156.0444671524892
0.20	7.599	156.0361941780239
0.25	7.599	156.0311751988346
0.30	7.599	156.0287035891851
0.35	7.599	156.0281515757009
0.40	7.599	156.0289702373694
0.45	7.599	156.0306895055402
0.50	7.599	156.0329181639245
0.55	7.599	156.0353438485961
0.60	7.599	156.0377330479899
0.65	7.599	156.0399311029036
0.70	7.599	156.0418622064965
0.75	7.599	  156.04352940429
0.80	7.599	 156.045014594167
0.85	7.599	156.0464785263732
0.90	7.599	156.0481608035155
0.95	7.599	156.0503798805634
1.00	7.599	156.0535330648478
1.05	7.599	156.0580965160619
1.10	7.599	156.0646252462608
1.15	7.599	156.0737531198619
1.20	7.599	156.0861928536439
1.25	7.599	156.1027360167479
1.30	7.599	 156.124253030677
1.35	7.599	156.1516931692961
1.40	7.599	156.1860845588323
1.45	7.599	156.2285341778743
1.50	7.599	156.2802278573733
1.55	7.599	156.3424302806419
1.60	7.599	156.4164849833551
1.65	7.599	156.5038143535496
1.70	7.599	156.6059196316243
1.75	7.599	156.7243809103399
1.80	7.599	156.8608571348192
1.85	7.599	157.0170861025468
1.90	7.599	157.1948844633695
1.95	7.599	157.3961477194959
2.00	7.599	157.6228502254968
2.05	7.599	157.8770451883044
2.10	7.599	158.1608646672136
0.10	10.133	158.9458541697265
0.15	10.133	158.9317683845626
0.20	10.133	158.9225042055713
0.25	10.133	158.9171067697954
0.30	10.133	158.9147176935394
0.35	10.133	158.9145750723685
0.40	10.133	158.9160134811098
0.45	10.133	158.9184639738509
0.50	10.133	158.9214540839416
0.55	10.133	158.9246078239921
0.60	10.133	158.9276456858745
0.65	10.133	158.9303846407218
0.70	10.133	158.9327381389285
0.75	10.133	158.9347161101504
0.80	10.133	158.9364249633043
0.85	10.133	158.9380675865683
0.90	10.133	158.9399433473822
0.95	10.133	158.9424480924467
1.00	10.133	158.9460741477237
1.05	10.133	158.9514103184367
1.10	10.133	158.9591418890702
1.15	10.133	158.9700506233701
1.20	10.133	158.9850147643435
1.25	10.133	 159.005009034259
1.30	10.133	 159.031104634646
1.35	10.133	159.0644692462957
