# Filename: 3Dvlt_macro_cp_table_long_Alpha.dat
# Source: 3Dvlt_macro_cp_table.c
# Source version: 1 (2011 Oct 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6, R=8.31447
# Parameter values: N=3, Kthresh=5, DK0=5e-07, dl=0.0001
# T (K)	P (bar)	Rho or Alpha etc (kg/m^3 or K^-1 etc)
0.10	0.000	-0.0001724706686514278
0.15	0.000	5.463422010761426e-05
0.20	0.000	0.0001443033605679608
0.25	0.000	0.0001497813412194436
0.30	0.000	0.0001117827140367643
0.35	0.000	6.017442180200139e-05
0.40	0.000	1.555221033641666e-05
0.45	0.000	-9.288974358452818e-06
0.50	0.000	-7.990604050367488e-06
0.55	0.000	2.062779868325701e-05
0.60	0.000	7.372101232438279e-05
0.65	0.000	0.0001454644531926077
0.70	0.000	0.0002279944971327482
0.75	0.000	0.0003122427861117236
0.80	0.000	0.0003886645197247272
0.85	0.000	0.0004478607316106063
0.90	0.000	0.000481094550776765
0.95	0.000	0.0004807014478332011
1.00	0.000	0.0004403934661356967
1.05	0.000	0.0003554574378386213
1.10	0.000	0.0002228471848567705
1.15	0.000	4.116970473684589e-05
1.20	0.000	-0.0001894346585624568
1.25	0.000	-0.0004675180589801681
1.30	0.000	-0.0007906570077542766
1.35	0.000	-0.001155890247912961
1.40	0.000	-0.001560262643857196
1.45	0.000	-0.002001475086033683
1.50	0.000	-0.002478640410698146
1.55	0.000	-0.002993145334770436
1.60	0.000	-0.003549618405778776
1.65	0.000	-0.004157003966897027
1.70	0.000	-0.004829742137069215
1.75	0.000	-0.005589054806227733
1.80	0.000	-0.006464337645602503
1.85	0.000	-0.007494658133116616
1.90	0.000	-0.0087303595938788
1.95	0.000	-0.01023477125576155
2.00	0.000	-0.01208602432007289
2.05	0.000	-0.01437897404731647
2.10	0.000	-0.01722722785804531
0.10	2.533	0.0001504928128200386
0.15	2.533	-1.774333395196203e-05
0.20	2.533	-9.493046315762042e-05
0.25	2.533	-0.0001076566309932424
0.30	2.533	-7.780587145318222e-05
0.35	2.533	-2.308495036115516e-05
0.40	2.533	4.247350357299781e-05
0.45	2.533	0.0001080314906710354
0.50	2.533	0.0001654897551786661
0.55	2.533	0.0002090555231323437
0.60	2.533	0.0002348338632006401
0.65	2.533	0.0002404426705001914
0.70	2.533	0.0002246512733859945
0.75	2.533	0.000187042663216748
0.80	2.533	0.000127699347093933
0.85	2.533	4.691282357587091e-05
0.90	2.533	-5.508331863313853e-05
0.95	2.533	-0.0001783566790200899
1.00	2.533	-0.0003234957006260855
1.05	2.533	-0.0004918057024332465
1.10	2.533	-0.0006854812887780338
1.15	2.533	-0.0009077551357916168
1.20	2.533	-0.001163023154861208
1.25	2.533	-0.001456946033122146
1.30	2.533	-0.001796527150972002
1.35	2.533	-0.002190166876611821
1.40	2.533	-0.002647693237611674
1.45	2.533	-0.003180368969499919
1.50	2.533	-0.00380087494138638
1.55	2.533	-0.004523269958598315
1.60	2.533	-0.005362926942350804
1.65	2.533	-0.006336445486442362
1.70	2.533	-0.007461540790967915
1.75	2.533	-0.008756908973070804
1.80	2.533	-0.01024206875470722
1.85	2.533	-0.01193717952744161
1.90	2.533	-0.01386283579426693
1.95	2.533	-0.01603983798845911
2.00	2.533	-0.01848893966943382
2.05	2.533	-0.0212305710956552
2.10	2.533	-0.02428453917456388
0.10	5.066	9.276073336406087e-05
0.15	5.066	-1.84836996530564e-05
0.20	5.066	-6.619790274401107e-05
0.25	5.066	-6.896910573747224e-05
0.30	5.066	-4.241095499187678e-05
0.35	5.066	5.385185339858519e-07
0.40	5.066	4.932634467660646e-05
0.45	5.066	9.550147292942485e-05
0.50	5.066	0.0001324390447707465
0.55	5.066	0.0001550720794579467
0.60	5.066	0.0001596305732874588
0.65	5.066	0.000143388012321477
0.70	5.066	0.0001044152985800896
0.75	5.066	4.134208970094696e-05
0.80	5.066	-4.687444793727283e-05
0.85	5.066	-0.0001611734726228158
0.90	5.066	-0.0003026068872536112
0.95	5.066	-0.0004725483458138905
1.00	5.066	-0.0006728948463861087
1.05	5.066	-0.0009062609106929656
1.10	5.066	-0.001176165350175699
1.15	5.066	-0.001487210618610477
1.20	5.066	-0.001845254751246345
1.25	5.066	-0.002257575890490507
1.30	5.066	-0.002733029398122263
1.35	5.066	-0.003282197554036794
1.40	5.066	-0.003917531841530519
1.45	5.066	-0.004653487819105058
1.50	5.066	-0.005506652578839195
1.55	5.066	-0.006495864791243876
1.60	5.066	-0.007642327336697292
1.65	5.066	-0.008969712523388601
1.70	5.066	-0.01050425989180461
1.75	5.066	-0.01227486660574443
1.80	5.066	-0.01431317042987413
1.85	5.066	-0.01665362529381506
1.90	5.066	-0.01933356944274522
1.95	5.066	-0.02239328617459104
2.00	5.066	-0.02587605716366549
2.05	5.066	-0.02982820837093125
2.10	5.066	-0.03429914854074644
0.10	7.599	-7.309028276640286e-05
0.15	7.599	2.059625807415618e-05
0.20	7.599	5.558117588726123e-05
0.25	7.599	5.711498519975969e-05
0.30	7.599	4.343432775139028e-05
0.35	7.599	2.681432403455859e-05
0.40	7.599	1.454134346462915e-05
0.45	7.599	9.806193180169465e-06
0.50	7.599	1.251772547379223e-05
0.55	7.599	2.003686385350009e-05
0.60	7.599	2.783104773308164e-05
0.65	7.599	3.004909575525314e-05
0.70	7.599	2.001648774202332e-05
0.75	7.599	-9.348934721321482e-06
0.80	7.599	-6.520084907467603e-05
0.85	7.599	-0.0001545079139416535
0.90	7.599	-0.0002838768126516203
0.95	7.599	-0.0004594548781421905
1.00	7.599	-0.0006869122992213905
1.05	7.599	-0.0009715039082053018
1.10	7.599	-0.001318210549919771
1.15	7.599	-0.001731960032088007
1.20	7.599	-0.002217927657052856
1.25	7.599	-0.002781916334916035
1.30	7.599	-0.003430816278007734
1.35	7.599	-0.004173144276743322
1.40	7.599	-0.005019662556850215
1.45	7.599	-0.005984077217954896
1.50	7.599	-0.007083816253563049
1.55	7.599	-0.008340887152353722
1.60	7.599	-0.009782814080938101
1.65	7.599	-0.01144365464788396
1.70	7.599	-0.01336509624917177
1.75	7.599	-0.01559763199502773
1.80	7.599	-0.01820181621805868
1.85	7.599	-0.02124959956286988
1.90	7.599	-0.02482574365690406
1.95	7.599	-0.02902931536280534
2.00	7.599	-0.03397526061202211
2.05	7.599	-0.03979605781989369
2.10	7.599	-0.04664345088202278
0.10	10.133	-0.0002275219589285652
0.15	10.133	7.122892017260546e-05
0.20	10.133	0.0001801684087791162
0.25	10.133	0.000175003455929139
0.30	10.133	0.0001121289093732322
0.35	10.133	3.146733045868964e-05
0.40	10.133	-4.089424430475102e-05
0.45	10.133	-9.02705949978191e-05
0.50	10.133	-0.0001111476633647092
0.55	10.133	-0.0001051549512020148
0.60	10.133	-7.924097207045007e-05
0.65	10.133	-4.40517563202648e-05
0.70	10.133	-1.251240944194465e-05
0.75	10.133	1.388276272935038e-06
0.80	10.133	-1.638984325834283e-05
0.85	10.133	-7.912898220882895e-05
0.90	10.133	-0.0001987471964662803
0.95	10.133	-0.0003853952085705594
1.00	10.133	-0.0006472562859800995
1.05	10.133	-0.0009905491726440695
1.10	10.133	-0.001419734073895691
1.15	10.133	-0.001937921694690101
1.20	10.133	-0.002547485331104007
1.25	10.133	-0.003250876015213885
1.30	10.133	-0.004051640713273297
1.35	10.133	-0.004955643577177704
1.40	10.133	-0.005972490249303394
1.45	10.133	-0.007117155220595806
1.50	10.133	-0.008411812242092587
