# Filename: 3Dvlt_macro_cp_extra_BareValues_T0.3_OutputAll.dat
# This file was made by hand, copying the data from Outputs 27,28,29.
# Source: 3Dvlt_macro_cp_extra.c
# Source version: 1 (2011 Oct 28 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6, R=8.31447
# Parameter values: N=3, Kthresh=5, DK0=5e-07, dl=0.0001
# P	Cc	K0c	T	T/Tc	1-T/Tc	l	K0	y0	e0	U0/kB	a0	a0(P)/a0(0)
0	 1.10632942839817	 0.29538951067061	0.3	0.138026589760853	0.861973410239147	0	 2.14009134893796	7.10434279457781e-11	0	 7.01031892940027	 2.42858256735096	                1
0.05	 1.10483229772024	0.295643892705827	0.3	0.138057812145131	0.861942187854869	0	 2.14144993399603	7.2247604212862e-11	0	 7.00527658475081	 2.42867872272954	 1.00003959320959
1.01325	 1.07635638256762	0.300595480774154	0.3	0.138669503155422	0.861330496844578	0	 2.16771152945751	9.9779490331641e-11	0	 6.90841753842891	 2.43135819311184	  1.0011428994831
1.646	 1.05802360690523	  0.3039017891501	0.3	  0.1390820460019	  0.8609179539981	0	 2.18505405899729	1.23234241899731e-10	0	 6.84508024978463	 2.43392626691623	 1.00220033678785
2.53313	 1.03280678021075	0.308610836254864	0.3	0.139675137366003	0.860324862633997	0	 2.20949012168275	1.65474483995078e-10	0	 6.75666123247619	 2.43851511023055	 1.00408985183914
5.06625	0.963811435171926	0.322550071407628	0.3	0.141467211063529	0.858532788936471	0	 2.28003414347923	3.80824500485327e-10	0	 6.50660474267137	 2.45713358518144	 1.01175624753892
7.328	0.905783785948535	0.335651305449222	0.3	0.143198153210908	0.856801846789092	0	 2.34396392637035	7.93633696713998e-10	0	 6.28631973008466	 2.47941665363046	 1.02093158658178
7.59938	0.899037373713034	0.337267195326344	0.3	0.143414578090666	0.856585421909334	0	 2.35169394782952	8.66189672917888e-10	0	 6.26007516285082	  2.4823893572001	 1.02215563537864
10.1325	0.838186490043836	0.352833451461462	0.3	0.145529961664618	0.854470038335382	0	 2.42447292245281	1.94769403179313e-09	0	 6.01698591357916	 2.51273573727786	 1.03465114633459
12.6656	0.780969118936599	0.369334358088313	0.3	0.147827193217155	0.852172806782845	0	 2.49841960772244	4.33103541812918e-09	0	 5.77723775907885	  2.5470361092045	 1.04877476411385
15.031	0.730585406559371	0.385673454596625	0.3	0.150149801478687	0.849850198521313	0	 2.56859117227251	9.04498742549927e-09	0	 5.55631653249474	 2.58191987197936	 1.06313860055236
15.1988	0.727118555504325	0.386868708988648	0.3	0.150321385074919	0.849678614925081	0	 2.57361059303595	9.52650165739515e-09	0	 5.54075648221202	 2.58448525374156	 1.06419492937424
17.7319	0.676402747916216	0.405545939114024	0.3	0.153029127344819	0.846970872655181	0	 2.65012253647773	2.07284018426186e-08	0	 5.30752830222326	 2.62454845134538	    1.08069146449
18.18	0.667741857245225	0.408977828480417	0.3	0.153531726917724	0.846468273082276	0	 2.66380009325098	2.37574529994429e-08	0	 5.26661086355734	 2.63188185042367	 1.08371108555492
20.265	0.628625944372066	0.425484419386825	0.3	 0.15596871355254	 0.84403128644746	0	 2.72801134083532	4.46071440549969e-08	0	 5.07761154304279	 2.66692620476939	 1.09814104763109
22.533	0.588205298607552	0.444511433704054	0.3	0.158813889715941	0.841186110284059	0	 2.79894557396158	8.77416816710711e-08	0	 4.87466063245953	 2.70677187587569	 1.11454801342339
22.7981	0.583620041108912	0.446813016248088	0.3	0.159160400547219	0.840839599452781	0	 2.80731271542339	9.49040972491418e-08	0	 4.85111968736324	 2.71155115232075	 1.11651594175711
24.318	0.557881910249367	0.460337048991327	0.3	0.161205685588884	0.838794314411116	0	 2.85558817178015	1.48440877017936e-07	0	 4.71692372776188	 2.73947349527424	 1.12801332435751
25.3313	0.541229882352637	0.469677478874956	0.3	0.162626709374086	0.837373290625914	0	 2.88807097359739	1.99534152019456e-07	0	 4.62818412816001	 2.75861858022009	 1.13589655847243
25.868	0.532568913867742	0.474735257233818	0.3	0.163398780160337	0.836601219839663	0	 2.90537822111021	2.33197924156622e-07	0	 4.58141348522038	 2.76894740070008	 1.14014958269275
