# Filename: 3Dvlt_K0cFind3_Plot_Op3352_K0.400_y0.025_step1200000_cut.dat
# Source: 3Dvlt_K0cFind3_Plot.c
# Source version: 1 (2012 Jun 07 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=3, OpAa=3, OpB=5, OpC=2, B=41.3417022403997549418, THETA=0.6, N=2, initialdl=1e-05, trajectorydl=0.0001, initialds=1e-05, trajectorydsMax=1e-05, uncertainty=1e-13, dataskipdl=100, dataskipds=999
# Option-dependent values: K=0.400000000000000022204, y=0.0250000000000000013878, Kstar=                  -10, ystar=                  -10, c=                    0, Z=                    0, lambda=                    0, initialKdir=0, flowdir=-1, Max_steps=1200000
# Initialized values: Deltas=0, Deltal=0, count_steps=0, count_passes=0, K0c=0, oldK0c=-100
# Input-file parameter: Cc=6.91762e-310
# step	K	y	path-length-l	path-length-s (in K-y-space)
1107600	7.9995467579100458e-06	6.1809874378879805e-27	-11.076	0.401151
1107700	7.9915512095925929e-06	6.1440164479397334e-27	-11.077	0.401151
1107800	7.9835636528270099e-06	6.1072665928753443e-27	-11.078	0.401151
1107900	7.9755840796257353e-06	6.0707365500436407e-27	-11.079	0.401151
1108000	7.9676124820092258e-06	6.0344250047043284e-27	-11.08	0.401151
1108100	7.9596488520058544e-06	5.9983306499806588e-27	-11.081	0.401151
1108200	7.9516931816520021e-06	5.9624521868123977e-27	-11.082	0.401151
1108300	7.943745462991988e-06	5.926788323909089e-27	-11.083	0.401151
1108400	7.9358056880780971e-06	5.891337777703575e-27	-11.084	0.401151
1108500	7.9278738489705659e-06	5.8560992723058069e-27	-11.085	0.401151
1108600	7.9199499377375357e-06	5.8210715394569227e-27	-11.086	0.401151
1108700	7.9120339464551065e-06	5.7862533184836113e-27	-11.087	0.401151
1108800	7.9041258672072742e-06	5.7516433562527424e-27	-11.088	0.401151
1108900	7.896225692085975e-06	5.7172404071262772e-27	-11.089	0.401151
1109000	7.8883334131910257e-06	5.6830432329164263e-27	-11.09	0.401151
1109100	7.8804490226301478e-06	5.649050602841095e-27	-11.091	0.401151
1109200	7.8725725125189449e-06	5.6152612934795944e-27	-11.092	0.401151
1109300	7.8647038749809189e-06	5.5816740887286195e-27	-11.093	0.401151
1109400	7.8568431021474233e-06	5.5482877797584643e-27	-11.094	0.401151
1109500	7.8489901861576857e-06	5.5151011649695445e-27	-11.095	0.401151
1109600	7.8411451191587823e-06	5.4821130499491281e-27	-11.096	0.401151
1109700	7.8333078933056567e-06	5.4493222474283683e-27	-11.097	0.401151
1109800	7.8254785007610703e-06	5.4167275772395774e-27	-11.098	0.401151
1109900	7.8176569336956403e-06	5.3843278662737376e-27	-11.099	0.401151
1110000	7.8098431842877948e-06	5.3521219484383162e-27	-11.1	0.401151
1110100	7.8020372447237803e-06	5.3201086646152619e-27	-11.101	0.401151
1110200	7.7942391071976614e-06	5.2882868626193212e-27	-11.102	0.401151
1110300	7.7864487639113021e-06	5.2566553971565567e-27	-11.103	0.401151
1110400	7.7786662070743641e-06	5.2252131297831342e-27	-11.104	0.401151
1110500	7.7708914289042782e-06	5.1939589288643565e-27	-11.105	0.401151
1110600	7.7631244216262629e-06	5.1628916695339387e-27	-11.106	0.401151
1110700	7.7553651774733293e-06	5.1320102336535162e-27	-11.107	0.401151
1110800	7.7476136886862032e-06	5.1013135097724246e-27	-11.108	0.401151
1110900	7.7398699475134135e-06	5.0708003930876773e-27	-11.109	0.401151
1111000	7.7321339462112188e-06	5.0404697854042265e-27	-11.11	0.401151
1111100	7.724405677043625e-06	5.0103205950954278e-27	-11.111	0.401151
1111200	7.7166851322823441e-06	4.9803517370637633e-27	-11.112	0.401152
1111300	7.7089723042068367e-06	4.9505621327017869e-27	-11.113	0.401152
1111400	7.7012671851042699e-06	4.9209507098533089e-27	-11.114	0.401152
1111500	7.6935697672695323e-06	4.8915164027748149e-27	-11.115	0.401152
1111600	7.6858800430052051e-06	4.8622581520971011e-27	-11.116	0.401152
1111700	7.6781980046215557e-06	4.8331749047871657e-27	-11.117	0.401152
1111800	7.6705236444365577e-06	4.8042656141102971e-27	-11.118	0.401152
1111900	7.6628569547758469e-06	4.7755292395924073e-27	-11.119	0.401152
1112000	7.655197927972735e-06	4.7469647469826036e-27	-11.12	0.401152
1112100	7.6475465563681823e-06	4.7185711082159468e-27	-11.121	0.401152
1112200	7.6399028323108251e-06	4.6903473013764544e-27	-11.122	0.401152
1112300	7.6322667481569313e-06	4.6622923106603369e-27	-11.123	0.401152
1112400	7.6246382962704227e-06	4.6344051263394376e-27	-11.124	0.401152
1112500	7.6170174690228443e-06	4.606684744724897e-27	-11.125	0.401152
1112600	7.6094042587933729e-06	4.5791301681310217e-27	-11.126	0.401152
1112700	7.6017986579687892e-06	4.5517404048393733e-27	-11.127	0.401152
1112800	7.5942006589435038e-06	4.5245144690631052e-27	-11.128	0.401152
1112900	7.5866102541195041e-06	4.4974513809114664e-27	-11.129	0.401152
1113000	7.5790274359063933e-06	4.4705501663545347e-27	-11.13	0.401152
1113100	7.5714521967213477e-06	4.443809857188184e-27	-11.131	0.401152
1113200	7.5638845289891307e-06	4.4172294909992112e-27	-11.132	0.401152
1113300	7.5563244251420736e-06	4.3908081111307269e-27	-11.133	0.401152
1113400	7.5487718776200713e-06	4.3645447666477144e-27	-11.134	0.401152
1113500	7.5412268788705773e-06	4.3384385123028079e-27	-11.135	0.401152
1113600	7.5336894213485905e-06	4.3124884085022715e-27	-11.136	0.401152
1113700	7.5261594975166528e-06	4.2866935212721986e-27	-11.137	0.401152
1113800	7.5186370998448386e-06	4.2610529222248823e-27	-11.138	0.401152
1113900	7.51112222081075e-06	4.2355656885254146e-27	-11.139	0.401152
1114000	7.5036148528995097e-06	4.2102309028584792e-27	-11.14	0.401152
1114100	7.4961149886037446e-06	4.1850476533953287e-27	-11.141	0.401152
1114200	7.4886226204235962e-06	4.160015033760975e-27	-11.142	0.401152
1114300	7.4811377408666955e-06	4.1351321430015705e-27	-11.143	0.401152
1114400	7.4736603424481529e-06	4.1103980855519779e-27	-11.144	0.401152
1114500	7.466190417690575e-06	4.0858119712035566e-27	-11.145	0.401152
1114600	7.4587279591240409e-06	4.061372915072104e-27	-11.146	0.401152
1114700	7.4512729592860913e-06	4.037080037566029e-27	-11.147	0.401152
1114800	7.4438254107217164e-06	4.0129324643546838e-27	-11.148	0.401152
1114900	7.4363853059833705e-06	3.988929326336905e-27	-11.149	0.401152
1115000	7.4289526376309518e-06	3.9650697596097374e-27	-11.15	0.401152
1115100	7.4215273982317902e-06	3.9413529054373443e-27	-11.151	0.401152
1115200	7.4141095803606449e-06	3.9177779102200845e-27	-11.152	0.401152
1115300	7.4066991765997037e-06	3.8943439254638297e-27	-11.153	0.401152
1115400	7.3992961795385489e-06	3.8710501077493794e-27	-11.154	0.401152
1115500	7.3919005817741921e-06	3.8478956187021571e-27	-11.155	0.401152
1115600	7.3845123759110363e-06	3.8248796249620063e-27	-11.156	0.401152
1115700	7.3771315545608688e-06	3.8020012981532164e-27	-11.157	0.401152
1115800	7.3697581103428705e-06	3.7792598148546959e-27	-11.158	0.401152
1115900	7.3623920358835968e-06	3.7566543565703534e-27	-11.159	0.401152
1116000	7.3550333238169698e-06	3.7341841096996244e-27	-11.16	0.401152
1116100	7.3476819667842797e-06	3.7118482655082127e-27	-11.161	0.401152
1116200	7.3403379574341707e-06	3.6896460200989657e-27	-11.162	0.401152
1116300	7.3330012884226308e-06	3.6675765743829552e-27	-11.163	0.401152
1116400	7.3256719524129895e-06	3.6456391340507205e-27	-11.164	0.401152
1116500	7.3183499420759162e-06	3.6238329095436632e-27	-11.165	0.401152
1116600	7.3110352500893905e-06	3.6021571160256545e-27	-11.166	0.401152
1116700	7.3037278691387256e-06	3.5806109733547826e-27	-11.167	0.401152
1116800	7.2964277919165378e-06	3.5591937060552824e-27	-11.168	0.401152
1116900	7.2891350111227531e-06	3.537904543289609e-27	-11.169	0.401152
1117000	7.2818495194645832e-06	3.5167427188307166e-27	-11.17	0.401152
1117100	7.2745713096565359e-06	3.49570747103447e-27	-11.171	0.401152
1117200	7.2673003744204059e-06	3.4747980428122431e-27	-11.172	0.401152
