# Filename: vlt_ThermStates_lmax100_D_Cc1.01.dat
# Source: vlt_ThermStates.c
# Source version: 6 (2011 Mar 17 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=82.6834044807995098836, THETA=0.6
# Parameter values: N=3, Kthresh=5, dl=0.0001, lmax=100
T/Tc	1-T/Tc	l	K	y	e	Kr	Kr/K0
1	1e-12	2.858	5.00018	4.14741e-26	2.59934e-12	0.286928	0.798354
1	1.25893e-12	2.858	5.00018	4.14741e-26	2.59934e-12	0.286928	0.798354
1	1.58489e-12	2.858	5.00018	4.14741e-26	5.19867e-12	0.286928	0.798354
1	1.99526e-12	2.858	5.00018	4.14741e-26	5.19867e-12	0.286928	0.798354
1	2.51189e-12	2.858	5.00018	4.14741e-26	5.19867e-12	0.286928	0.798354
1	3.16228e-12	2.858	5.00018	4.14741e-26	1.03973e-11	0.286928	0.798354
1	3.98107e-12	2.858	5.00018	4.14741e-26	1.03973e-11	0.286928	0.798354
1	5.01187e-12	2.858	5.00018	4.14741e-26	1.03973e-11	0.286928	0.798354
1	6.30957e-12	2.858	5.00018	4.14741e-26	2.07947e-11	0.286928	0.798354
1	7.94328e-12	2.858	5.00018	4.14741e-26	2.07947e-11	0.286928	0.798354
1	1e-11	2.858	5.00018	4.14741e-26	2.07947e-11	0.286928	0.798354
1	1.25893e-11	2.858	5.00018	4.14741e-26	4.15894e-11	0.286928	0.798354
1	1.58489e-11	2.858	5.00018	4.14741e-26	4.15894e-11	0.286928	0.798354
1	1.99526e-11	2.858	5.00018	4.14741e-26	4.15894e-11	0.286928	0.798354
1	2.51189e-11	2.858	5.00018	4.14741e-26	8.31787e-11	0.286928	0.798354
1	3.16228e-11	2.858	5.00018	4.14741e-26	8.31787e-11	0.286928	0.798354
1	3.98107e-11	2.858	5.00018	4.14741e-26	8.31787e-11	0.286928	0.798354
1	5.01187e-11	2.858	5.00018	4.14741e-26	1.66357e-10	0.286928	0.798354
1	6.30957e-11	2.858	5.00018	4.14741e-26	1.66357e-10	0.286928	0.798354
1	7.94328e-11	2.858	5.00018	4.14741e-26	1.66357e-10	0.286928	0.798354
