T/Tc	1-T/Tc	l	K	y	e	Kr	Kr/K0
1	1e-08	14.2442	5.00031	6.75115e-06	-0.0558151	3.25702e-06	1.0043e-05
1	1.25893e-08	14.0895	5.00013	6.75004e-06	-0.0558151	3.8018e-06	1.17228e-05
1	1.58489e-08	13.9349	5.00043	6.75184e-06	-0.0558151	4.4377e-06	1.36836e-05
1	1.99526e-08	13.7802	5.00024	6.75073e-06	-0.0558151	5.17996e-06	1.59724e-05
1	2.51189e-08	13.6255	5.00005	6.74963e-06	-0.0558151	6.04638e-06	1.8644e-05
1	3.16228e-08	13.4709	5.00036	6.75143e-06	-0.0558151	7.05771e-06	2.17624e-05
1	3.98107e-08	13.3162	5.00017	6.75032e-06	-0.0558151	8.23821e-06	2.54025e-05
1	5.01187e-08	13.1616	5.00048	6.75212e-06	-0.0558151	9.61616e-06	2.96514e-05
1	6.30957e-08	13.0069	5.00029	6.75102e-06	-0.055815	1.12246e-05	3.4611e-05
1	7.94328e-08	12.8522	5.0001	6.74991e-06	-0.055815	1.31021e-05	4.04002e-05
1	1e-07	12.6976	5.00041	6.75171e-06	-0.055815	1.52935e-05	4.71576e-05
1	1.25893e-07	12.5429	5.00022	6.75061e-06	-0.055815	1.78516e-05	5.50454e-05
1	1.58489e-07	12.3882	5.00003	6.7495e-06	-0.055815	2.08375e-05	6.42524e-05
1	1.99526e-07	12.2336	5.00034	6.7513e-06	-0.055815	2.43229e-05	7.49995e-05
1	2.51189e-07	12.0789	5.00015	6.7502e-06	-0.055815	2.83912e-05	8.75442e-05
1	3.16228e-07	11.9243	5.00046	6.752e-06	-0.055815	3.314e-05	0.000102187
1	3.98107e-07	11.7696	5.00027	6.7509e-06	-0.0558149	3.86831e-05	0.000119279
0.999999	5.01187e-07	11.6149	5.00008	6.74979e-06	-0.0558149	4.51534e-05	0.00013923
0.999999	6.30957e-07	11.4603	5.00039	6.75159e-06	-0.0558149	5.27059e-05	0.000162518
0.999999	7.94328e-07	11.3056	5.0002	6.75049e-06	-0.0558148	6.15216e-05	0.000189702
0.999999	1e-06	11.1509	5.00001	6.74939e-06	-0.0558147	7.1812e-05	0.000221432
0.999999	1.25893e-06	10.9963	5.00032	6.75119e-06	-0.0558147	8.38235e-05	0.000258469
0.999998	1.58489e-06	10.8416	5.00013	6.75009e-06	-0.0558145	9.78441e-05	0.000301702
0.999998	1.99526e-06	10.687	5.00044	6.7519e-06	-0.0558144	0.00011421	0.000352165
0.999997	2.51189e-06	10.5323	5.00026	6.7508e-06	-0.0558142	0.000133313	0.000411069
0.999997	3.16228e-06	10.3776	5.00007	6.7497e-06	-0.055814	0.000155611	0.000479826
0.999996	3.98107e-06	10.223	5.00038	6.75151e-06	-0.0558138	0.00018164	0.000560083
0.999995	5.01187e-06	10.0683	5.00019	6.75042e-06	-0.0558134	0.000212021	0.000653764
0.999994	6.30957e-06	9.9136	5	6.74933e-06	-0.055813	0.000247485	0.000763114
0.999992	7.94328e-06	9.759	5.00032	6.75115e-06	-0.0558124	0.00028888	0.000890754
0.99999	1e-05	9.6043	5.00013	6.75007e-06	-0.0558118	0.000337199	0.00103974
0.999987	1.25893e-05	9.4497	5.00045	6.75191e-06	-0.0558109	0.000393601	0.00121365
0.999984	1.58489e-05	9.295	5.00026	6.75084e-06	-0.0558098	0.000459437	0.00141665
0.99998	1.99526e-05	9.1403	5.00008	6.74979e-06	-0.0558085	0.000536285	0.0016536
0.999975	2.51189e-05	8.9857	5.0004	6.75166e-06	-0.0558068	0.000625987	0.00193018
0.999968	3.16228e-05	8.831	5.00023	6.75064e-06	-0.0558046	0.000730693	0.00225302
0.99996	3.98107e-05	8.6763	5.00006	6.74964e-06	-0.0558019	0.000852915	0.00262986
0.99995	5.01187e-05	8.5217	5.00039	6.75157e-06	-0.0557985	0.000995581	0.00306972
0.999937	6.30957e-05	8.367	5.00023	6.75063e-06	-0.0557943	0.00116211	0.00358314
0.999921	7.94328e-05	8.2123	5.00007	6.74973e-06	-0.0557889	0.0013565	0.00418243
0.9999	0.0001	8.0577	5.00043	6.7518e-06	-0.0557821	0.00158341	0.00488194
0.999874	0.000125893	7.903	5.0003	6.75103e-06	-0.0557736	0.00184827	0.00569843
0.999842	0.000158489	7.7483	5.00018	6.75034e-06	-0.0557629	0.00215745	0.00665145
0.9998	0.000199526	7.5936	5.00008	6.74976e-06	-0.0557494	0.00251836	0.00776382
0.999749	0.000251189	7.4389	5	6.74931e-06	-0.0557324	0.00293966	0.00906216
0.999684	0.000316228	7.2843	5.00046	6.75194e-06	-0.0557111	0.00343145	0.0105775
0.999602	0.000398107	7.1296	5.00045	6.75187e-06	-0.0556843	0.00400556	0.0123462
0.999499	0.000501187	6.9749	5.00048	6.75207e-06	-0.0556505	0.00467575	0.0144104
0.999369	0.000630957	6.8201	5.00008	6.7497e-06	-0.0556081	0.00545815	0.0168196
0.999206	0.000794328	6.6654	5.00025	6.75065e-06	-0.0555549	0.00637155	0.0196311
0.999	0.001	6.5106	5.00001	6.74921e-06	-0.055488	0.00743795	0.022912
0.998741	0.00125893	6.3559	5.00039	6.75134e-06	-0.0554041	0.00868304	0.0267404
0.998415	0.00158489	6.2011	5.00042	6.75136e-06	-0.0552988	0.0101368	0.0312074
0.998005	0.00199526	6.0462	5.00012	6.7495e-06	-0.0551668	0.0118345	0.0364188
0.997488	0.00251189	5.8913	5.00006	6.74889e-06	-0.0550016	0.0138171	0.0424979
0.996838	0.00316228	5.7364	5.00029	6.74984e-06	-0.0547948	0.0161328	0.049588
0.996019	0.00398107	5.5814	5.00038	6.74981e-06	-0.0545366	0.0188379	0.0578553
0.994988	0.00501187	5.4263	5.00043	6.74927e-06	-0.0542144	0.0219986	0.0674927
0.99369	0.00630957	5.271	5.00004	6.74583e-06	-0.0538132	0.0256926	0.0787231
