#filename: Pdep_Cc.dat
#Cc	A' using exact nu = 0.671688352279845	P (bar)
#ind. variable	(from vlt_ThermStates.c data fits via vlt_K0cFind.c)	(via my Greywall/Ahlers fit)
1.20	2.5875700386783	-4.42359196260155
1.10	2.49965756709455	-1.30099053387654
1.06	2.4623598281966	0.0238041246375404
1.05	2.45282507965517	0.362473017476471
1.04	2.44321107421416	0.703957070706296
1.03	2.43350944874101	1.0485533380808
1.02	2.42371822221908	1.39633218419375
1.01	2.41383613494845	1.74733835287666
1.00	2.40386957763097	2.10134485000256
0.99	2.39380495498839	2.45883457218997
0.98	2.38364622719623	2.81966685623774
0.97	2.37338662493047	3.18408214471801
0.90	2.29876088364832	5.83474640371673
0.80	2.18247159792732	9.96527627275669
0.70	2.05252360182846	14.5809558341222
0.60	1.90551955468697	19.8024567129258
0.55	1.82418680445609	22.6913501486102
0.50	1.73661725597965	25.8017711418912
0.40	1.53853793567444	32.8374369290449
0.30	1.29951057127969	41.3275541572057
0.20	0.998261085989499	52.0277660409504
0.10	0.588281851901256	66.5899973040302

