r0    rhos0    gamma0 
5.912   0.807969   2.37576e-33
5.992   0.807969   3.7027e-34
6.072   0.807969   5.62513e-35
6.152   0.807969   8.32993e-36
6.232   0.807969   1.20239e-36
6.312   0.807969   1.69177e-37
6.392   0.807969   2.32021e-38
6.472   0.807969   3.10175e-39
6.552   0.807969   4.0418e-40
6.632   0.807969   5.13373e-41
6.712   0.807969   6.35593e-42
6.792   0.807969   7.67032e-43
6.872   0.807969   9.02267e-44
6.952   0.807969   1.03453e-44
7.032   0.807969   1.15622e-45
7.112   0.807969   1.25956e-46
7.192   0.807969   1.33748e-47
7.272   0.807969   1.38433e-48
7.352   0.807969   1.39662e-49
7.432   0.807969   1.37342e-50
7.512   0.807969   1.31647e-51
7.592   0.807969   1.23001e-52
7.672   0.807969   1.12018e-53
7.752   0.807969   9.94378e-55
7.832   0.807969   8.60401e-56
7.912   0.807969   7.25664e-57
7.992   0.807969   7.43202e-58
r2       rhos2       gamma2  
0   1   0.00042243 
0.024   0.998725   0.000362669
0.056   0.997483   0.000311712
0.088   0.996273   0.000268249
0.12   0.995092   0.000231168
0.152   0.993936   0.000199522
0.184   0.992805   0.000172504
0.216   0.991695   0.000149431
0.248   0.990604   0.000129718
0.28   0.989528   0.000112869
0.312   0.988466   9.84604e-05
0.344   0.987415   8.61316e-05
0.376   0.98637   7.55755e-05
0.408   0.985329   6.65303e-05
0.44   0.984289   5.87725e-05
0.472   0.983245   5.21118e-05
0.504   0.982193   4.63859e-05
0.536   0.98113   4.1456e-05
0.568   0.980051   3.7204e-05
0.6   0.978952   3.3529e-05
0.632   0.977826   3.03448e-05
0.664   0.976669   2.7578e-05
0.696   0.975474   2.51658e-05
0.728   0.974237   2.30547e-05
0.76   0.97295   2.1199e-05
0.792   0.971607   1.95599e-05
0.872   0.967958   1.62035e-05
0.952   0.9638   1.36095e-05
1.032   0.959016   1.15153e-05
1.112   0.953497   9.75075e-06
1.192   0.947153   8.21008e-06
1.272   0.939938   6.83219e-06
1.352   0.931864   5.58695e-06
1.432   0.923025   4.46481e-06
1.512   0.913606   3.4685e-06
1.592   0.903884   2.60595e-06
1.672   0.894203   1.88438e-06
1.752   0.88494   1.30568e-06
1.832   0.876452   8.63756e-07
1.912   0.869018   5.44185e-07
1.992   0.862805   3.26193e-07
2.072   0.857849   1.86165e-07
