0.95	0.05	3.76	0.752252	0.955588	6.43984e-12
0.95	0.05	3.8	0.752191	0.955511	5.33053e-12
0.95	0.05	3.84	0.752133	0.955437	4.41237e-12
0.95	0.05	3.88	0.752076	0.955365	3.65241e-12
0.95	0.05	3.92	0.752021	0.955295	3.02338e-12
0.95	0.05	3.96	0.751968	0.955227	2.50272e-12
0.95	0.05	4	0.751916	0.955161	2.07175e-12
0.95	0.05	4.04	0.751865	0.955097	1.71502e-12
0.95	0.05	4.08	0.751816	0.955034	1.41973e-12
0.95	0.05	4.12	0.751769	0.954974	1.1753e-12
0.95	0.05	4.16	0.751722	0.954915	9.72959e-13
0.95	0.05	4.2	0.751677	0.954858	8.05465e-13
0.95	0.05	4.24	0.751634	0.954803	6.66812e-13
0.95	0.05	4.28	0.751591	0.954749	5.52033e-13
0.95	0.05	4.32	0.75155	0.954696	4.57015e-13
0.95	0.05	4.36	0.75151	0.954646	3.78356e-13
0.95	0.05	4.4	0.751471	0.954596	3.13239e-13
0.95	0.05	4.44	0.751433	0.954548	2.59331e-13
0.95	0.05	4.48	0.751397	0.954502	2.14703e-13
0.95	0.05	4.52	0.751361	0.954456	1.77756e-13
0.95	0.05	4.56	0.751326	0.954412	1.47169e-13
0.95	0.05	4.6	0.751293	0.95437	1.21846e-13
0.95	0.05	4.64	0.75126	0.954328	1.00881e-13
0.95	0.05	4.68	0.751228	0.954288	8.35237e-14
0.95	0.05	4.72	0.751198	0.954249	6.91536e-14
0.95	0.05	4.76	0.751168	0.954211	5.72563e-14
0.95	0.05	4.8	0.751138	0.954174	4.74061e-14
0.95	0.05	4.84	0.75111	0.954138	3.92509e-14
0.95	0.05	4.88	0.751083	0.954103	3.24988e-14
0.95	0.05	4.92	0.751056	0.954069	2.69084e-14
0.95	0.05	4.96	0.75103	0.954036	2.22798e-14
0.95	0.05	5	0.751005	0.954004	1.84475e-14
0.95	0.05	5.04	0.75098	0.953973	1.52745e-14
0.95	0.05	5.08	0.750957	0.953942	1.26473e-14
0.95	0.05	5.12	0.750933	0.953913	1.04721e-14
0.95	0.05	5.16	0.750911	0.953885	8.67101e-15
0.95	0.05	5.2	0.750889	0.953857	7.17974e-15
0.95	0.05	5.24	0.750868	0.95383	5.94498e-15
0.95	0.05	5.28	0.750847	0.953804	4.92259e-15
0.95	0.05	5.32	0.750827	0.953778	4.07606e-15
0.95	0.05	5.36	0.750808	0.953754	3.37511e-15
0.95	0.05	5.4	0.750789	0.95373	2.79472e-15
0.95	0.05	5.44	0.750771	0.953706	2.31415e-15
0.95	0.05	5.48	0.750753	0.953684	1.91622e-15
0.95	0.05	5.52	0.750735	0.953662	1.58672e-15
0.95	0.05	5.56	0.750719	0.95364	1.31389e-15
0.95	0.05	5.6	0.750702	0.953619	1.08798e-15
0.95	0.05	5.64	0.750686	0.953599	9.00909e-16
0.95	0.05	5.68	0.750671	0.953579	7.46009e-16
0.95	0.05	5.72	0.750656	0.95356	6.17745e-16
0.95	0.05	5.76	0.750641	0.953542	5.11536e-16
0.95	0.05	5.8	0.750627	0.953524	4.23589e-16
0.95	0.05	5.84	0.750613	0.953506	3.50763e-16
0.95	0.05	5.88	0.7506	0.953489	2.90459e-16
0.95	0.05	5.92	0.750587	0.953473	2.40524e-16
0.95	0.05	5.96	0.750574	0.953457	1.99174e-16
0.95	0.05	6	0.750562	0.953441	1.64933e-16
0.95	0.05	6.04	0.75055	0.953426	1.36579e-16
0.95	0.05	6.08	0.750538	0.953411	1.131e-16
0.95	0.05	6.12	0.750527	0.953397	9.36572e-17
0.95	0.05	6.16	0.750516	0.953383	7.75571e-17
0.95	0.05	6.2	0.750505	0.953369	6.42249e-17
0.95	0.05	6.24	0.750495	0.953356	5.31846e-17
0.95	0.05	6.28	0.750485	0.953344	4.40423e-17
0.95	0.05	6.32	0.750475	0.953331	3.64716e-17
0.95	0.05	6.36	0.750466	0.953319	3.02024e-17
0.95	0.05	6.4	0.750457	0.953307	2.50108e-17
0.95	0.05	6.44	0.750448	0.953296	2.07117e-17
0.95	0.05	6.48	0.750439	0.953285	1.71516e-17
0.95	0.05	6.52	0.75043	0.953274	1.42035e-17
0.95	0.05	6.56	0.750422	0.953264	1.17621e-17
0.95	0.05	6.6	0.750414	0.953254	9.74043e-18
0.95	0.05	6.64	0.750406	0.953244	8.06623e-18
0.95	0.05	6.68	0.750399	0.953234	6.67981e-18
0.95	0.05	6.72	0.750392	0.953225	5.5317e-18
0.95	0.05	6.76	0.750384	0.953216	4.58093e-18
0.95	0.05	6.8	0.750377	0.953207	3.79358e-18
0.95	0.05	6.84	0.750371	0.953198	3.14156e-18
0.95	0.05	6.88	0.750364	0.95319	2.60162e-18
0.95	0.05	6.92	0.750358	0.953182	2.15447e-18
0.95	0.05	6.96	0.750352	0.953174	1.78419e-18
0.95	0.05	7	0.750346	0.953166	1.47754e-18
0.95	0.05	7.04	0.75034	0.953159	1.2236e-18
0.95	0.05	7.08	0.750334	0.953152	1.0133e-18
0.95	0.05	7.12	0.750329	0.953145	8.39153e-19
0.95	0.05	7.16	0.750323	0.953138	6.94933e-19
0.95	0.05	7.2	0.750318	0.953131	5.755e-19
0.95	0.05	7.24	0.750313	0.953125	4.76594e-19
0.95	0.05	7.28	0.750308	0.953119	3.94686e-19
0.95	0.05	7.32	0.750303	0.953113	3.26856e-19
0.95	0.05	7.36	0.750299	0.953107	2.70683e-19
0.95	0.05	7.4	0.750294	0.953101	2.24164e-19
0.95	0.05	7.44	0.75029	0.953095	1.8564e-19
0.95	0.05	7.48	0.750286	0.95309	1.53737e-19
0.95	0.05	7.52	0.750281	0.953085	1.27316e-19
0.95	0.05	7.56	0.750277	0.95308	1.05436e-19
0.95	0.05	7.6	0.750273	0.953075	8.73169e-20
0.95	0.05	7.64	0.75027	0.95307	7.23113e-20
0.95	0.05	7.68	0.750266	0.953065	5.98845e-20
0.95	0.05	7.72	0.750262	0.953061	4.95933e-20
0.95	0.05	7.76	0.750259	0.953056	4.10707e-20
0.95	0.05	7.8	0.750255	0.953052	3.40127e-20
0.95	0.05	7.84	0.750252	0.953048	2.81677e-20
0.95	0.05	7.88	0.750249	0.953044	2.33271e-20
0.95	0.05	7.92	0.750246	0.95304	1.93184e-20
0.95	0.05	7.96	0.750243	0.953036	1.59986e-20
0.95	0.05	8	0.75024	0.953032	1.32493e-20
0.95	0.05	8.04	0.750237	0.953028	1.09725e-20
0.95	0.05	8.08	0.750234	0.953025	9.08691e-21
0.95	0.05	8.12	0.750232	0.953021	7.52538e-21
0.95	0.05	8.16	0.750229	0.953018	6.23219e-21
0.95	0.05	8.2	0.750226	0.953015	5.16123e-21
0.95	0.05	8.24	0.750224	0.953012	4.27431e-21
0.95	0.05	8.28	0.750221	0.953009	3.5398e-21
0.95	0.05	8.32	0.750219	0.953006	2.93152e-21
0.95	0.05	8.36	0.750217	0.953003	2.42776e-21
0.95	0.05	8.4	0.750215	0.953	2.01057e-21
0.95	0.05	8.44	0.750213	0.952997	1.66508e-21
0.95	0.05	8.48	0.75021	0.952995	1.37895e-21
0.95	0.05	8.52	0.750208	0.952992	1.14199e-21
0.95	0.05	8.56	0.750206	0.95299	9.45753e-22
0.95	0.05	8.6	0.750205	0.952987	7.83236e-22
0.95	0.05	8.64	0.750203	0.952985	6.48646e-22
0.95	0.05	8.68	0.750201	0.952982	5.37184e-22
0.95	0.05	8.72	0.750199	0.95298	4.44876e-22
0.95	0.05	8.76	0.750197	0.952978	3.6843e-22
0.95	0.05	8.8	0.750196	0.952976	3.0512e-22
0.95	0.05	8.84	0.750194	0.952974	2.52689e-22
0.95	0.05	8.88	0.750193	0.952972	2.09268e-22
0.95	0.05	8.92	0.750191	0.95297	1.73308e-22
0.95	0.05	8.96	0.75019	0.952968	1.43528e-22
0.95	0.05	9	0.750188	0.952966	1.18865e-22
0.95	0.05	9.04	0.750187	0.952965	9.84396e-23
0.95	0.05	9.08	0.750185	0.952963	8.15243e-23
0.95	0.05	9.12	0.750184	0.952961	6.75156e-23
0.95	0.05	9.16	0.750183	0.952959	5.59142e-23
0.95	0.05	9.2	0.750181	0.952958	4.63062e-23
0.95	0.05	9.24	0.75018	0.952956	3.83493e-23
0.95	0.05	9.28	0.750179	0.952955	3.17596e-23
0.95	0.05	9.32	0.750178	0.952953	2.63022e-23
0.95	0.05	9.36	0.750177	0.952952	2.17827e-23
0.95	0.05	9.4	0.750176	0.952951	1.80397e-23
0.95	0.05	9.44	0.750175	0.952949	1.49399e-23
0.95	0.05	9.48	0.750174	0.952948	1.23727e-23
0.95	0.05	9.52	0.750173	0.952947	1.02467e-23
0.95	0.05	9.56	0.750172	0.952945	8.486e-24
0.95	0.05	9.6	0.750171	0.952944	7.02783e-24
0.95	0.05	9.64	0.75017	0.952943	5.82023e-24
0.95	0.05	9.68	0.750169	0.952942	4.82014e-24
0.95	0.05	9.72	0.750168	0.952941	3.99189e-24
0.95	0.05	9.76	0.750167	0.95294	3.30596e-24
0.95	0.05	9.8	0.750166	0.952939	2.73789e-24
0.95	0.05	9.84	0.750166	0.952938	2.26744e-24
0.95	0.05	9.88	0.750165	0.952937	1.87783e-24
0.95	0.05	9.92	0.750164	0.952936	1.55516e-24
0.95	0.05	9.96	0.750163	0.952935	1.28794e-24
0.95	0.05	10	0.750163	0.952934	1.06663e-24
