1-T/Tc	l	K	y	F	a	Kr/K0	a0/Kr
1e-08	14.2856	5.00017	6.75029e-06	-0.0532385	4.04835e+06	1.01079e-05	809642
1.25893e-08	14.131	5.00048	6.75209e-06	-0.0532385	3.46845e+06	1.17986e-05	693625
1.58489e-08	13.9763	5.00029	6.75098e-06	-0.0532385	2.97133e+06	1.37721e-05	594231
1.99526e-08	13.8216	5.0001	6.74987e-06	-0.0532385	2.54545e+06	1.60757e-05	509081
2.51189e-08	13.667	5.00041	6.75167e-06	-0.0532385	2.18084e+06	1.87645e-05	436132
3.16228e-08	13.5123	5.00022	6.75057e-06	-0.0532385	1.86826e+06	2.19031e-05	373636
3.98107e-08	13.3576	5.00003	6.74946e-06	-0.0532385	1.60049e+06	2.55667e-05	320096
5.01187e-08	13.203	5.00033	6.75126e-06	-0.0532385	1.37123e+06	2.98431e-05	274228
6.30957e-08	13.0483	5.00014	6.75015e-06	-0.0532385	1.1747e+06	3.48348e-05	234932
7.94328e-08	12.8937	5.00045	6.75196e-06	-0.0532385	1.00643e+06	4.06613e-05	201268
1e-07	12.739	5.00026	6.75085e-06	-0.0532385	862180	4.74625e-05	172427
1.25893e-07	12.5843	5.00007	6.74974e-06	-0.0532385	738606	5.54012e-05	147719
1.58489e-07	12.4297	5.00038	6.75155e-06	-0.0532385	632806	6.46678e-05	126552
1.99526e-07	12.275	5.00019	6.75044e-06	-0.0532384	542107	7.54844e-05	108417
2.51189e-07	12.1203	5	6.74934e-06	-0.0532384	464408	8.81101e-05	92881.6
3.16228e-07	11.9657	5.00031	6.75114e-06	-0.0532384	397885	0.000102848	79572.1
3.98107e-07	11.811	5.00012	6.75003e-06	-0.0532384	340857	0.00012005	68169.8
5.01187e-07	11.6564	5.00043	6.75184e-06	-0.0532383	292032	0.00014013	58401.4
6.30957e-07	11.5017	5.00024	6.75073e-06	-0.0532383	250176	0.000163569	50032.7
7.94328e-07	11.347	5.00005	6.74963e-06	-0.0532383	214319	0.000190928	42863.3
1e-06	11.1924	5.00036	6.75143e-06	-0.0532382	183619	0.000222863	36721.2
1.25893e-06	11.0377	5.00017	6.75033e-06	-0.0532381	157301	0.00026014	31459.2
1.58489e-06	10.8831	5.00048	6.75213e-06	-0.053238	134769	0.000303652	26951.2
1.99526e-06	10.7284	5.0003	6.75103e-06	-0.0532379	115453	0.000354442	23089.2
2.51189e-06	10.5737	5.00011	6.74993e-06	-0.0532377	98905.4	0.000413727	19780.7
3.16228e-06	10.4191	5.00042	6.75174e-06	-0.0532375	84738	0.000482928	16946.2
3.98107e-06	10.2644	5.00023	6.75065e-06	-0.0532373	72592.7	0.000563704	14517.9
5.01187e-06	10.1097	5.00004	6.74956e-06	-0.053237	62188.1	0.00065799	12437.5
6.30957e-06	9.9551	5.00035	6.75138e-06	-0.0532366	53280.2	0.000768047	10655.3
7.94328e-06	9.8004	5.00017	6.75029e-06	-0.0532361	45643.6	0.000896513	9128.42
1e-05	9.6458	5.00048	6.75212e-06	-0.0532355	39105.5	0.00104647	7820.35
1.25893e-05	9.4911	5.0003	6.75105e-06	-0.0532347	33500.6	0.0012215	6699.72
1.58489e-05	9.3364	5.00012	6.74998e-06	-0.0532337	28699.1	0.00142581	5739.68
1.99526e-05	9.1818	5.00043	6.75184e-06	-0.0532324	24588.1	0.00166429	4917.2
2.51189e-05	9.0271	5.00026	6.7508e-06	-0.0532308	21064	0.00194266	4212.58
3.16228e-05	8.8724	5.00008	6.74978e-06	-0.0532289	18044.9	0.00226759	3608.92
