T/Tc	1-T/Tc	l	K	y	eimprecise	de	e	Kr	Kr/K0	cp
       0.99999999	            1e-08	0.199999999999994	0.323074466885946	0.0466334564147775	                0	-0.0203179641835233	-0.0203179641835233	0.295611436071556	                1	                0
       0.99999999	            1e-08	0.399999999999972	0.344236993620208	0.0518789498689488	                0	-0.0330584489581659	-0.0330584489581659	0.295611436071556	                1	                0
       0.99999999	            1e-08	 0.59999999999995	0.359393245483358	0.0556053273855696	                0	-0.0406970980748461	-0.0406970980748461	0.295611436071556	                1	                0
       0.99999999	            1e-08	0.799999999999928	0.369664933237298	0.0581114812868497	                0	-0.04513519116826	-0.04513519116826	0.295611436071556	                1	                0
       0.99999999	            1e-08	0.999999999999906	0.376361641048901	0.0597357810692109	                0	-0.0476601337440873	-0.0476601337440873	0.295611436071556	                1	                0
       0.99999999	            1e-08	 1.20009999999988	0.380617816109987	0.0607638929586163	                0	-0.0490777819032521	-0.0490777819032521	0.295611436071556	                1	                0
       0.99999999	            1e-08	 1.40009999999986	0.383275416857831	0.061404120109814	                0	-0.0498661165719388	-0.0498661165719388	0.295611436071556	                1	                0
       0.99999999	            1e-08	 1.60009999999984	0.384918514949196	0.0617992635129236	                0	-0.0503024499445624	-0.0503024499445624	0.295611436071556	                1	                0
       0.99999999	            1e-08	 1.80009999999982	0.385927762834002	0.0620417075630047	                0	-0.050543160032887	-0.050543160032887	0.295611436071556	                1	                0
       0.99999999	            1e-08	  2.0000999999998	0.386545188391857	0.0621899214906788	                0	-0.0506756831570785	-0.0506756831570785	0.295611436071556	                1	                0
       0.99999999	            1e-08	 2.20020000000022	0.386922129839727	0.0622803608850068	                0	-0.0507485803066339	-0.0507485803066339	0.295611436071556	                1	                0
       0.99999999	            1e-08	 2.40020000000064	0.387151682836144	0.0623354117085501	                0	-0.0507886074558827	-0.0507886074558827	0.295611436071556	                1	                0
       0.99999999	            1e-08	 2.60020000000106	0.387291451473567	0.0623689095136619	                0	-0.0508105904965157	-0.0508105904965157	0.295611436071556	                1	                0
       0.99999999	            1e-08	 2.80020000000148	0.387376523571159	0.0623892749244294	                0	-0.0508226602778883	-0.0508226602778883	0.295611436071556	                1	                0
       0.99999999	            1e-08	 3.00020000000191	0.387428311081003	0.0624016425679502	                0	-0.0508292860596074	-0.0508292860596074	0.295611436071556	                1	                0
       0.99999999	            1e-08	 3.20030000000233	0.387459875815002	0.0624091413002295	                0	-0.050832924273994	-0.050832924273994	0.295611436071556	                1	                0
       0.99999999	            1e-08	 3.40030000000275	0.387479137756639	0.0624136646002839	                0	-0.0508349198344803	-0.0508349198344803	0.295611436071556	                1	                0
       0.99999999	            1e-08	 3.60030000000317	0.387490959292825	0.0624163700939782	                0	-0.0508360150850146	-0.0508360150850146	0.295611436071556	                1	                0
       0.99999999	            1e-08	  3.8003000000036	0.387498295473125	0.0624179549418511	                0	-0.0508366161920203	-0.0508366161920203	0.295611436071556	                1	                0
       0.99999999	            1e-08	 4.00030000000402	 0.38750295654789	0.0624188377094243	                0	-0.050836946093105	-0.050836946093105	0.295611436071556	                1	                0
       0.99999999	            1e-08	 4.20040000000355	0.387506062428116	0.0624192658033642	                0	-0.0508371272146402	-0.0508371272146402	0.295611436071556	                1	                0
       0.99999999	            1e-08	 4.40040000000308	0.387508314519554	0.0624193794646753	                0	-0.0508372265506296	-0.0508372265506296	0.295611436071556	                1	                0
       0.99999999	            1e-08	 4.60040000000262	0.387510175368774	0.0624192513993934	                0	-0.0508372810673773	-0.0508372810673773	0.295611436071556	                1	                0
       0.99999999	            1e-08	 4.80040000000215	0.387511968955659	0.0624189080089839	                0	-0.0508373109866946	-0.0508373109866946	0.295611436071556	                1	                0
       0.99999999	            1e-08	 5.00040000000168	0.387513951391706	0.0624183416288039	                0	-0.0508373274066478	-0.0508373274066478	0.295611436071556	                1	                0
       0.99999999	            1e-08	 5.20050000000122	0.387516359399299	0.0624175151740557	                0	-0.050837336421299	-0.050837336421299	0.295611436071556	                1	                0
       0.99999999	            1e-08	 5.40050000000075	0.387519441087709	0.0624163641760094	                0	-0.0508373413652801	-0.0508373413652801	0.295611436071556	                1	                0
       0.99999999	            1e-08	 5.60050000000029	0.387523494328371	0.0624147906758921	                0	-0.0508373440785365	-0.0508373440785365	0.295611436071556	                1	                0
       0.99999999	            1e-08	 5.80049999999982	0.387528894250284	0.0624126573148013	                0	-0.0508373455675598	-0.0508373455675598	0.295611436071556	                1	                0
       0.99999999	            1e-08	 6.00049999999935	 0.38753613113967	0.0624097755302343	                0	-0.0508373463847212	-0.0508373463847212	0.295611436071556	                1	                0
       0.99999999	            1e-08	 6.20059999999889	 0.38754586187229	0.0624058869759303	                0	-0.0508373468333287	-0.0508373468333287	0.295611436071556	                1	                0
       0.99999999	            1e-08	 6.40059999999842	0.387558948788238	0.0624006491998116	                0	-0.0508373470793485	-0.0508373470793485	0.295611436071556	                1	                0
       0.99999999	            1e-08	 6.60059999999796	0.387576566877683	0.0623935935763629	                0	-0.0508373472143539	-0.0508373472143539	0.295611436071556	                1	                0
       0.99999999	            1e-08	 6.80059999999749	0.387600291080359	0.0623840909675653	                0	-0.0508373472884369	-0.0508373472884369	0.295611436071556	                1	                0
       0.99999999	            1e-08	 7.00059999999702	0.387632241505469	0.0623712942149906	                0	-0.0508373473290873	-0.0508373473290873	0.295611436071556	                1	                0
       0.99999999	            1e-08	 7.20069999999656	0.387675298018056	0.0623540530720834	                0	-0.0508373473513997	-0.0508373473513997	0.295611436071556	                1	                0
       0.99999999	            1e-08	 7.40069999999609	0.387733264773236	0.0623308497173514	                0	-0.050837347363633	-0.050837347363633	0.295611436071556	                1	                0
       0.99999999	            1e-08	 7.60069999999562	0.387811340695718	0.0622996128250758	                0	-0.0508373473703438	-0.0508373473703438	0.295611436071556	                1	                0
       0.99999999	            1e-08	 7.80069999999516	0.387916504636667	0.0622575678156905	                0	-0.0508373473740248	-0.0508373473740248	0.295611436071556	                1	                0
       0.99999999	            1e-08	 8.00069999999469	 0.38805815912876	0.0622009872402384	                0	-0.0508373473760433	-0.0508373473760433	0.295611436071556	                1	                0
       0.99999999	            1e-08	 8.20079999999423	0.388249084036721	0.0621248240035738	                0	-0.0508373473771504	-0.0508373473771504	0.295611436071556	                1	                0
       0.99999999	            1e-08	 8.40079999999376	0.388506171475119	0.0620224435948179	                0	-0.0508373473777567	-0.0508373473777567	0.295611436071556	                1	                0
       0.99999999	            1e-08	 8.60079999999329	0.388852522724167	0.0618848345061067	                0	-0.0508373473780889	-0.0508373473780889	0.295611436071556	                1	                0
       0.99999999	            1e-08	 8.80079999999283	0.389319176265477	0.0617000052233967	                0	-0.0508373473782708	-0.0508373473782708	0.295611436071556	                1	                0
       0.99999999	            1e-08	 9.00079999999236	0.389947999392904	0.0614519881626695	                0	-0.05083734737837	-0.05083734737837	0.295611436071556	                1	                0
       0.99999999	            1e-08	  9.2008999999919	0.390795985343538	0.0611194154290066	                0	-0.0508373473784242	-0.0508373473784242	0.295611436071556	                1	                0
       0.99999999	            1e-08	 9.40089999999143	0.391938631272538	0.060674676264227	                0	-0.0508373473784549	-0.0508373473784549	0.295611436071556	                1	                0
       0.99999999	            1e-08	 9.60089999999096	0.393479460018254	0.0600810641955189	                0	-0.0508373473784695	-0.0508373473784695	0.295611436071556	                1	                0
       0.99999999	            1e-08	  9.8008999999905	0.395558073682908	0.0592912180040138	                0	-0.0508373473784814	-0.0508373473784814	0.295611436071556	                1	                0
       0.99999999	            1e-08	   10.00089999999	0.398363674660834	0.0582446804338979	                0	-0.0508373473784814	-0.0508373473784814	0.295611436071556	                1	                0
       0.99999999	            1e-08	 10.2009999999896	0.402155369807575	0.0568650737270068	                0	-0.0508373473784814	-0.0508373473784814	0.295611436071556	                1	                0
       0.99999999	            1e-08	 10.4009999999891	0.407279215488072	0.0550620239434457	                0	-0.0508373473784814	-0.0508373473784814	0.295611436071556	                1	                0
       0.99999999	            1e-08	 10.6009999999886	0.414214160567129	0.0527285807861847	                0	-0.0508373473784814	-0.0508373473784814	0.295611436071556	                1	                0
       0.99999999	            1e-08	 10.8009999999882	0.423613721946495	0.0497500368468437	                0	-0.0508373473784814	-0.0508373473784814	0.295611436071556	                1	                0
       0.99999999	            1e-08	 11.0009999999877	0.436375468175955	0.0460177117993001	                0	-0.0508373473784814	-0.0508373473784814	0.295611436071556	                1	                0
       0.99999999	            1e-08	 11.2010999999872	0.453745346291511	0.041452823236277	                0	-0.0508373473784814	-0.0508373473784814	0.295611436071556	                1	                0
       0.99999999	            1e-08	 11.4010999999868	0.477409552459257	0.0360569825977327	                0	-0.0508373473784814	-0.0508373473784814	0.295611436071556	                1	                0
       0.99999999	            1e-08	 11.6010999999863	0.509713877015476	0.0299509310030513	                0	-0.0508373473784814	-0.0508373473784814	0.295611436071556	                1	                0
       0.99999999	            1e-08	 11.8010999999858	0.553835272509213	0.0234313027607003	                0	-0.0508373473784814	-0.0508373473784814	0.295611436071556	                1	                0
       0.99999999	            1e-08	 12.0010999999854	 0.61399456058108	0.0169780443236291	                0	-0.0508373473784814	-0.0508373473784814	0.295611436071556	                1	                0
       0.99999999	            1e-08	 12.2011999999849	0.695630716369037	0.011177968246357	                0	-0.0508373473784814	-0.0508373473784814	0.295611436071556	                1	                0
       0.99999999	            1e-08	 12.4011999999844	0.805153457385823	0.00656189457927224	                0	-0.0508373473784814	-0.0508373473784814	0.295611436071556	                1	                0
       0.99999999	            1e-08	  12.601199999984	0.949833885206557	0.00337909598644127	                0	-0.0508373473784814	-0.0508373473784814	0.295611436071556	                1	                0
       0.99999999	            1e-08	 12.8011999999835	 1.13719970113856	0.00151432460024723	                0	-0.0508373473784814	-0.0508373473784814	0.295611436071556	                1	                0
       0.99999999	            1e-08	  13.001199999983	 1.37497488140502	0.000594124170494317	                0	-0.0508373473784814	-0.0508373473784814	0.295611436071556	                1	                0
       0.99999999	            1e-08	 13.2012999999826	 1.67187853938817	0.000209222020165387	                0	-0.0508373473784814	-0.0508373473784814	0.295611436071556	                1	                0
       0.99999999	            1e-08	 13.4012999999821	 2.03814300594655	6.96305355172722e-05	                0	-0.0508373473784814	-0.0508373473784814	0.295611436071556	                1	                0
       0.99999999	            1e-08	 13.6012999999816	 2.48746047214776	2.37636030914748e-05	                0	-0.0508373473784814	-0.0508373473784814	0.295611436071556	                1	                0
       0.99999999	            1e-08	 13.8012999999812	  3.0371553538589	9.40564374592411e-06	                0	-0.0508373473784814	-0.0508373473784814	0.295611436071556	                1	                0
       0.99999999	            1e-08	 14.0012999999807	 3.70889387616514	5.15290113418866e-06	                0	-0.0508373473784814	-0.0508373473784814	0.295611436071556	                1	                0
       0.99999999	            1e-08	 14.2013999999802	 4.52977053144654	5.00832873690052e-06	                0	-0.0508373473784814	-0.0508373473784814	0.295611436071556	                1	                0
