Cc	K01
1.20	0.28
1.10	0.30
1.06	0.30
1.05	0.31
1.04	0.31
1.03	0.31
1.02	0.31
1.01	0.31
1.00	0.32
0.99	0.32
0.98	0.32
0.97	0.32
0.90	0.34
0.80	0.36
0.70	0.40
0.60	0.44
0.55	0.47
0.50	0.50
0.40	0.59
0.30	0.73
0.20	0.99
0.10	1.68
