Cc	K0c
1.03	3.091469984216758e-01
1	3.150360068926090e-01
0.9	3.370353710663324e-01
0.8	3.636228655823345e-01
0.7	3.965669728967950e-01
0.6	3.999999999999943e-01
0.5	3.999999999999943e-01
0.4	3.999999999999943e-01
0.3	3.999999999999943e-01
0.2	3.999999999999943e-01
0.1	3.999999999999943e-01
0	3.999999999999943e-01
