T/Tc	1-T/Tc	l	a	K	y	F	Kr	Kr/K0	a0/Kr	Del/kB	C
0.205672	0.794328	1.202	8.41671	5.00049	2.97078e-13	-5.99702e-12	1.50311	1	1.68318	11.0742	1.67589
0.292054	0.707946	1.5526	11.9511	5.0002	8.93683e-11	-1.03937e-08	1.05853	1	2.39012	11.0743	1.676
0.369043	0.630957	1.7866	15.1019	5.00028	1.47435e-09	-4.4942e-07	0.837691	0.999989	3.02021	11.0743	1.67616
0.437659	0.562341	1.9572	17.9111	5.00022	8.0406e-09	-4.36265e-06	0.706298	0.999905	3.58206	11.0739	1.67628
0.498813	0.501187	2.0883	20.4201	5.00019	2.54139e-08	-1.99245e-05	0.619511	0.999589	4.08387	11.0727	1.67626
0.553316	0.446684	2.1928	22.6695	5.00036	5.87091e-08	-5.89163e-05	0.55806	0.998825	4.53356	11.0708	1.67609
0.601893	0.398107	2.2783	24.693	5.00002	1.11015e-07	-0.000132462	0.512293	0.997408	4.93858	11.0683	1.67577
0.645187	0.354813	2.35	26.5285	5.00015	1.83299e-07	-0.000247888	0.47686	0.995202	5.30554	11.0644	1.6752
0.683772	0.316228	2.4112	28.2027	5.00032	2.74905e-07	-0.000408351	0.448566	0.992141	5.64019	11.0567	1.67399
0.718162	0.281838	2.4642	29.7378	5.00005	3.84651e-07	-0.000614627	0.425389	0.988196	5.9475	11.0409	1.67152
0.748811	0.251189	2.511	31.1626	5.00046	5.1245e-07	-0.00086758	0.405973	0.983341	6.23195	11.012	1.66702
0.776128	0.223872	2.5527	32.4896	5.00007	6.58364e-07	-0.00117005	0.389361	0.977509	6.49783	10.9648	1.65974
0.800474	0.199526	2.5907	33.7479	5.00011	8.24639e-07	-0.00152765	0.374846	0.970587	6.74944	10.8959	1.64913
0.822172	0.177828	2.6259	34.957	5.0001	1.01336e-06	-0.00194869	0.36188	0.962416	6.99126	10.8031	1.63491
0.841511	0.158489	2.6592	36.1407	5.00016	1.22695e-06	-0.00244356	0.350032	0.952801	7.22791	10.6866	1.61708
0.858746	0.141254	2.6914	37.3234	5.00031	1.46723e-06	-0.00302376	0.338951	0.941536	7.4642	10.5478	1.59589
0.874107	0.125893	2.7231	38.5255	5	1.73403e-06	-0.00370101	0.328354	0.928416	7.70509	10.3897	1.57178
0.887798	0.112202	2.7551	39.7782	5.00003	2.02746e-06	-0.00448625	0.318015	0.913265	7.9556	10.2159	1.54532
0.9	0.1	2.7879	41.1046	5.00007	2.34435e-06	-0.00538868	0.307756	0.895951	8.2208	10.0305	1.51711
0.910875	0.0891251	2.822	42.5304	5.00019	2.68034e-06	-0.00641504	0.297446	0.876398	8.50576	9.83762	1.48777
0.920567	0.0794328	2.8578	44.0806	5.00036	3.02934e-06	-0.00756886	0.286995	0.854603	8.81549	9.64104	1.4579
0.929205	0.0707946	2.8956	45.7787	5.00044	3.38389e-06	-0.00885006	0.276354	0.830638	9.15494	9.4442	1.428
0.936904	0.0630957	2.9356	47.647	5.00022	3.73565e-06	-0.0102547	0.265506	0.804645	9.52898	9.25004	1.39851
0.943766	0.0562341	2.9781	49.7156	5.00037	4.07936e-06	-0.0117751	0.254466	0.776835	9.9424	9.06096	1.36982
0.949881	0.0501187	3.0231	52.0039	5.0004	4.40699e-06	-0.0134001	0.24327	0.747469	10.4	8.87886	1.34218
0.955332	0.0446684	3.0706	54.5337	5.00015	4.71251e-06	-0.0151156	0.231973	0.716848	10.9064	8.70513	1.31583
0.960189	0.0398107	3.1207	57.3355	5.00022	4.99453e-06	-0.0169051	0.220641	0.685296	11.4666	8.54075	1.2909
0.964519	0.0354813	3.1733	60.432	5.00043	5.25019e-06	-0.0187505	0.209344	0.65314	12.0854	8.38634	1.26749
0.968377	0.0316228	3.2282	63.8425	5.00025	5.47626e-06	-0.0206331	0.198154	0.6207	12.7679	8.24217	1.24563
0.971816	0.0281838	3.2854	67.6008	5.00027	5.67575e-06	-0.022534	0.187138	0.588277	13.5194	8.10832	1.22535
0.974881	0.0251189	3.3447	71.7307	5.00014	5.84832e-06	-0.0244348	0.176359	0.55614	14.3457	7.98462	1.2066
0.977613	0.0223872	3.406	76.2654	5.00006	5.9968e-06	-0.0263184	0.16587	0.52453	15.2529	7.87079	1.18935
0.980047	0.0199526	3.4692	81.2409	5.00022	6.12452e-06	-0.0281692	0.155716	0.493647	16.2475	7.76642	1.17354
0.982217	0.0177828	3.5341	86.6883	5.00029	6.23224e-06	-0.0299736	0.145933	0.463658	17.3367	7.67104	1.15909
0.984151	0.0158489	3.6006	92.6491	5.00041	6.32315e-06	-0.0317199	0.136548	0.434692	18.5283	7.58412	1.14592
0.985875	0.0141254	3.6685	99.1585	5.00019	6.39733e-06	-0.0333984	0.127578	0.406849	19.831	7.50511	1.13396
0.987411	0.0125893	3.7378	106.274	5.00014	6.45984e-06	-0.0350017	0.119036	0.380198	21.2542	7.43345	1.1231
0.98878	0.0112202	3.8084	114.048	5.00026	6.51251e-06	-0.0365244	0.110924	0.354781	22.8084	7.36858	1.11328
0.99	0.01	3.8802	122.538	5.00044	6.55654e-06	-0.0379627	0.103242	0.33062	24.5054	7.30996	1.1044
0.991087	0.00891251	3.953	131.791	5.00002	6.58967e-06	-0.0393147	0.0959855	0.307718	26.3581	7.25707	1.09639
0.992057	0.00794328	4.027	141.914	5.00029	6.62038e-06	-0.0405798	0.0891438	0.286064	28.3811	7.20942	1.08918
0.992921	0.00707946	4.102	152.967	5.00044	6.64525e-06	-0.0417586	0.0827051	0.265633	30.5906	7.16653	1.08268
0.99369	0.00630957	4.1779	165.029	5.00011	6.66307e-06	-0.0428528	0.0766551	0.246392	33.005	7.12798	1.07685
0.994377	0.00562341	4.2549	178.238	5.00037	6.6807e-06	-0.043865	0.0709779	0.228302	35.6449	7.09335	1.0716
