T/Tc	1-T/Tc	l	K	y	a	Kr/K0	a0/Kr
0.99999	1e-05	0.2	0.739868	0.0233336	3.09015	0.809981	4.17662
0.99999	1e-05	0.4	0.732989	0.0219164	3.77432	0.656991	5.14921
0.99999	1e-05	0.6	0.727002	0.0206684	4.60996	0.533505	6.34106
0.99999	1e-05	0.8	0.72174	0.0195604	5.63062	0.433636	7.80145
0.99999	1e-05	1	0.717078	0.0185694	6.87725	0.352737	9.59067
0.99999	1e-05	1.2	0.712915	0.0176775	8.3999	0.28712	11.7825
0.99999	1e-05	1.4	0.709175	0.0168702	10.2597	0.233841	14.467
0.99999	1e-05	1.6	0.705796	0.0161358	12.5312	0.19054	17.7547
0.99999	1e-05	1.8	0.702726	0.0154647	15.3056	0.155323	21.7803
0.99999	1e-05	2	0.699924	0.0148487	18.6943	0.126661	26.7091
0.99999	1e-05	2.2	0.697357	0.0142814	22.8333	0.103321	32.7426
0.99999	1e-05	2.4	0.694995	0.013757	27.8886	0.0843052	40.1278
0.99999	1e-05	2.6	0.692814	0.0132708	34.0633	0.0688067	49.1665
0.99999	1e-05	2.8	0.690795	0.0128186	41.605	0.0561699	60.2277
0.99999	1e-05	3	0.688919	0.012397	50.8164	0.0458632	73.7625
0.99999	1e-05	3.2	0.687172	0.0120029	62.0673	0.0374543	90.3229
0.99999	1e-05	3.4	0.68554	0.0116337	75.8092	0.0305922	110.583
0.99999	1e-05	3.6	0.684013	0.011287	92.5935	0.024991	135.368
0.99999	1e-05	3.8	0.68258	0.0109609	113.094	0.020418	165.686
0.99999	1e-05	4	0.681233	0.0106534	138.133	0.0166839	202.77
0.99999	1e-05	4.2	0.679964	0.0103631	168.716	0.0136342	248.125
0.99999	1e-05	4.4	0.678767	0.0100885	206.071	0.0111431	303.595
0.99999	1e-05	4.6	0.677636	0.00982838	251.695	0.00910797	371.431
0.99999	1e-05	4.8	0.676565	0.00958157	307.421	0.00744519	454.385
0.99999	1e-05	5	0.67555	0.00934709	375.485	0.00608646	555.822
0.99999	1e-05	5.2	0.674586	0.00912402	458.619	0.00497606	679.852
0.99999	1e-05	5.4	0.673669	0.00891153	560.158	0.00406852	831.503
0.99999	1e-05	5.6	0.672797	0.00870888	684.179	0.0033267	1016.92
0.99999	1e-05	5.8	0.671965	0.00851539	835.658	0.00272031	1243.6
0.99999	1e-05	6	0.671172	0.00833046	1020.67	0.00222457	1520.74
0.99999	1e-05	6.2	0.670413	0.00815352	1246.66	0.00181927	1859.53
0.99999	1e-05	6.4	0.669688	0.00798405	1522.67	0.00148788	2273.7
0.99999	1e-05	6.6	0.668995	0.00782159	1859.79	0.00121691	2779.98
0.99999	1e-05	6.8	0.66833	0.0076657	2271.55	0.000995331	3398.85
0.99999	1e-05	7	0.667692	0.007516	2774.48	0.000814131	4155.33
0.99999	1e-05	7.2	0.66708	0.00737211	3388.76	0.000665943	5079.99
0.99999	1e-05	7.4	0.666492	0.00723371	4139.04	0.000544747	6210.19
0.99999	1e-05	7.6	0.665926	0.00710048	5055.44	0.000445623	7591.59
0.99999	1e-05	7.8	0.665382	0.00697213	6174.72	0.000364547	9279.97
0.99999	1e-05	8	0.664858	0.00684839	7541.82	0.000298231	11343.5
0.99999	1e-05	8.2	0.664353	0.00672903	9211.6	0.000243985	13865.5
0.99999	1e-05	8.4	0.663866	0.00661381	11251.1	0.000199612	16947.8
0.99999	1e-05	8.6	0.663396	0.00650251	13742.1	0.000163313	20714.8
0.99999	1e-05	8.8	0.662943	0.00639494	16784.6	0.000133618	25318.4
0.99999	1e-05	9	0.662504	0.00629092	20500.8	0.000109325	30944.4
0.99999	1e-05	9.2	0.662081	0.00619026	25039.7	8.94502e-05	37819.8
0.99999	1e-05	9.4	0.661671	0.00609281	30583.6	7.31903e-05	46221.8
0.99999	1e-05	9.6	0.661274	0.00599841	37354.9	5.98872e-05	56489.3
0.99999	1e-05	9.8	0.66089	0.00590692	45625.4	4.9003e-05	69036.2
0.99999	1e-05	10	0.660518	0.00581821	55727	4.00977e-05	84368.6
0.99999	1e-05	10.2001	0.660157	0.00573211	68071.9	3.2808e-05	103115
0.99999	1e-05	10.4001	0.659807	0.00564858	83143.2	2.68467e-05	126011
0.99999	1e-05	10.6001	0.659468	0.00556748	101551	2.19689e-05	153990
0.99999	1e-05	10.8001	0.659138	0.0054887	124035	1.79776e-05	188178
0.99999	1e-05	11.0001	0.658818	0.00541213	151497	1.47117e-05	229952
0.99999	1e-05	11.2001	0.658508	0.00533769	185039	1.20392e-05	280997
0.99999	1e-05	11.4001	0.658205	0.00526529	226007	9.85236e-06	343368
0.99999	1e-05	11.6001	0.657912	0.00519484	276045	8.06283e-06	419578
0.99999	1e-05	11.8001	0.657626	0.00512627	337162	6.59842e-06	512696
0.99999	1e-05	12.0001	0.657348	0.0050595	411811	5.40004e-06	626473
0.99999	1e-05	12.2001	0.657077	0.00499446	502987	4.41936e-06	765492
0.99999	1e-05	12.4001	0.656813	0.00493109	614350	3.61682e-06	935349
0.99999	1e-05	12.6001	0.656556	0.00486931	750368	2.96004e-06	1.14288e+06
0.99999	1e-05	12.8001	0.656306	0.00480907	916502	2.42255e-06	1.39645e+06
0.99999	1e-05	13.0001	0.656062	0.00475032	1.11942e+06	1.98268e-06	1.70627e+06
0.99999	1e-05	13.2001	0.655824	0.004693	1.36726e+06	1.62269e-06	2.0848e+06
0.99999	1e-05	13.4001	0.655592	0.00463705	1.66998e+06	1.32808e-06	2.54728e+06
0.99999	1e-05	13.6001	0.655366	0.00458243	2.03971e+06	1.08696e-06	3.11233e+06
0.99999	1e-05	13.8001	0.655145	0.00452909	2.49131e+06	8.8963e-07	3.80269e+06
0.99999	1e-05	14.0001	0.654929	0.00447698	3.04289e+06	7.28127e-07	4.64614e+06
0.99999	1e-05	14.2001	0.654718	0.00442607	3.7166e+06	5.95948e-07	5.67664e+06
0.99999	1e-05	14.4001	0.654512	0.00437631	4.53946e+06	4.87768e-07	6.93564e+06
0.99999	1e-05	14.6001	0.654311	0.00432766	5.54451e+06	3.99228e-07	8.47382e+06
0.99999	1e-05	14.8001	0.654114	0.00428008	6.77208e+06	3.26762e-07	1.03531e+07
0.99999	1e-05	15.0001	0.653922	0.00423355	8.27144e+06	2.67451e-07	1.2649e+07
